Gene = Gpatch1
index = 518
Annotated 5SS: [  100  8001  9140 10262 11252 12511 15212 16863 19220 20957 23186 24786
 26715 29401 29924 31318 33725 34870 37109]
Annotated 3SS: [ 7865  9053 10100 11153 12451 14968 16714 19139 20751 22888 24606 26586
 29263 29759 31103 33616 34771 36959 41628]
SMsplice 5SS: [  100  8001  8937  9140 11252 12511 16863 20957 24786 26715 29401 29924
 31318 34870 37109]
SMsplice 3SS: [ 7865  8798  9053 11153 12451 16714 20751 24606 26586 29355 29759 31103
 34771 36959 41628]
top_k =  100
Partition function (log Z): 18.382148217083373

Sorted 5' Splice Sites (High to Low Probability):
Position 34870: 0.9998483245518689
Position 16863: 0.9980540548174073
Position 8001: 0.9920093522161803
Position 29924: 0.9661011850648128
Position 100: 0.9644199272319143
Position 37109: 0.9634039434873195
Position 12511: 0.9475749964557997
Position 26715: 0.9013522520688697
Position 11252: 0.9012793546836546
Position 20957: 0.8983012201515697
Position 24786: 0.8960900131525182
Position 9140: 0.8920951043403479
Position 29401: 0.8719894968658076
Position 8937: 0.7518385930131374
Position 15212: 0.5985987615584232
Position 31318: 0.5739162714358947
Position 19220: 0.41956931242596285
Position 910: 0.28943909191579187
Position 1130: 0.27416004295698443
Position 19457: 0.2296212960805922
Position 23186: 0.22267971720771354
Position 12347: 0.19965333474981306
Position 29183: 0.19166130870822526
Position 3002: 0.13407805575033122
Position 10262: 0.12586080419362858
Position 19453: 0.10667636683228891
Position 29693: 0.10239928072111998
Position 38938: 0.0979729374626079
Position 26681: 0.09778239455829836
Position 29028: 0.09339696621555643
Position 9268: 0.0907529239442656
Position 15542: 0.06763063697395257
Position 8376: 0.06323213082867268
Position 33725: 0.05837211124809821
Position 27088: 0.05108214922697629
Position 24762: 0.048272442191660325
Position 24077: 0.04165275738561704
Position 35734: 0.0379675784893512
Position 18569: 0.03735320213492328
Position 41486: 0.027264503706595222
Position 11683: 0.025796405311005556
Position 29932: 0.022742119820831345
Position 8923: 0.021847548237857003
Position 12269: 0.019772161078247554
Position 23669: 0.018817538939322868
Position 12311: 0.01788666672387503
Position 9201: 0.017577639339287878
Position 29449: 0.01690614985691881
Position 20848: 0.016734084234293095
Position 328: 0.015893643188475144
Position 106: 0.014669024051217826
Position 31234: 0.013996432364276534
Position 30915: 0.013149296790265918
Position 34135: 0.01155652435451702
Position 7927: 0.007990647783825354
Position 765: 0.0076876619173756435
Position 1287: 0.005388495464372404
Position 14465: 0.0048712828370172856
Position 8433: 0.0041517859777949
Position 14033: 0.0038921059661604336
Position 2131: 0.0031065755391460983
Position 497: 0.0027023744037122073
Position 12537: 0.002689557502258007
Position 154: 0.0019765043508780155
Position 16885: 0.0019459451825963561
Position 313: 0.0018290260126153737
Position 35519: 0.001571438091759461
Position 35402: 0.0012606214242020697
Position 181: 0.0003720207708211775
Position 174: 0.0003290147205857046
Position 26688: 0.0003091860525660834
Position 332: 0.00018510746953113714
Position 121: 0.0001775798450584293
Position 26724: 0.0001509314594153544
Position 35201: 0.00010186003156320117
Position 376: 2.236542322754363e-06
Position 145: 1.535992117110199e-07
Position 123: 6.044289869063579e-08
Position 43: 9.637192742317085e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7865: 1.0000000000000049
Position 34771: 0.9998483245518676
Position 26586: 0.9995947641391502
Position 16714: 0.9920330146700717
Position 9053: 0.9868154901035875
Position 29759: 0.9712899305852613
Position 36959: 0.9656740622103287
Position 29355: 0.9375319580257987
Position 24606: 0.9229878028164044
Position 12451: 0.9111369818428156
Position 20751: 0.8777353844332897
Position 11153: 0.8034457141737834
Position 41628: 0.7945427267587658
Position 8798: 0.6293103592259008
Position 31103: 0.5152373224738733
Position 19139: 0.41956931242596285
Position 14968: 0.35574616644313317
Position 19359: 0.310415986424322
Position 718: 0.30134437279542997
