Gene = Spc24
index = 1010
Annotated 5SS: [ 185 2619 3014 3187]
Annotated 3SS: [2473 2908 3109 4007]
SMsplice 5SS: [185]
SMsplice 3SS: [2473]
top_k =  100
Partition function (log Z): -7.687091191389987

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9760798361928563
Position 1036: 0.1590044380013219
Position 684: 0.09687425728142933
Position 2692: 0.060727839348522945
Position 2566: 0.021161601506889137
Position 52: 0.020859972081545546
Position 1856: 0.010873636948874539
Position 3014: 0.007785619023295909
Position 2032: 0.006739901522689641
Position 643: 0.005541840953227082
Position 1658: 0.0053558496818773334
Position 2528: 0.0033335212821575155
Position 1260: 0.002528258106292165
Position 195: 0.0018373271550392483
Position 458: 0.0008860550155387702
Position 2138: 0.00028016985707519546
Position 905: 0.0002004134814211367
Position 238: 0.00019587860000366388
Position 254: 5.5173538058792735e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2473: 0.5667858975118091
Position 884: 0.18312183687330627
Position 3109: 0.12694402551602044
Position 4007: 0.11840391753359271
Position 1786: 0.11668058347541889
Position 551: 0.11484714410162172
Position 1152: 0.03299828359881804
Position 4025: 0.011737542097939474
Position 1962: 0.011565077327340445
Position 1538: 0.00800165461799735
Position 3669: 0.007948841471608232
Position 2912: 0.007737824229919827
Position 3012: 0.006011935149703062
Position 2903: 0.005635521918996852
Position 2922: 0.005461258681409685
Position 764: 0.005448353810610059
Position 4756: 0.004812748270040092
Position 720: 0.004792301138878305
Position 1030: 0.00412828685854847
Position 2078: 0.004040149096826474
Position 1903: 0.0038615176999770035
Position 2338: 0.003730861764354785
Position 284: 0.003585648741438492
Position 344: 0.003162134400933379
Position 810: 0.0030368957140436523
Position 1437: 0.00298936268564023
Position 716: 0.002948341893959278
Position 2524: 0.002611416431512528
Position 254: 0.002008411400738137
Position 642: 0.0019654680866386673
Position 865: 0.0009235053267186927
Position 896: 0.0007561503057023827
Position 930: 0.0007416921263981421
Position 492: 0.00024458406816445797
Position 620: 0.00020613531710393215
Position 824: 0.00010718789455186062
Position 583: 7.719197564075018e-05
Position 558: 5.48459685429432e-05
Position 570: 3.619302008491467e-05
Position 927: 3.370196096251171e-05
Position 349: 2.4186276325399667e-05
Position 994: 2.2151410682168193e-05
Position 409: 2.096092780896262e-05
Position 286: 1.3296097729298659e-05
Position 424: 7.646703587904495e-07
Position 628: 6.81767181835095e-07
