Gene = Ric3
index = 901
Annotated 5SS: [  169 25549 26588 28967 35381]
Annotated 3SS: [25321 26514 28872 35234 44447]
SMsplice 5SS: [  169 16920 25549 26588 28967 35381]
SMsplice 3SS: [16879 25321 26514 28872 35237 44447]
top_k =  100
Partition function (log Z): -26.049408661990377

Sorted 5' Splice Sites (High to Low Probability):
Position 169: 0.9920270236111418
Position 2157: 0.3707490781828032
Position 2371: 0.2794328697656648
Position 766: 0.2009423086637366
Position 1601: 0.14359491923996726
Position 1202: 0.10688365106208413
Position 2380: 0.022946166826234835
Position 35: 0.010545974598285964
Position 1286: 0.008244202070793483
Position 1029: 0.0031245794477098737
Position 582: 0.0029449426320793063
Position 985: 0.0019536424652137297
Position 60: 0.0005502583254271064
Position 285: 0.0003506005004719194
Position 281: 0.0002639621992741651
Position 510: 0.00023480071590075647
Position 757: 8.229544609708315e-05
Position 240: 5.050890751598103e-05
Position 13: 4.993163595687354e-05
Position 779: 2.8383384339907267e-05
Position 50: 7.164857507391326e-06
Position 27: 2.0580225808803643e-06
Position 7: 8.606786869690932e-07
Position 206: 6.023706992235465e-07
Position 329: 3.969877465352675e-07
Position 69: 1.8302836244239565e-07
Position 90: 9.985535223801824e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2261: 0.5589241817320764
Position 4179: 0.3713739051613053
Position 690: 0.14470418755090797
Position 2113: 0.1260008873042154
Position 1507: 0.11681226359465058
Position 3903: 0.11029706786944167
Position 844: 0.0880965877019507
Position 2027: 0.08147751418437901
Position 2081: 0.07485332509788614
Position 3558: 0.06318616718335333
Position 5536: 0.05910489970177777
Position 614: 0.05881364465665851
Position 2006: 0.0570126124006492
Position 2054: 0.05371952105173548
Position 4700: 0.04211722627014228
Position 1112: 0.03827688593673775
Position 1424: 0.019899666680303837
Position 1141: 0.019580339477833365
Position 3588: 0.011531744611495916
Position 656: 0.009108094737241295
Position 1115: 0.008604739961534639
Position 437: 0.007807430699224276
Position 1392: 0.004930212396037719
Position 1939: 0.004694687059180458
Position 119: 0.0038930941463392273
Position 388: 0.0026109108846997706
Position 2534: 0.0024844059428600325
Position 1314: 0.001952776568975146
Position 917: 0.0010560670989929707
Position 491: 0.0008360978407048377
Position 140: 0.000486032200716675
Position 640: 0.0002754224363988678
Position 1009: 0.00014053590639769728
Position 971: 0.00013078880330660394
Position 757: 5.9196413985497325e-05
Position 585: 4.114932440149291e-05
Position 316: 4.081889516303272e-05
Position 587: 2.7481049065901044e-05
Position 581: 2.3390483281259302e-05
Position 370: 1.9737486224844147e-05
Position 149: 3.1142491610100756e-06
Position 439: 2.5154412546693255e-06
Position 390: 4.741916777989321e-08
