Gene = Eif3k
index = 370
Annotated 5SS: [ 141 1371 3945 4614 7212 7666 9283]
Annotated 3SS: [ 1271  3823  4538  7144  7587  9156 10375]
SMsplice 5SS: [ 141 1371 6726 7212 7666 9283]
SMsplice 3SS: [ 1271  6635  7144  7587  9156 10375]
top_k =  100
Partition function (log Z): -0.33286834253847886

Sorted 5' Splice Sites (High to Low Probability):
Position 7666: 0.9541943511750839
Position 1371: 0.9396466377513322
Position 9283: 0.9248262598364853
Position 7212: 0.9241484938569471
Position 141: 0.5494461524623917
Position 6726: 0.5405313672163145
Position 131: 0.300556938262843
Position 3945: 0.2923246640167989
Position 3925: 0.18220850469150862
Position 4614: 0.14406069113342834
Position 8438: 0.1243753936786196
Position 3983: 0.06826004834909204
Position 1496: 0.060353362248666484
Position 601: 0.05463942797466701
Position 112: 0.05324886741209261
Position 7706: 0.019581803982496773
Position 635: 0.016976100233360006
Position 3919: 0.016370747690088557
Position 120: 0.012251671601198473
Position 9785: 0.007484375048400568
Position 7687: 0.006807843670315302
Position 9637: 0.006658785994018485
Position 8393: 0.006453171361517844
Position 385: 0.0063043244792307775
Position 562: 0.005218435382172351
Position 492: 0.004960805971377245
Position 497: 0.004951033279888431
Position 858: 0.004816021686408154
Position 2875: 0.003515363535623703
Position 250: 0.0018654945047965781
Position 1142: 0.0016066297840611817
Position 299: 0.0014017290991731348
Position 240: 0.0012397123313917053
Position 180: 0.0008381060627837542
Position 802: 0.0007370111938337173
Position 2871: 0.00047635557503714564
Position 2076: 0.00018920863597762303
Position 3553: 0.0001725233814997471
Position 2245: 0.00015928342469821786
Position 2133: 0.00010681900082665001
Position 309: 2.3535972621495913e-06
Position 207: 1.9162118176565233e-06
Position 76: 1.423555009289652e-06
Position 260: 1.1281376330845283e-06
Position 90: 2.8194418147230504e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1271: 0.9832901723148927
Position 7587: 0.979139165113948
Position 9156: 0.9457907092761821
Position 7144: 0.9091398979418566
Position 10375: 0.5814195004926227
Position 3823: 0.5585765648623884
Position 6635: 0.5169803712825868
Position 8274: 0.09061652582821737
Position 9528: 0.07926541218733515
Position 9892: 0.0767699268414854
Position 4538: 0.06968815836918199
Position 10222: 0.05950423192249646
Position 10053: 0.058564445971970004
Position 9700: 0.04234218122812035
Position 4562: 0.04108044537401174
Position 8353: 0.03775771363331816
Position 6488: 0.02355099593372776
Position 4466: 0.021686810751149994
Position 9398: 0.018524904881193207
Position 7065: 0.015008595915090463
Position 9405: 0.013147463824334599
Position 4330: 0.011605276639084613
Position 9636: 0.01155461332281096
Position 9104: 0.011228991342663978
Position 9809: 0.010968877948682603
Position 424: 0.009458471126567534
Position 1242: 0.008876527016024548
Position 372: 0.007639660202439824
Position 10260: 0.0075529817386844784
Position 8567: 0.005158468451736498
Position 9111: 0.004437472254146938
Position 10080: 0.0042889224888834196
Position 8329: 0.0038787921257176453
Position 8183: 0.0035105295320197703
Position 7528: 0.003441315801590951
Position 2808: 0.0031523820865561806
Position 1141: 0.0029964198385542063
Position 1199: 0.0025707016978134536
Position 991: 0.0018814547463937346
Position 7912: 0.0013543865809631356
Position 1161: 0.001142518568498381
Position 746: 0.0010849111242684263
Position 1995: 0.00045531106150249154
Position 1402: 0.00045457430845221344
Position 3757: 0.00044466070092773424
Position 309: 0.00040306962912891556
Position 1207: 0.00039421841646619546
Position 2656: 0.0003471409708784894
Position 2778: 0.00032332358759812617
Position 347: 0.0002544909882645772
Position 776: 0.00022390230813974302
Position 461: 0.00020184504958532898
Position 291: 0.0001923312053551805
Position 3472: 0.00017252338149974727
Position 2676: 0.00016887246562805156
Position 7442: 0.00016407324907010152
Position 3851: 0.00014273918417191355
Position 7312: 3.787087439895966e-07
Position 1035: 4.287696488235988e-08
