Gene = 3110040N11Rik
index = 44
Annotated 5SS: [ 124 1029 3402 6448]
Annotated 3SS: [ 901 3273 6339 6896]
SMsplice 5SS: [ 227 1029 3402 6448]
SMsplice 3SS: [ 901 3273 6339 6662]
top_k =  100
Partition function (log Z): -4.374864685099628

Sorted 5' Splice Sites (High to Low Probability):
Position 3402: 0.9970707613936959
Position 1029: 0.9809493511855506
Position 6448: 0.5099124769228662
Position 227: 0.4454316106694286
Position 835: 0.26480563550501496
Position 2550: 0.07151137349462477
Position 110: 0.06551449601572082
Position 344: 0.05580899452919385
Position 51: 0.04819101879663661
Position 154: 0.04493426821958702
Position 4139: 0.03492729649626536
Position 47: 0.028700011801582055
Position 4277: 0.025202980319786215
Position 2127: 0.016052113767790487
Position 55: 0.014734743815441547
Position 3191: 0.006201777196512229
Position 2765: 0.004936763140596061
Position 271: 0.004501397494064949
Position 2996: 0.004216354604413172
Position 815: 0.004180238501262326
Position 1744: 0.004007964093972581
Position 221: 0.003219718064728579
Position 2252: 0.002183482447804512
Position 795: 0.0021138041648198326
Position 759: 0.001945453136823703
Position 1977: 0.001867442094849456
Position 1190: 0.0017017755548151077
Position 1920: 0.0016431569386208254
Position 2574: 0.0016430953489426877
Position 2724: 0.001631606748444723
Position 26: 0.001330220134419877
Position 364: 0.000667118924970462
Position 142: 0.0005796708670726758
Position 3363: 1.2092048793886199e-05
Position 70: 1.4226009043802607e-06
Position 86: 2.6563732510502825e-07
Position 23: 2.582300773457366e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3273: 0.9345663297438158
Position 901: 0.8747515156035608
Position 6339: 0.6756205694255293
Position 6662: 0.2119425099998966
Position 7148: 0.18917585417347837
Position 5131: 0.0874581591464102
Position 947: 0.0751565070968452
Position 3309: 0.06508012957016522
Position 2479: 0.046672300846082336
Position 6592: 0.038985464035709586
Position 6896: 0.036797689989251675
Position 7242: 0.03442291051179423
Position 5753: 0.03040503464383065
Position 4156: 0.028808469595161423
Position 5997: 0.0256659696067065
Position 4127: 0.02319081043527458
Position 4054: 0.021667850822596493
Position 6855: 0.018828159514820614
Position 6391: 0.017721129866683026
Position 6935: 0.013363089257820008
Position 2026: 0.012978741228138135
Position 4018: 0.011805579781893703
Position 4079: 0.011619416346342962
Position 4809: 0.009556052276916221
Position 986: 0.00939824607370554
Position 3979: 0.009050327951911845
Position 1834: 0.008767454020927146
Position 3507: 0.008399615412637111
Position 7102: 0.008103941813276814
Position 5256: 0.0076864471077846
Position 2349: 0.007020440263469307
Position 2298: 0.006706903326065034
Position 2610: 0.006568369889040783
Position 3084: 0.00620549245973664
Position 3772: 0.006151992997552961
Position 6921: 0.005703402094536665
Position 6360: 0.0053208904371928436
Position 6903: 0.005038136194050315
Position 2398: 0.0042348466812698335
Position 2520: 0.0039277048725329606
Position 3999: 0.0037591730078118026
Position 4513: 0.003108014326815507
Position 1613: 0.003073211802583065
Position 5299: 0.0029901900756594524
Position 5354: 0.0029325313876489324
Position 2386: 0.002580714635445756
Position 4793: 0.002544986461020425
Position 956: 0.0025163929836655293
Position 2358: 0.0020115582187022335
Position 3961: 0.0020104525273616316
Position 2904: 0.001579411569605092
Position 4620: 0.0014735336714708947
Position 4759: 0.001455280196790077
Position 4410: 0.0014397644046885145
Position 226: 0.0013841669230284196
Position 2868: 0.0013250300646745472
Position 2763: 0.0013119129701335325
Position 1150: 0.0011857859589360972
Position 3521: 0.0010894817104709835
Position 1637: 0.0009347522913895159
Position 4138: 0.0009219303215422744
Position 4327: 0.0009107956510676719
Position 443: 0.0009033417946449987
Position 971: 0.0008757999169127376
Position 1106: 0.0005159895958790105
Position 645: 0.0005032322921205424
Position 651: 0.00048800268822430856
Position 599: 0.0004033189013456596
Position 725: 0.00029071337195440793
Position 3190: 0.0002892884165874262
Position 552: 0.00026956465545873365
Position 534: 0.00022111439631962643
Position 527: 0.0001297095896593149
Position 776: 0.00010900326858255481
Position 617: 8.423298787163756e-05
Position 593: 6.471878419050141e-05
Position 3362: 6.0537006207155564e-05
Position 254: 5.19264259339345e-05
Position 1011: 8.190540601078815e-06
