Gene = Dkk2
index = 335
Annotated 5SS: [  963 88643 89833]
Annotated 3SS: [88491 89676 92577]
SMsplice 5SS: [  385   963 27780 46881 47149 68716 72660 88160 88643 89833]
SMsplice 3SS: [  705 27612 46797 46985 68606 72498 87980 88491 89676 92577]
top_k =  100
Partition function (log Z): -50.1477109380077

Sorted 5' Splice Sites (High to Low Probability):
Position 963: 0.8992849775172403
Position 385: 0.6913084306385929
Position 3976: 0.04927548149013422
Position 145: 0.037130915855664824
Position 224: 0.02137584339877401
Position 100: 0.019601716316510823
Position 337: 0.017194447700473393
Position 330: 0.011134629995967671
Position 153: 0.009715686316013798
Position 5866: 0.00922498005073548
Position 5561: 0.008721826488916676
Position 140: 0.006992384856051964
Position 515: 0.005021935433520809
Position 528: 0.004920624498841813
Position 539: 0.004250389737444845
Position 544: 0.0029536744212679726
Position 627: 0.0018907468583355702
Position 94: 0.001324852791418485
Position 609: 0.0011710779058532034
Position 63: 0.0011165473761041394
Position 430: 0.000911964166985492
Position 216: 0.00046315311752503734
Position 53: 0.00033898809347504896
Position 447: 0.00032161289918345977
Position 369: 0.00031434158505791145
Position 584: 0.000278950505739188
Position 574: 0.00021425526195914532
Position 213: 0.0001835923333923029

Sorted 3' Splice Sites (High to Low Probability):
Position 705: 0.779731454276128
Position 8629: 0.1849882893203766
Position 5720: 0.11956122293798983
Position 4024: 0.11874651578409323
Position 5231: 0.09466937012662524
Position 3818: 0.08701419641794758
Position 6500: 0.05907930288712161
Position 5119: 0.05540506102884328
Position 9594: 0.04184850334203467
Position 5940: 0.04163576661113491
Position 3780: 0.024326778521605332
Position 2728: 0.020707426891352142
Position 4910: 0.019082902261844396
Position 4001: 0.0172885306865408
Position 7499: 0.016450292957208394
Position 5377: 0.01573562976570154
Position 7467: 0.014471877347276816
Position 867: 0.010990554220447445
Position 6516: 0.00999977195263511
Position 1029: 0.008580307768415278
Position 6104: 0.00807142940412546
Position 5096: 0.008021793716294636
Position 1281: 0.00677645917537948
Position 3451: 0.005607380681855471
Position 3631: 0.005445758042648164
Position 4790: 0.004569453955809343
Position 493: 0.004277550437848578
Position 3970: 0.003931297526547375
Position 3666: 0.00373974205259474
Position 3096: 0.003733891957359579
Position 1980: 0.0028432024941293264
Position 3257: 0.0027211359799736005
Position 2989: 0.0020495450796762854
Position 1253: 0.0019345879454731926
Position 1556: 0.0016095814880672137
Position 764: 0.0005161121524728362
Position 857: 0.00031911259835188017
Position 906: 0.00011968800669155273
Position 740: 3.4658121357763566e-05
Position 603: 1.0951077704589033e-06
Position 554: 7.965814282433948e-07
