Gene = 2810459M11Rik
index = 41
Annotated 5SS: [ 710 2839]
Annotated 3SS: [2724 7086]
SMsplice 5SS: [ 710 2637 2839]
SMsplice 3SS: [2559 2724 7086]
top_k =  100
Partition function (log Z): -5.056056654316455

Sorted 5' Splice Sites (High to Low Probability):
Position 2839: 0.9980252857035252
Position 710: 0.9039723938375496
Position 7281: 0.7261614468286488
Position 2637: 0.7022193467565938
Position 2433: 0.1008806036210021
Position 2183: 0.0865818381428843
Position 2371: 0.05843113437751926
Position 598: 0.056177444633731845
Position 196: 0.032755817457018596
Position 954: 0.029836700154128006
Position 483: 0.029492548004531494
Position 1817: 0.024704311198520568
Position 527: 0.022899901121879725
Position 2641: 0.01688076365800892
Position 5690: 0.014607622420522291
Position 5082: 0.014442577657177148
Position 4872: 0.006107090455064713
Position 2293: 0.005295167902984719
Position 3488: 0.0042370307583324595
Position 5179: 0.00376860641635741
Position 6389: 0.002192922288108716
Position 469: 0.0020356979953856293
Position 205: 0.0015950979078448039
Position 502: 0.0009296329415835425
Position 485: 0.0008571464654870452
Position 165: 0.0008047431194234025
Position 799: 0.000333873345458987
Position 182: 0.0002832470354067406
Position 1501: 0.00019819867733083017
Position 169: 0.00013198493498447155
Position 924: 0.00011999960695719928
Position 583: 0.00011603151784689538

Sorted 3' Splice Sites (High to Low Probability):
Position 7086: 0.9240478769471517
Position 2724: 0.8209143816152856
Position 2559: 0.7162165732424368
Position 2105: 0.1778525064079759
Position 2727: 0.17565305260766356
Position 9276: 0.10810238027265456
Position 9366: 0.07980722484502369
Position 9074: 0.07893388093398271
Position 9041: 0.06429021216229701
Position 8439: 0.050636124178781404
Position 7375: 0.048674988489751214
Position 597: 0.04821193499019483
Position 9136: 0.045542318551832155
Position 7861: 0.04498848831705181
Position 9222: 0.04447747868762987
Position 2321: 0.040777766883654754
Position 7212: 0.037023678874182286
Position 8460: 0.03605954209034377
Position 7504: 0.03196021681266973
Position 2275: 0.03139443037894255
Position 8418: 0.021236940538181398
Position 8324: 0.02084893112024051
Position 1651: 0.018341320132096155
Position 8125: 0.017545071478140557
Position 7575: 0.017532074005709577
Position 5599: 0.014607622420522291
Position 5044: 0.01086392205054547
Position 8889: 0.010552315943538351
Position 7547: 0.01032860004839186
Position 650: 0.009936966430440399
Position 779: 0.0096571910609271
Position 4871: 0.007347262022989087
Position 831: 0.0070738529299742125
Position 5849: 0.0066701829921785895
Position 7783: 0.00600709644246357
Position 2575: 0.0052349432391705225
Position 7759: 0.005143548545040323
Position 1707: 0.003699850090947381
Position 4758: 0.0036648078242982798
Position 7097: 0.002682085243690095
Position 6855: 0.002563385714745472
Position 1723: 0.0025161713279572145
Position 798: 0.002510363891537813
Position 4729: 0.0024422826307664313
Position 3590: 0.002425178982805248
Position 6273: 0.002192922288108716
Position 558: 0.0019253542382056228
Position 3363: 0.0018758563578575279
Position 5832: 0.0017240704955690648
Position 5265: 0.0015003408776350273
Position 3699: 0.0014432927372535018
Position 6057: 0.0014392062032380388
Position 2150: 0.0010912241510561322
Position 2730: 0.0010811597100467414
Position 3318: 0.001070362881891546
Position 823: 0.0009852997126685963
Position 893: 0.0009783921284108785
Position 3420: 0.0006735441567985226
Position 3312: 0.0006172673617848631
Position 852: 0.000432317828049346
Position 663: 0.0003313888128045444
Position 619: 0.00029919805600215845
Position 1294: 0.00011975994022189272
Position 1321: 7.843873710893727e-05
Position 1568: 7.401862152656158e-05
Position 1603: 7.295102599326552e-05
Position 2074: 7.28162227609399e-05
