Gene = I830077J02Rik
index = 553
Annotated 5SS: [ 107 3931 4700 5518 5797]
Annotated 3SS: [3882 4641 5422 5746 6065]
SMsplice 5SS: [ 107 1438]
SMsplice 3SS: [1361 4641]
top_k =  100
Partition function (log Z): -5.936374322489894

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9849475166153717
Position 1438: 0.7836697790738358
Position 793: 0.3629882571276628
Position 4700: 0.28242853415119934
Position 753: 0.22173380053468972
Position 5797: 0.17296763716595917
Position 1448: 0.1245438525868808
Position 4806: 0.080376701095471
Position 3931: 0.04479085075500475
Position 5962: 0.04078332960968843
Position 2593: 0.03096261661513512
Position 3170: 0.030512775823395167
Position 3970: 0.02677407564789433
Position 2808: 0.020349653063717527
Position 1300: 0.02004071963353224
Position 2495: 0.01902021559932366
Position 478: 0.015666508127657967
Position 828: 0.012577706225054273
Position 2222: 0.012186876688326407
Position 254: 0.008265131669391877
Position 3258: 0.003911057761735832
Position 360: 0.0007200242904691194
Position 82: 0.00020223214793046413
Position 362: 4.1866273198791276e-05
Position 93: 1.2280810365677238e-07
Position 66: 5.976546400338753e-08
Position 6: 4.9879294801985135e-08
Position 54: 2.6667101413367473e-08
Position 166: 2.2837110846902375e-08
Position 198: 1.5126643982348078e-08
Position 171: 6.066031082439364e-09
Position 15: 1.8433285545043457e-09
Position 186: 1.2859159502590473e-09
Position 189: 4.2579682003027495e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4641: 0.8405855190372116
Position 1361: 0.6872999240749547
Position 6065: 0.3568960492852223
Position 556: 0.2598949204906346
Position 5746: 0.2140280350154888
Position 552: 0.17914710607438278
Position 692: 0.14196365346243375
Position 5601: 0.1357415189475478
Position 1413: 0.12923698590431196
Position 3882: 0.07835183764476261
Position 1391: 0.04128175286385563
Position 1157: 0.03775192977400845
Position 2326: 0.03586308357242835
Position 3056: 0.03442383358513104
Position 1212: 0.02733833564441894
Position 2526: 0.023182604052295816
Position 2485: 0.010323877942826472
Position 1366: 0.008673660920279979
Position 2563: 0.008625549820635592
Position 2021: 0.008222209661643293
Position 708: 0.006749468378006537
Position 5108: 0.0055144445565744465
Position 593: 0.005237252326345546
Position 668: 0.004775510313939811
Position 236: 0.00380478996596585
Position 171: 0.003331284428190411
Position 2060: 0.0029299483668882454
Position 2158: 0.0026782477584039533
Position 271: 0.002187754477389655
Position 1136: 0.0009511409928070881
Position 1174: 0.0007178342154902005
Position 744: 0.0005936822626878291
Position 646: 0.0005292837937719344
Position 207: 0.0005099575194502738
Position 451: 0.00031670857841488296
Position 1236: 0.00029733694021613746
Position 416: 0.0001818331281527545
Position 360: 0.0001216522746846506
Position 1419: 8.33424016641987e-05
Position 252: 5.5104090578586806e-05
Position 612: 2.6515990406961544e-05
Position 713: 2.1584985049462296e-05
Position 258: 1.495904239068447e-05
