Gene = Khdc4
index = 605
Annotated 5SS: [   85   764  3501  3901  7326  7782 10974 13107 14206 14712 23139 24140
 25050]
Annotated 3SS: [  540  3371  3820  7272  7617 10761 13045 14147 14457 22976 24026 24957
 25826]
SMsplice 5SS: [   85   764  3501  3960 10974 13107 14258 14712 23139 24140 25050]
SMsplice 3SS: [  540  3371  3820 10761 13045 14147 14457 23042 24026 24957 25826]
top_k =  100
Partition function (log Z): 0.6126596849119128

Sorted 5' Splice Sites (High to Low Probability):
Position 10974: 0.9997899489161364
Position 14712: 0.9984955110991667
Position 764: 0.9979669630880035
Position 3501: 0.981570117296831
Position 3960: 0.9499896033493869
Position 14258: 0.8155568434514532
Position 85: 0.7790673903686247
Position 13107: 0.6661990644535021
Position 7782: 0.1937442992821861
Position 383: 0.16094399335566575
Position 2226: 0.13962933696146382
Position 3668: 0.09781570190902675
Position 7326: 0.09164534539929729
Position 2666: 0.0909821236485669
Position 14206: 0.06476985164128779
Position 18378: 0.05990959258122603
Position 2939: 0.048792006812541124
Position 260: 0.04523904687327052
Position 25920: 0.04230796555031793
Position 3291: 0.03650916528207775
Position 3901: 0.02039673365366436
Position 25969: 0.01974490114854428
Position 2782: 0.019662665231281955
Position 3905: 0.019412536844224802
Position 361: 0.015292263055772512
Position 606: 0.013189779481419046
Position 866: 0.009754881879481656
Position 3683: 0.009128274252292738
Position 3983: 0.008230250287603626
Position 3701: 0.0058283573115553156
Position 1432: 0.004418012389675469
Position 378: 0.0040268118630859525
Position 3530: 0.00348557365731452
Position 2210: 0.003463011609213036
Position 347: 0.0031452913554875597
Position 3541: 0.002542235268079305
Position 9: 0.0014318543802965664
Position 475: 0.0011249551128010636
Position 177: 0.0008224464985398133
Position 4341: 0.0006419445541237342
Position 4259: 0.0006316141736938735
Position 220: 0.00031662255137704013
Position 186: 0.00020599775966300885
Position 206: 0.00011626223802502495
Position 156: 0.00010401117125675214
Position 13: 4.3920082240110846e-05
Position 330: 2.479262424951646e-05
Position 3915: 9.234524996373084e-06
Position 3890: 5.9871681746803995e-06
Position 406: 3.152841350815084e-07
Position 6: 2.6845575304016546e-07
Position 49: 2.3285029512695624e-07
Position 24: 2.8541826078000888e-09
Position 27: 9.36231528589924e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10761: 0.9998091607724205
Position 3371: 0.9846759543224077
Position 25826: 0.9810992003824784
Position 14147: 0.8803266950927412
Position 3820: 0.8682541020770287
Position 540: 0.7904830818269594
Position 14457: 0.689147934275434
Position 13045: 0.6661990644535021
Position 14558: 0.2970952518364028
Position 7617: 0.1938878436785305
Position 668: 0.18067884114794786
Position 3800: 0.12980126921854196
Position 3566: 0.10092525426706464
Position 2134: 0.09733662469545973
Position 27080: 0.06205286669886221
Position 18321: 0.0616159336004095
Position 7224: 0.05113981224039108
Position 2494: 0.04888027005538667
Position 7272: 0.04050553315890621
Position 2490: 0.03908816421370977
Position 605: 0.03863312712316609
Position 2026: 0.03777826492611255
Position 3053: 0.03650916528207775
Position 2860: 0.0303321410148021
Position 2729: 0.020474124909686465
Position 14383: 0.013413380610867994
Position 830: 0.009742592998461315
Position 14878: 0.009512471062751118
Position 3597: 0.008308608077019284
Position 2590: 0.007107172687576122
Position 2068: 0.00616393290986166
Position 2881: 0.005759076456607448
Position 2525: 0.005247054481979761
Position 3377: 0.004855111124558483
Position 296: 0.0037812779119226203
Position 299: 0.0037142578507206106
Position 180: 0.0034064629049637813
Position 2617: 0.002548791872641662
Position 1984: 0.001813526039242875
Position 17376: 0.0017423864218528312
Position 1371: 0.001644271136325113
Position 1187: 0.0015679025838528035
Position 3466: 0.0015041779956528913
Position 16316: 0.001382803873003676
Position 4105: 0.0013067120220535732
Position 959: 0.0012058386694975517
Position 15532: 0.0007908165655219864
Position 14914: 0.0007879937140042125
Position 457: 0.0006717023526342351
Position 247: 0.0006504148270021783
Position 17920: 0.0005287551275365733
Position 17356: 0.00043809113026689015
Position 15475: 0.00036376481128515243
Position 249: 0.0002983804422035824
Position 316: 0.00029690095345916894
Position 16497: 0.00027626918471270194
Position 199: 0.0001649695704896422
Position 177: 0.00011611078953968383
Position 3661: 0.00010115390839656585
Position 273: 6.655704489311721e-05
Position 326: 1.8480687203444153e-05
Position 342: 1.772612851416451e-05
Position 277: 1.5667945491527103e-05
Position 225: 1.2624625725767936e-05
Position 268: 1.0778810528329745e-05
Position 310: 7.442185746763321e-06
Position 549: 6.874752579447165e-06
Position 671: 6.80716796798161e-06
Position 305: 5.95157006365456e-06
Position 266: 5.707259983846833e-06
Position 703: 2.1817378460981754e-06
Position 5548: 1.8383846654749077e-06
Position 728: 1.5424850248727202e-06
Position 3825: 1.277684815854145e-06
Position 614: 1.2125421780969473e-06
Position 517: 4.2847663760445347e-07
