Gene = Gtf2a2
index = 524
Annotated 5SS: [ 112 2861 4374 6966]
Annotated 3SS: [2741 4268 6838 9886]
SMsplice 5SS: [ 112 2861 4374 6966]
SMsplice 3SS: [2741 4237 6838 9886]
top_k =  100
Partition function (log Z): -5.579988817119553

Sorted 5' Splice Sites (High to Low Probability):
Position 112: 0.979493772037457
Position 6966: 0.9633315348796161
Position 2861: 0.7901632948729886
Position 4374: 0.7283929036924011
Position 4642: 0.4946667422455919
Position 2466: 0.3352008703937478
Position 4424: 0.24183143973437576
Position 3388: 0.1740415512005851
Position 681: 0.08423664882120918
Position 6269: 0.07450573083355522
Position 1420: 0.04398454160464924
Position 7994: 0.03124959095425398
Position 2473: 0.015055664720302184
Position 8798: 0.013183336645756766
Position 774: 0.010248911942957923
Position 2456: 0.006237235164315794
Position 1569: 0.002064237554669746
Position 160: 0.0013326558895578075
Position 579: 0.0005369857961075403
Position 310: 0.00011553117894184175
Position 403: 9.415624440445673e-05
Position 599: 2.8671028989140146e-05
Position 50: 8.213863029857775e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 6838: 0.9874031787972862
Position 2741: 0.7413819034229175
Position 9886: 0.5692158898862555
Position 4237: 0.4860222836302341
Position 4268: 0.47206803466056374
Position 4522: 0.4675848096122378
Position 2372: 0.31507158377847
Position 3217: 0.1382772984546348
Position 9482: 0.08133909343691448
Position 6129: 0.07450573083355519
Position 8656: 0.06451143552267627
Position 9824: 0.06110577089256038
Position 2786: 0.04875684539787746
Position 598: 0.04428497530582282
Position 7993: 0.03580621586134124
Position 9113: 0.03385049401446274
Position 9303: 0.033679000111849676
Position 2317: 0.032617763007915065
Position 4277: 0.03253674894573248
Position 1294: 0.031937839074442746
Position 7784: 0.02894160161364965
Position 3100: 0.02868760992936148
Position 7662: 0.02581428838990507
Position 8194: 0.02431293916026319
Position 591: 0.021941503403894152
Position 7142: 0.01602052443642299
Position 7441: 0.014787760500523158
Position 1249: 0.013909019242730629
Position 4593: 0.00972442788378361
Position 7055: 0.009447491106453411
Position 8495: 0.005743708489937181
Position 4747: 0.005618237553924516
Position 3213: 0.004262244747026804
Position 473: 0.0041494335435396145
Position 5782: 0.003933364588604737
Position 718: 0.003808185507808721
Position 2321: 0.0032974174943509026
Position 2117: 0.003263839985790626
Position 7275: 0.003188249056412723
Position 3311: 0.0028143980695620736
Position 2091: 0.002267712064032886
Position 543: 0.0010118769263390893
Position 240: 0.0008921796385243606
Position 1471: 0.0002019208421456127
