Gene = Gar1
index = 421
Annotated 5SS: [ 279  802 2060 2492 4573 5849]
Annotated 3SS: [ 542 1904 2431 4421 5779 6186]
SMsplice 5SS: [ 279 2077 4573]
SMsplice 3SS: [1904 4421 5779]
top_k =  100
Partition function (log Z): -4.421314494349722

Sorted 5' Splice Sites (High to Low Probability):
Position 4573: 0.9142627461772087
Position 2077: 0.8749911076811578
Position 279: 0.6290946055703551
Position 5849: 0.5278742662654297
Position 106: 0.34145074711489415
Position 802: 0.2851076446227363
Position 4933: 0.23204118472776994
Position 5367: 0.02327010068297462
Position 1637: 0.022301566064325318
Position 4957: 0.02186811421515713
Position 5127: 0.020794125269115678
Position 1625: 0.014209233003056
Position 41: 0.013152560993303739
Position 1607: 0.011989019465954815
Position 305: 0.008589546360928303
Position 1973: 0.0076173995731066545
Position 132: 0.005634391603952189
Position 180: 0.003977656603516833
Position 2060: 0.002351587344511601
Position 957: 0.0023472981763518123
Position 1352: 0.0021912468949056483
Position 211: 0.0006754302355402465
Position 87: 7.701238505810641e-05
Position 21: 1.0732581421442101e-05
Position 57: 4.820102585081722e-06
Position 92: 3.6970588507172414e-06
Position 32: 3.1588657459516653e-06
Position 94: 1.5084143089067251e-06
Position 75: 1.1768720721716138e-06
Position 113: 2.4916996228138077e-07
Position 127: 9.459780524040473e-10
Position 135: 1.0416592799518886e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5779: 0.9700224639350644
Position 1904: 0.878520514517566
Position 4421: 0.7335131783982975
Position 6186: 0.3958534452805134
Position 4813: 0.21058285588797027
Position 542: 0.17818131969842588
Position 4457: 0.14516319189565688
Position 5925: 0.07553662285106755
Position 175: 0.07383232119845058
Position 1451: 0.03616500595127773
Position 6001: 0.02858894681064613
Position 4896: 0.027115649824176913
Position 4243: 0.02326653983609933
Position 5303: 0.020527426476300747
Position 4745: 0.01848352904124259
Position 573: 0.017272463075886462
Position 6123: 0.014112087276822371
Position 5958: 0.013812482378392103
Position 1417: 0.012334812582058409
Position 4168: 0.012319836047154932
Position 6282: 0.011279987633561634
Position 4737: 0.010736051477586273
Position 5711: 0.009059297688826214
Position 5261: 0.00845515619703463
Position 1934: 0.007698270911378262
Position 4877: 0.0071640777241293915
Position 631: 0.004557839485225866
Position 679: 0.0037664564704349237
Position 712: 0.0026654278678292314
Position 549: 0.0024635261828248444
Position 4707: 0.0024381648546635756
Position 880: 0.0023291491222768627
Position 1232: 0.002191246894905651
Position 522: 0.001447526716868931
Position 567: 0.0013755502773388538
Position 110: 0.0007881959820814421
Position 609: 0.0007588467176693097
Position 2159: 0.0007235709958903122
Position 519: 0.0007140018556458262
Position 135: 3.087033483299032e-05
Position 159: 1.9829730361458398e-05
Position 1910: 5.058557612112422e-06
Position 603: 4.586065002590942e-06
Position 706: 4.475915035645785e-06
Position 210: 3.537450070561138e-06
Position 490: 2.6114346358555673e-06
Position 774: 2.5242804390929902e-06
Position 257: 1.204332604317594e-06
Position 207: 1.0693710957083283e-06
Position 217: 8.294146405091996e-07
Position 228: 1.2932888601072602e-07
Position 471: 1.0994666151199387e-07
Position 475: 6.096527892734919e-08
