Gene = Ddias
index = 327
Annotated 5SS: [  107  1486  7677 11923 12848]
Annotated 3SS: [ 1402  7547 11760 12729 13934]
SMsplice 5SS: [  107  1486  6136  7677 11923 12848]
SMsplice 3SS: [ 1402  6048  7547 11760 12729 13934]
top_k =  100
Partition function (log Z): -1.3305880191226964

Sorted 5' Splice Sites (High to Low Probability):
Position 11923: 0.9999999999999989
Position 107: 0.9908946811567533
Position 12848: 0.8798317911256268
Position 7677: 0.8126843179200783
Position 1486: 0.7535861179957836
Position 6136: 0.7021373732189413
Position 7644: 0.18731568207992122
Position 5974: 0.14664362970738024
Position 9570: 0.132471435732002
Position 12422: 0.1052840927849546
Position 8860: 0.0744301493783624
Position 2098: 0.06495132881942373
Position 8927: 0.05244509397311735
Position 6570: 0.03883184951270298
Position 13993: 0.030906652838222148
Position 9985: 0.020155858968983916
Position 365: 0.01929306096378311
Position 12584: 0.01880895035740424
Position 3784: 0.013648511345402677
Position 12730: 0.011690716781137735
Position 12691: 0.00880599132295883
Position 12154: 0.007972276962534063
Position 1325: 0.0060971313109938145
Position 1222: 0.005030720503534174
Position 378: 0.00473639486826514
Position 393: 0.004206522891672645
Position 231: 0.0034541882424347125
Position 453: 0.0011407599538914121
Position 273: 0.000961384578864362
Position 476: 0.0008371341370696519
Position 613: 0.0004517925363261359
Position 12842: 0.00017100560783271478
Position 91: 8.733245791812783e-06
Position 74: 3.0391493108042e-06
Position 170: 1.9661333947363655e-06
Position 185: 1.7049061361781202e-06
Position 87: 1.4386608843696126e-06
Position 93: 8.847967713301114e-07
Position 244: 6.041881666954687e-07
Position 145: 5.128520810930472e-07
Position 213: 3.132757300221254e-07
Position 127: 1.301728348656221e-07
Position 34: 5.471912772650581e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 7547: 0.9999999999999998
Position 11760: 0.9999999999999991
Position 12729: 0.8611897895754006
Position 1402: 0.7358506289638251
Position 13934: 0.7085783091433575
Position 6048: 0.5777281280567612
Position 9379: 0.13247143573200204
Position 8779: 0.1268752433514798
Position 5924: 0.12280758695127815
Position 12277: 0.11487206826432114
Position 14672: 0.083199206461078
Position 5741: 0.07883115898541275
Position 14947: 0.07435583039742509
Position 5703: 0.06941412893286956
Position 12576: 0.05327300269191164
Position 1826: 0.04553161297916252
Position 12997: 0.031602256615650894
Position 12690: 0.02954091755941145
Position 6438: 0.029402771647874023
Position 201: 0.022055928621125688
Position 9892: 0.020155858968983933
Position 2018: 0.01941971584026119
Position 1316: 0.017682451274357542
Position 15262: 0.0155079442700728
Position 13265: 0.014459794559041738
Position 3682: 0.013648511345402677
Position 12917: 0.013596722678109683
Position 14408: 0.010239136834823193
Position 13226: 0.009488459068922098
Position 6405: 0.009429077864828965
Position 15632: 0.009134863606138027
Position 12280: 0.007830435435891334
Position 1115: 0.007163715394064485
Position 12153: 0.006947947788417305
Position 14123: 0.006896149399062549
Position 12035: 0.004904509236806489
Position 13170: 0.004625825189226612
Position 12019: 0.003067767725727575
Position 1159: 0.0026389340532720906
Position 272: 0.0019544720080173317
Position 412: 0.0019191941748558433
Position 1221: 0.0008627045381054077
Position 1130: 0.00032780774023426765
Position 12309: 0.0001605412798754666
Position 1111: 0.00011656493288441919
Position 230: 6.557186735002275e-05
Position 1324: 5.9586561551034515e-05
Position 1484: 1.0987943007265608e-05
Position 872: 5.884090094182566e-07
Position 281: 8.551072717080979e-08
