Gene = Syne4
index = 1053
Annotated 5SS: [ 271  585 1558 1952 2276 3227 3916]
Annotated 3SS: [ 445 1413 1756 2026 3151 3856 4007]
SMsplice 5SS: [ 271  585 1558 2276 3227 3916]
SMsplice 3SS: [ 445 1478 2026 3151 3856 4007]
top_k =  100
Partition function (log Z): 6.260744292309598

Sorted 5' Splice Sites (High to Low Probability):
Position 3227: 0.9926014406067571
Position 271: 0.978544474983845
Position 1558: 0.9507353856469622
Position 3916: 0.9130363637748808
Position 585: 0.9023893762447713
Position 2276: 0.7698582115734242
Position 3701: 0.3496879983493535
Position 1952: 0.3463269562563779
Position 2326: 0.12625052741777304
Position 3619: 0.043916260280849745
Position 1815: 0.040055314312943346
Position 47: 0.03400443190715081
Position 2347: 0.032222820768918775
Position 2124: 0.0274226634803248
Position 1122: 0.027103266946796812
Position 694: 0.025616560864322742
Position 871: 0.021046821290529236
Position 2226: 0.014880605529606633
Position 3744: 0.00460278745243853
Position 4072: 0.004050657382791905
Position 1836: 0.002707436847696814
Position 3260: 0.0023577847762605163
Position 2097: 0.0022885218107120114
Position 1577: 0.0017732712304245298
Position 168: 0.0017405521057948243
Position 188: 0.0015957082946982135
Position 1868: 0.0014940762445881277
Position 133: 0.0009492262840494384
Position 324: 0.0007330402069989285
Position 3872: 0.00033086856511596184
Position 580: 0.0002580755456081885
Position 294: 0.00023104477126677643
Position 291: 0.00011367903091032811
Position 374: 0.00011185356395804814
Position 152: 8.51107210253293e-05
Position 224: 6.887022356431125e-05
Position 28: 5.33485388139806e-05
Position 51: 1.601874817355707e-05
Position 1604: 1.4963865577528986e-05
Position 1726: 1.2104673587121767e-05
Position 73: 1.0376299483896097e-05
Position 82: 1.1023906672587581e-06
Position 101: 8.330100033114611e-07
Position 195: 1.4271462890331989e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4007: 0.9521720848720514
Position 3151: 0.9281113205982092
Position 3856: 0.9184254194979173
Position 445: 0.8694526016510418
Position 2026: 0.7307731831843709
Position 1478: 0.5446777515375518
Position 3514: 0.3441083186235121
Position 1435: 0.21398621855396127
Position 2192: 0.12901069406460364
Position 1756: 0.12117492283288234
Position 2144: 0.11179539925834225
Position 1867: 0.08922398316110043
Position 1665: 0.08686302367830458
Position 1765: 0.08485056153984401
Position 1497: 0.08479330590219582
Position 1413: 0.06559728360114189
Position 3045: 0.050542200719128544
Position 417: 0.04282804569470471
Position 3553: 0.04049928294435292
Position 1190: 0.032464990861962605
Position 3409: 0.025043400449829473
Position 1050: 0.019360291939874652
Position 3092: 0.016305704065680812
Position 3861: 0.01604077392301603
Position 4015: 0.011495187523283015
Position 133: 0.010792584935435697
Position 767: 0.009111961868914971
Position 1026: 0.007663157956570714
Position 206: 0.006073008877817543
Position 1248: 0.005995415690990619
Position 653: 0.0054665427293116116
Position 450: 0.005221418423621995
Position 1829: 0.00446174179028015
Position 839: 0.0037108238949973144
Position 357: 0.003289216569644415
Position 1921: 0.0030269057656951556
Position 4157: 0.002526470413061283
Position 808: 0.0022788039780557044
Position 611: 0.002159966470749859
Position 4136: 0.0020662821604155238
Position 182: 0.0017666175278943394
Position 360: 0.0013738806586482185
Position 2216: 0.001252702642539957
Position 1271: 0.0011710198229201258
Position 1195: 0.0010665653549589865
Position 718: 0.0010663979729911147
Position 1927: 0.0009947495670867533
Position 452: 0.0009803852274816163
Position 818: 0.000919171000188782
Position 3590: 0.0007658250484041776
Position 1064: 0.000754234910840095
Position 564: 0.0007414172490776177
Position 523: 0.0007391623450309637
Position 3581: 0.000728992977748107
Position 1031: 0.0005512436889030684
Position 3531: 0.0004748662714205592
Position 1217: 0.00045804365189717057
Position 899: 0.0004236856419991278
Position 3630: 0.0003936222326325073
Position 3348: 0.00030784002040729687
Position 4029: 0.0002936801449462513
Position 3662: 0.000282888702431107
Position 184: 9.865955278253516e-05
Position 213: 7.520164351455288e-05
Position 2244: 4.6816130181461904e-05
Position 2056: 4.455530072119751e-05
Position 557: 3.659247653628115e-05
Position 532: 1.9019936956685312e-05
Position 455: 1.5224452207648465e-05
Position 482: 6.2335333273118775e-06
Position 503: 3.6009001992079014e-06
Position 256: 2.1757923540781633e-06
Position 398: 2.068369249049516e-06
Position 512: 2.054975877443114e-06
Position 369: 6.425756715558128e-07
Position 374: 2.28234207576425e-07
Position 389: 2.088986350344345e-07
Position 784: 2.0364002071803526e-07
Position 92: 3.50835262994642e-08
Position 262: 2.163103444697288e-08
Position 233: 1.909938343220717e-08
