Gene = Pcf11
index = 798
Annotated 5SS: [  506  4195  5968  6473  8976  9935 10137 12627 16785 20479 21009 21993
 23007 23505 23945]
Annotated 3SS: [ 4068  5778  6277  7857  9753 10045 11067 16684 20358 20902 21808 22850
 23411 23908 25156]
SMsplice 5SS: [  125  4195  5968  6473  8976  9935 10137 11242 12627 16785 20479 21009
 21993 23007 23505]
SMsplice 3SS: [ 4068  5778  6277  8774  9753 10045 11067 12517 16684 20358 20902 21808
 22850 23411 23908]
top_k =  100
Partition function (log Z): 4.882692136624476

Sorted 5' Splice Sites (High to Low Probability):
Position 12627: 1.0000000000000027
Position 23505: 0.9962552893498028
Position 6473: 0.9912980022513292
Position 21009: 0.9778675174184068
Position 21993: 0.9516169470318103
Position 4195: 0.9109016098349811
Position 5968: 0.9084290359149582
Position 10137: 0.8835266592180802
Position 23007: 0.8503422834909934
Position 16785: 0.7935386766829716
Position 8976: 0.696178432858677
Position 125: 0.6706801039669879
Position 9935: 0.6174746437609443
Position 11242: 0.5712557502345718
Position 23945: 0.3290654544616908
Position 506: 0.2408821924154449
Position 17955: 0.18726906562852408
Position 867: 0.1696921656988085
Position 8147: 0.15454155560231922
Position 23775: 0.1030528580916904
Position 21482: 0.060480890228974404
Position 7969: 0.051507578056395
Position 10154: 0.038292375943228124
Position 152: 0.029863299527746315
Position 2068: 0.028494846698535702
Position 958: 0.026460478878681658
Position 8891: 0.02616183303731729
Position 10185: 0.024363163001872724
Position 3706: 0.014759821991070978
Position 23018: 0.014458274376401873
Position 187: 0.012858347849771523
Position 3064: 0.012200199240902092
Position 11407: 0.01137099785187079
Position 1171: 0.011237894695363664
Position 5996: 0.011066117121177062
Position 2071: 0.010623516922417591
Position 23164: 0.0102200323304821
Position 2078: 0.008657445388752932
Position 21013: 0.008291149313633315
Position 21064: 0.007260708148245278
Position 6199: 0.005826641314055178
Position 21977: 0.0056422524059038135
Position 23189: 0.0036952578928978064
Position 10530: 0.003596139713976623
Position 6709: 0.001249844318951935
Position 138: 0.0011278739007607945
Position 23001: 0.0011234407666778886
Position 7547: 0.0009727023909692589
Position 23147: 0.0009121111260541247
Position 574: 0.0008877328026345505
Position 22929: 0.0007134870346126248
Position 663: 0.0004165448837010758
Position 476: 0.0003120998440779892
Position 316: 0.00030068370614484555
Position 198: 0.00023972847782319825
Position 166: 0.00019172327489388487
Position 641: 0.00018645807946068168
Position 385: 0.00017628776849204885
Position 7673: 0.0001339526298596598
Position 7746: 0.00011609545210882118
Position 18: 8.857364635366274e-05
Position 184: 8.35734854308542e-05
Position 73: 8.039629122238614e-05
Position 6682: 7.805436410025203e-05
Position 369: 6.955950555584141e-05
Position 260: 6.51309278519287e-05
Position 7552: 5.617954099841781e-05
Position 929: 4.87839424818267e-05
Position 6903: 4.4561123800135754e-05
Position 241: 6.487430851453885e-06
Position 195: 5.0058046582460065e-06
Position 258: 3.089447992413273e-06
Position 77: 3.041316515208995e-06
Position 6477: 5.052350970843447e-07
Position 810: 2.0065692332870565e-07
Position 1440: 1.9579894705024188e-07
Position 833: 1.950854084019084e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 23411: 0.9942463680603033
Position 20902: 0.969100273636935
Position 6277: 0.9671397576216682
Position 10045: 0.9457171115984968
Position 21808: 0.9284142785583176
Position 5778: 0.9253217943501899
Position 4068: 0.9109016098349811
Position 22850: 0.8482386007128486
Position 16684: 0.7935386766829716
Position 12517: 0.7553175693984094
Position 8774: 0.722340265895994
Position 23908: 0.5757261445797984
Position 11067: 0.5583469682332087
Position 9753: 0.4883043554037443
Position 25156: 0.303025056061925
Position 12411: 0.2446824306015932
Position 17774: 0.18726906562852408
Position 736: 0.14935967013836143
Position 7857: 0.1447725867301967
Position 24981: 0.11213568590985465
Position 9642: 0.10455500214560152
Position 25188: 0.10298541624084463
Position 23609: 0.0689323879331582
Position 24812: 0.0478268524609488
Position 1975: 0.047775809009706294
Position 23636: 0.04492718095923273
Position 21351: 0.043828535583669566
Position 24600: 0.0369318540897061
Position 8057: 0.030661492336665663
Position 7968: 0.03061505459185184
Position 9669: 0.024615286211598558
Position 20925: 0.024319101243350846
Position 26035: 0.021869374411495442
Position 24272: 0.020258168854484875
Position 6305: 0.018187342010640966
Position 11117: 0.017797584241691092
Position 24307: 0.015314619757954617
Position 3621: 0.014759821991070976
Position 21363: 0.01343383886701854
Position 21887: 0.012498389155692234
Position 2910: 0.012200199240902092
Position 24235: 0.011509661054516887
Position 23847: 0.01139763751296699
Position 23093: 0.011318757611117636
Position 21903: 0.010776137605027733
Position 23627: 0.010313383741134002
Position 443: 0.010235095497177936
Position 22946: 0.00947339600760344
Position 24773: 0.009222132367910044
Position 22916: 0.008145539246741258
Position 25551: 0.007066284637269037
Position 24145: 0.006316191905792269
Position 11334: 0.006031491897551535
