Gene = Map9
index = 660
Annotated 5SS: [  184  1053  1903  5543 13331 16130 19096 20936 22175 23912 25298 25590
 25906]
Annotated 3SS: [  902  1817  5218 13106 16035 18850 20864 22005 23821 25135 25443 25772
 33055]
SMsplice 5SS: [  243  1053  1907  5543 16130 19096 20936 23912 25298 25590 25906 33170
 35497]
SMsplice 3SS: [  961  1817  5218 16035 18850 20864 23821 25135 25443 25772 33055 35409
 36030]
top_k =  100
Partition function (log Z): -13.637456402083366

Sorted 5' Splice Sites (High to Low Probability):
Position 5543: 0.9971888924895547
Position 1053: 0.9842634239457821
Position 243: 0.7686369182485152
Position 1907: 0.6290504723596051
Position 8440: 0.4426238141594414
Position 1903: 0.3639489042009178
Position 3695: 0.12777265235816176
Position 184: 0.09222259762814165
Position 13331: 0.09171231696463988
Position 100: 0.0475142171153313
Position 6391: 0.04140489660760401
Position 435: 0.03719654559253185
Position 5874: 0.02458090717590733
Position 1302: 0.023361867369299218
Position 2528: 0.017134362963078846
Position 1316: 0.01640265351839506
Position 1670: 0.013550505970493835
Position 202: 0.008613574360298198
Position 774: 0.00624937206499249
Position 2030: 0.005661646234134517
Position 458: 0.005112596584270668
Position 274: 0.0049928057915041854
Position 1427: 0.004521297704151693
Position 3637: 0.004452776148237549
Position 2470: 0.0020909177763537845
Position 859: 0.0007727471840224047
Position 412: 0.0004074319075101715
Position 437: 0.0004017580011669344
Position 391: 0.0003521173955628504
Position 1414: 0.00027113984160290715
Position 596: 0.00025984975542185895
Position 1380: 0.0002375999788311184
Position 1911: 2.4327675743515756e-05
Position 441: 4.940206798143884e-06
Position 486: 3.208391559869514e-06
Position 470: 3.1621333266235528e-06
Position 5: 1.0064352815097393e-06
Position 24: 9.106902968250115e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1817: 0.9975773889466176
Position 5218: 0.6564513436874356
Position 961: 0.4817604657165046
Position 8351: 0.4603667252585414
Position 13106: 0.26169681351025803
Position 5384: 0.23869392423942243
Position 11805: 0.233154217630591
Position 13769: 0.18342431480655635
Position 3543: 0.13077762520337005
Position 958: 0.12972383915510682
Position 902: 0.10731167052432844
Position 8993: 0.0921606429499298
Position 773: 0.08753094005533144
Position 933: 0.08568246440444559
Position 10742: 0.0775278893365878
Position 15133: 0.07040960395630738
Position 5343: 0.07025528485088767
Position 9333: 0.05654334168740964
Position 997: 0.04968244395352369
Position 8725: 0.041290590055625034
Position 1215: 0.03158118855460129
Position 6269: 0.02894440916793711
Position 5663: 0.0247314534751049
Position 5227: 0.022394323824378275
Position 2369: 0.017895884655560163
Position 5239: 0.012205123397876334
Position 6133: 0.008637540366348838
Position 6006: 0.007576671179665682
Position 1167: 0.006936938203846019
Position 6623: 0.006713216052708097
Position 7786: 0.006149719867804813
Position 969: 0.005881893287742825
Position 1192: 0.005576787791545715
Position 5795: 0.005531470626319848
Position 1625: 0.005265838286666794
Position 8518: 0.004984962805480391
Position 6118: 0.004554827609803103
Position 8691: 0.004313930901487312
Position 963: 0.0040587381856423506
Position 7527: 0.003965396296325469
Position 5775: 0.0038799359939563354
Position 5746: 0.003583133808591594
Position 1490: 0.003171473963415064
Position 7935: 0.0028999768762933958
Position 1555: 0.0022929803030044132
Position 7577: 0.002288813188008658
Position 562: 0.0019143272500432677
Position 1600: 0.001844539062908575
Position 3422: 0.0014478033030293819
Position 651: 0.0013687352165816552
Position 840: 0.001347940465979913
Position 2405: 0.0013293960838724546
Position 6371: 0.0012223167060776434
Position 1823: 0.0009765567903649113
Position 5801: 0.0009589132834250818
Position 668: 0.0007457252170833017
Position 1285: 0.0005619843666663384
Position 1244: 0.0005038691300536772
Position 1503: 0.00040035911686544693
Position 1157: 0.0002178058785031327
Position 1799: 0.00011284128184368644
Position 1730: 7.535999162617503e-06
Position 1954: 2.327177108474797e-06
