Gene = Mnx1
index = 687
Annotated 5SS: [ 886 3715]
Annotated 3SS: [3553 4238]
SMsplice 5SS: [ 132  886 3715]
SMsplice 3SS: [ 758 3553 4238]
top_k =  100
Partition function (log Z): -7.279141937501371

Sorted 5' Splice Sites (High to Low Probability):
Position 3715: 0.9531869123062233
Position 132: 0.8901338922011772
Position 886: 0.6553028827389181
Position 1601: 0.05410078862305035
Position 2400: 0.04168649382558291
Position 3219: 0.029674413320487328
Position 1321: 0.021414063703326616
Position 1202: 0.013403100010349375
Position 3936: 0.009295756655385717
Position 517: 0.005981958725871146
Position 1117: 0.005552996349971122
Position 86: 0.00405535593593538
Position 1170: 0.0034887420242495294
Position 1124: 0.0034855707756765606
Position 406: 0.0034392884198206045
Position 1015: 0.0032513716140508005
Position 4804: 0.0030242465718070917
Position 3682: 0.0024666894146643586
Position 126: 0.0023560021603226873
Position 4139: 0.0022033785240805725
Position 51: 0.0019396999544011668
Position 285: 0.0012273412356402932
Position 36: 0.0011147107451235044
Position 306: 0.0011054819930471286
Position 598: 0.0003485042051601624
Position 313: 0.0002762571111128762
Position 759: 0.0002647950531960579
Position 176: 0.00012856083790230188
Position 890: 8.098701901378682e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 3553: 0.917954825997988
Position 4238: 0.6674602423054319
Position 758: 0.49431842955014577
Position 800: 0.05748197629450775
Position 3558: 0.05707979418825484
Position 4694: 0.05575042102226505
Position 3806: 0.0467188507967274
Position 1524: 0.044241390301140715
Position 4225: 0.043107320760284555
Position 1107: 0.03980701970038691
Position 2258: 0.03624630412727918
Position 3176: 0.03274952654620901
Position 4412: 0.025617849645101578
Position 4879: 0.023135121647966647
Position 4256: 0.021152755631215697
Position 5225: 0.020643720083830336
Position 967: 0.019569869743713962
Position 5185: 0.014567121144457275
Position 5267: 0.01216681035200444
Position 4447: 0.008747863957586435
Position 3842: 0.007393354905892662
Position 830: 0.006957861068257625
Position 659: 0.006331437836947959
Position 5321: 0.006131045835321783
Position 4498: 0.0060503075935393735
Position 4244: 0.005871481480780621
Position 5406: 0.005667484645767834
Position 1544: 0.005523753534471531
Position 4057: 0.0047836459454592235
Position 3611: 0.004622601785234634
Position 2232: 0.0036602115030084418
Position 688: 0.0029782277018259758
Position 764: 0.0028031568456989573
Position 4131: 0.002220621767898214
Position 2189: 0.0017799781952952906
Position 3931: 0.001726629601951732
Position 1649: 0.0007532517408242822
Position 811: 7.197335785411578e-05
Position 708: 5.0279564513017695e-05
Position 635: 2.4522397124799747e-05
Position 720: 2.2559393164335156e-05
Position 702: 1.4402225119939402e-05
Position 699: 1.4264463600284837e-05
Position 869: 1.4092218511730686e-05
Position 558: 2.3583876240726277e-06
Position 561: 2.0658413466801e-06
Position 883: 1.4584220175348598e-06
