Gene = Paf1
index = 788
Annotated 5SS: [ 304  748 2185 2589 2745 2922 3107 3252 3437 3776 3999 5603 5799]
Annotated 3SS: [ 717 2091 2466 2677 2819 3000 3182 3332 3658 3869 5496 5707 5874]
SMsplice 5SS: [ 304 2185 2589 2745 2922 3107 3252 3437 3776 3999 5603 5799]
SMsplice 3SS: [2091 2466 2677 2819 3000 3182 3332 3658 3869 5496 5707 5874]
top_k =  100
Partition function (log Z): 29.24335439308739

Sorted 5' Splice Sites (High to Low Probability):
Position 5799: 0.9999418966712936
Position 3999: 0.9877015028571546
Position 304: 0.9854505998401353
Position 2922: 0.9745302709893439
Position 2185: 0.9586830578841073
Position 3107: 0.9284591492541953
Position 3776: 0.9219987437171696
Position 5603: 0.9029850498230979
Position 3252: 0.8585857656343958
Position 2589: 0.8577208884976046
Position 3437: 0.8070596548781774
Position 2745: 0.6949914658229011
Position 748: 0.5181431657998135
Position 5995: 0.36834886888693713
Position 2750: 0.268046243764053
Position 4169: 0.10880165873913752
Position 3780: 0.0463945724382864
Position 5645: 0.035840068173740025
Position 5350: 0.030738759283333802
Position 2610: 0.028990056155708644
Position 2937: 0.022278091737750107
Position 3790: 0.013594779199596247
Position 5060: 0.011017219809984663
Position 5541: 0.01022958660043874
Position 801: 0.010076575693482536
Position 3784: 0.008334904112880724
Position 191: 0.007331051898366369
Position 3923: 0.004508999297352498
Position 3965: 0.003944422324836828
Position 2763: 0.00273511862779159
Position 3796: 0.0020861395936482346
Position 3225: 0.0015280051587668645
Position 2593: 0.001188356781952681
Position 2289: 0.0011730072496798413
Position 402: 0.0008214796175592548
Position 3802: 0.0005448678109262985
Position 2855: 0.00041560867702159003
Position 466: 0.00041476913337869204
Position 251: 0.00040372526893017047
Position 2926: 0.00032463135270479845
Position 5641: 0.0003114547356225669
Position 56: 0.00029731919334439414
Position 447: 0.0002898023760370448
Position 477: 0.0002303960960880971
Position 2591: 0.00022338079393478756
Position 2540: 0.0001976475392913912
Position 415: 0.0001898386539103815
Position 531: 0.00014847894152558938
Position 31: 8.170379362386874e-05
Position 308: 7.932929497053175e-05
Position 340: 6.006178792484771e-05
Position 243: 5.846263700846059e-05
Position 187: 5.0972193668506104e-05
Position 62: 3.237103445387874e-05
Position 60: 2.9336218350256456e-05
Position 3870: 2.8401462134360796e-05
Position 541: 2.4662669439836195e-05
Position 520: 2.204082611097918e-05
Position 110: 1.4603828782160563e-05
Position 72: 7.68155637744651e-06
Position 76: 7.107236278152952e-06
Position 16: 3.555768716715172e-06
Position 3807: 1.7079877706163944e-06
Position 11: 1.2687461584948739e-06
Position 37: 5.456120623808351e-07
Position 25: 4.831275916936044e-07
Position 3774: 4.66735708294603e-07
Position 90: 4.0831716051661557e-07
Position 205: 4.109775633115158e-09
Position 177: 1.122991510198449e-09
Position 315: 1.04836598517251e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5707: 0.9990049714295581
Position 3869: 0.994825791064948
Position 5874: 0.9929574195238011
Position 2819: 0.9882799217350844
Position 3658: 0.9867387467089759
Position 2466: 0.9503961953938266
