Gene = Prim2
index = 852
Annotated 5SS: [   172    938   2751   6019   7550  39458  41401 136500 155651 157780
 185114 189338 205743]
Annotated 3SS: [   774   2646   5938   7428  39361  41262 136431 155577 157593 184986
 189254 205673 215490]
SMsplice 5SS: [   172    938   2751   6019   7550  10083  12385  12740  16008  39458
  41401  70916  79651  90016  97871 118189 118390 121762 126580 136500
 139837 155233 155651 157780 167382 178575 182114 185114 187601 189338
 205743 210599]
SMsplice 3SS: [   774   2646   5938   7428   9992  12279  12603  15879  39361  41262
  70806  79559  89922  97746 118019 118269 121670 126448 136431 139564
 155129 155577 157593 167287 178469 181927 184986 187513 189254 205673
 210466 215490]
top_k =  100
Partition function (log Z): -83.56129371219733

Sorted 5' Splice Sites (High to Low Probability):
Position 2751: 0.9994961521786716
Position 7550: 0.9971395243900391
Position 938: 0.940828475939367
Position 10083: 0.8799398596527204
Position 6019: 0.8120824057883065
Position 12740: 0.5664283559389577
Position 16008: 0.527820263624529
Position 12385: 0.5092575587892407
Position 5278: 0.44712021224505266
Position 11516: 0.41353901491490774
Position 7935: 0.39721557929268553
Position 12341: 0.3873961213414228
Position 172: 0.3587661613139451
Position 308: 0.2780238006903373
Position 1061: 0.2001696215053704
Position 11470: 0.14737477318332579
Position 8162: 0.1411527574061594
Position 1891: 0.12289863470081516
Position 142: 0.09947191548480387
Position 7867: 0.09793116115622781
Position 1936: 0.07880529427198706
Position 155: 0.06750279755526405
Position 182: 0.0665022523437828
Position 3807: 0.062377563597159194
Position 6163: 0.0622843460131331
Position 299: 0.06029675107188533
Position 200: 0.049187364887533995
Position 6943: 0.037689888070671744
Position 4289: 0.01880046594364683
Position 2571: 0.016622889195854425
Position 325: 0.013589363931431158
Position 12134: 0.010298267623789877
Position 1917: 0.00892316047316687
Position 1114: 0.007055760607840422
Position 6211: 0.00548684384262464
Position 3421: 0.005325799792587543
Position 6023: 0.003176312687994634
Position 4074: 0.0030615936153453377
Position 7204: 0.002981272409900452
Position 165: 0.002778169776602853
Position 3077: 0.0027005380485525957
Position 1446: 0.0025085793240758303
Position 3693: 0.002456255152874229
Position 1086: 0.002291515028467493
Position 1234: 0.002066357478934053
Position 3764: 0.0018280854850147316
Position 6310: 0.001756316910789759
Position 3498: 0.001742332853084658
Position 827: 0.0014547959196580425
Position 5213: 0.0014280767112885779
Position 1149: 0.0012956510294988427
Position 1263: 0.0011145326659336434
Position 7570: 0.0011062777351064552
Position 7922: 0.000996109180322452
Position 7588: 0.0007807206040831077
Position 250: 0.0006775228465639598
Position 175: 0.0005079250782273756
Position 83: 0.0004986945297554266
Position 2798: 0.0004927593010656858
Position 7576: 0.000364941158488392
Position 55: 0.00028227237761473687
Position 177: 0.0002591639706429354
Position 292: 0.00023986932665140813
Position 524: 0.00018046959578781413
Position 399: 0.00016970657657646343
Position 3144: 7.71465345751956e-05
Position 3138: 5.8002219461155064e-05
Position 7582: 4.868687157093904e-05
Position 3171: 4.647338084392405e-05
Position 2755: 8.025654305413481e-06
Position 577: 1.1847238089450379e-07
Position 522: 1.0033329992606475e-07
Position 45: 9.479212894218697e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 7428: 0.99944015075929
Position 2646: 0.9963135166861483
Position 774: 0.9912141233468815
Position 12279: 0.9796847159235752
Position 5938: 0.8406525108286983
Position 15879: 0.7014388366801514
Position 9992: 0.6136816775048186
Position 12603: 0.5918709519044756
Position 7800: 0.521142280760446
Position 19962: 0.4071867269402226
Position 11394: 0.35181582925140803
Position 5155: 0.349513525542731
Position 16310: 0.2904057841693002
Position 9889: 0.26625818214790853
Position 11300: 0.15328609569044926
Position 1800: 0.1272887096345786
Position 1025: 0.12527571542976887
Position 8124: 0.1067416369122375
Position 5213: 0.0990347634136151
Position 1830: 0.05286690773513622
Position 3553: 0.05140408009886388
Position 6109: 0.04413371441414576
Position 11333: 0.04267413332306971
Position 6860: 0.03498517137501018
Position 1686: 0.026879820230833802
Position 1022: 0.021888847126440594
Position 4151: 0.018800465943646795
Position 11409: 0.017449679226074516
Position 2469: 0.016627157845562405
Position 3664: 0.015239519665809217
Position 8051: 0.01284351240159632
Position 11895: 0.010298267623789829
Position 1003: 0.008205415393621601
Position 3312: 0.007086437116047392
Position 7962: 0.005260628780040686
Position 2655: 0.003679151798175822
Position 1743: 0.003577365212122852
Position 10811: 0.003567709030458151
Position 7076: 0.0029812724099004097
Position 2984: 0.0027306475166856063
Position 6879: 0.002704716695661564
Position 1334: 0.002508579324075827
Position 11609: 0.002303183287168322
Position 1113: 0.0022670546939279434
Position 978: 0.0021127850532394483
Position 3924: 0.0019442191703233816
Position 876: 0.0016614248493980134
Position 929: 0.0015682092597010839
Position 7711: 0.0011828133223578524
Position 3898: 0.0011173744450219771
Position 783: 0.00040443267764928237
Position 789: 0.00024467748596637635
Position 7808: 0.00023291301669585884
Position 857: 0.00021857768997374206
Position 3004: 0.00010218945273962817
Position 796: 5.245763548178341e-05
Position 2946: 4.932321400763043e-05
Position 1007: 4.093125596867633e-05
Position 834: 2.614916572824934e-05
Position 519: 2.510381600071708e-05
Position 1691: 1.4286633298007277e-05
Position 7663: 1.2272096375079951e-05
Position 7755: 1.1992111661955749e-05
Position 629: 5.320250577800346e-06
