Gene = Tbcb
index = 1060
Annotated 5SS: [ 693 1147 4669 5429 7800]
Annotated 3SS: [1002 4571 5236 7726 7924]
SMsplice 5SS: [ 693 1147 4472 4837 5380 7800]
SMsplice 3SS: [1002 4364 4571 5236 7665 7924]
top_k =  100
Partition function (log Z): -4.335004491327259

Sorted 5' Splice Sites (High to Low Probability):
Position 1147: 0.9111079011807717
Position 4472: 0.6557420932474847
Position 5380: 0.5194254633384643
Position 4837: 0.5009472590303172
Position 693: 0.483599746407343
Position 915: 0.3912531237552585
Position 5429: 0.3911530771004113
Position 4669: 0.2433202488905617
Position 585: 0.21700277630151818
Position 4696: 0.1938458025677482
Position 7800: 0.15149072546093492
Position 4331: 0.11312955453518714
Position 6841: 0.031442883984210745
Position 4299: 0.030110123086595855
Position 4700: 0.026662579443878322
Position 5421: 0.016856150134701556
Position 3219: 0.01580912368265271
Position 4504: 0.01128943028555196
Position 712: 0.007907760007350021
Position 3556: 0.0060287816272814685
Position 4509: 0.0057528906346134305
Position 409: 0.0052845682871693
Position 468: 0.004574454028854229
Position 451: 0.004107052700515076
Position 4984: 0.0037114785690200466
Position 667: 0.0033892391972058836
Position 531: 0.002719480824842462
Position 1364: 0.0022839711352869723
Position 841: 0.0019562590996729185
Position 391: 0.0018712326610889314
Position 223: 0.001867037470850815
Position 3094: 0.0017654348728179832
Position 2498: 0.0015920803539295348
Position 609: 0.0015632357258972948
Position 446: 0.0012738565293245552
Position 4704: 0.0010760913595427373
Position 4604: 0.0010174101890244927
Position 1086: 0.0006485023112221792
Position 646: 0.0005993713736726395
Position 384: 0.0005780492442121775
Position 533: 0.00040308177959276075
Position 893: 0.00036855165793069875
Position 37: 0.0003658768524049932
Position 1481: 0.00036174260536729044
Position 686: 0.0003615638154407161
Position 701: 0.00024370758420560006
Position 359: 1.3246008466583133e-06
Position 265: 1.312933701074277e-06
Position 202: 1.1400917942282142e-06
Position 413: 8.609960892240835e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4571: 0.9877007312407786
Position 5236: 0.9590577411425806
Position 1002: 0.9095950275476598
Position 4364: 0.5845687388891684
Position 7924: 0.3156446882981537
Position 6705: 0.25109778096180496
Position 4210: 0.2267126511898938
Position 7665: 0.1603435921286453
Position 5610: 0.1321208732376839
Position 6767: 0.113693266567479
Position 5515: 0.09675146837235361
Position 786: 0.049605251216332524
Position 779: 0.03768727817523457
Position 808: 0.023639060297497495
Position 6162: 0.022877684819747085
Position 7955: 0.015421879125841084
Position 2999: 0.014490666805676813
Position 5184: 0.012739843838030155
Position 6044: 0.008510921898121226
Position 3372: 0.0060287816272814624
Position 4227: 0.004742701710370952
Position 6549: 0.00407946372905963
Position 574: 0.0038503278858634873
Position 830: 0.0035629246665550636
Position 3018: 0.00306342912916121
Position 759: 0.002944417212202086
Position 1066: 0.0026609758955284174
Position 625: 0.002634030400161289
Position 628: 0.0019045254154332687
Position 1225: 0.0018651755218315363
Position 2345: 0.0015920803539295348
Position 832: 0.0011642839407591042
Position 5264: 0.0008973530665703493
Position 684: 0.0008353940252506764
Position 850: 0.000649770239602732
Position 796: 0.0006377827836089232
Position 800: 0.0004236095146408384
Position 774: 0.00040173970659875544
Position 507: 0.00038532997410774836
Position 656: 0.0002952230040911153
Position 510: 0.0002383173227104857
Position 640: 0.00021977764799206565
Position 478: 0.00019186741037456067
Position 504: 0.00014947660024416194
Position 527: 6.459281775354726e-05
Position 450: 4.288293404842393e-05
Position 472: 3.534917578130198e-05
Position 2965: 2.0462620632677122e-05
Position 4585: 1.1881641966438954e-05
Position 1332: 7.5765341916838e-06
Position 1028: 1.685558709351299e-06
Position 653: 1.1896954403832866e-06
Position 664: 6.615488140791198e-07
Position 948: 5.01593931889222e-07
