Gene = AA986860
index = 81
Annotated 5SS: [ 248 5712 9208]
Annotated 3SS: [ 5525  9026 10352]
SMsplice 5SS: [ 248 9208]
SMsplice 3SS: [ 9026 10352]
top_k =  100
Partition function (log Z): -10.140153981843246

Sorted 5' Splice Sites (High to Low Probability):
Position 248: 0.9912906435970804
Position 9208: 0.4217019866728594
Position 1677: 0.22434380713130994
Position 2470: 0.15366376949384128
Position 5712: 0.05511953182069383
Position 1394: 0.03791363829451184
Position 2891: 0.03133163478761876
Position 3243: 0.012757071390073567
Position 822: 0.00877402013724126
Position 809: 0.006054838768423131
Position 120: 0.0033082167832677923
Position 1224: 0.0032862324080860997
Position 1706: 0.0031566203772073176
Position 1485: 0.0020841531540310965
Position 1469: 0.0007440127482981481
Position 2285: 0.0005944427059198505
Position 2689: 0.0001748368251061704
Position 813: 0.0001509169668106222
Position 39: 7.133869721963756e-05
Position 345: 4.910217022264324e-05
Position 8: 8.231524416734569e-06
Position 531: 4.698043285436444e-06
Position 80: 4.629314233885388e-06
Position 68: 4.516076757631302e-06
Position 99: 3.1385035945476333e-06
Position 152: 3.020381629691886e-06
Position 2335: 2.2100696293689448e-06
Position 135: 8.683613388125213e-07
Position 72: 9.035575614605869e-08
Position 124: 4.167579872217941e-08
Position 82: 3.644079075387945e-08
Position 84: 1.4004339760278276e-08
Position 114: 4.30969460554102e-09
Position 252: 6.424654564165182e-10
Position 180: 4.643233356812586e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10352: 0.6001631269032636
Position 9026: 0.44592298199666297
Position 1545: 0.2356701374188712
Position 5525: 0.1751934269155486
Position 2148: 0.1645818930724526
Position 5603: 0.06883564365796288
Position 2595: 0.060727065894353595
Position 1292: 0.049209713800201664
Position 3136: 0.0361614728235983
Position 3333: 0.025897168882758594
Position 3719: 0.023356761171766056
Position 2772: 0.014294150813389113
Position 2313: 0.011902683794512179
Position 3436: 0.007158813778151649
Position 700: 0.006714310044269429
Position 5836: 0.006330617216826375
Position 2081: 0.005108354210275434
Position 1826: 0.003390585729102201
Position 937: 0.002942997724569827
Position 3110: 0.002937783209267392
Position 723: 0.002724723168984251
Position 1122: 0.0011172161637838544
Position 413: 0.0010791501917263254
Position 2432: 0.0010369469615541557
Position 1758: 0.0008637191752141158
Position 2164: 0.0006897875081023318
Position 1436: 0.0005522161735549198
Position 1223: 0.000398926219052671
Position 550: 0.0003492856068247158
Position 1074: 0.00023292693204125396
Position 1589: 0.00018438306781911855
Position 1386: 0.00016762888484932179
Position 1592: 0.00014738865381041364
Position 1312: 0.00013505784295283875
Position 230: 0.00010727441302852374
Position 509: 9.243058422347554e-05
Position 119: 7.824866920819738e-05
Position 1141: 7.19276685531668e-05
Position 205: 5.592060482538205e-05
Position 1512: 5.476606124927489e-06
Position 1601: 5.467747336443637e-06
Position 1625: 1.4096953096457096e-06
Position 962: 1.1886603549578561e-06
Position 1084: 8.7391265430464e-07
Position 560: 7.25585831789232e-07
Position 984: 6.987057799606593e-07
Position 893: 6.939842821120363e-07
Position 566: 6.516825248905191e-07
Position 208: 2.8096976196856136e-07
