Gene = AB124611
index = 82
Annotated 5SS: [  107  2883 12914 13685 14423]
Annotated 3SS: [ 2561 12885 13640 14384 18475]
SMsplice 5SS: [  107  2883  9797 12914 13728 14423]
SMsplice 3SS: [ 2561  9706 12885 13640 14384 17279]
top_k =  100
Partition function (log Z): -5.871502740880651

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9934076416024303
Position 9797: 0.9850559048030005
Position 14423: 0.8506571688929734
Position 2883: 0.6079991499576382
Position 12914: 0.5761755019405042
Position 13728: 0.5172392499735746
Position 2778: 0.3946319151943997
Position 15969: 0.2506794871219498
Position 2356: 0.14883613996186196
Position 13723: 0.1276644188046398
Position 13685: 0.12168816264476592
Position 7549: 0.10103445251618252
Position 409: 0.0866195900763829
Position 14465: 0.05041986920777468
Position 2335: 0.040441609368611256
Position 1457: 0.02435007146331261
Position 9787: 0.014411842824044615
Position 2472: 0.008904106440026979
Position 663: 0.0074856102696530084
Position 444: 0.005131947360561446
Position 478: 0.002025511155684533
Position 2086: 0.0004470329577269221
Position 296: 0.0003795723886786932
Position 184: 3.0269154629689232e-05
Position 150: 1.8713580635969937e-05
Position 167: 5.876487385699118e-06
Position 111: 3.5484020083330646e-06
Position 96: 5.38009496108133e-07
Position 4: 1.9094774835114064e-07
Position 223: 1.0167385826641779e-07
Position 273: 9.698526574915552e-08
Position 35: 4.5114268236138284e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9706: 0.9994677476270452
Position 14384: 0.9936330256351806
Position 2561: 0.992619582800317
Position 13640: 0.7665918314229805
Position 17279: 0.6082613769979093
Position 12885: 0.5761755019405042
Position 15832: 0.13818915562804196
Position 2195: 0.11326370181959852
Position 7393: 0.10103445251618252
Position 14911: 0.08583082557931494
Position 15598: 0.08124574293238088
Position 15646: 0.07099271066474452
Position 271: 0.06360854557573531
Position 2228: 0.0626871768011438
Position 15861: 0.0593829731686076
Position 16706: 0.03521380181814565
Position 16281: 0.026064124939121348
Position 15930: 0.025610304019170256
Position 17071: 0.020965509475261546
Position 1358: 0.020307206778055528
Position 191: 0.014159726827478318
Position 2231: 0.009785714501574675
Position 358: 0.009373174286241893
Position 2648: 0.007337892218937931
Position 2353: 0.0053272277984219235
Position 2171: 0.004678923852515685
Position 13845: 0.003657260825677814
Position 331: 0.0028201342536225077
Position 1396: 0.0027956456655566586
Position 2856: 0.002776846860292871
Position 257: 0.0022087929507983734
Position 13918: 0.002177461166188205
Position 334: 0.0013871896233037108
Position 2083: 0.001322256336200917
Position 443: 0.0012664978509199904
Position 2050: 0.0011168546610446069
Position 1371: 0.0006971817981401626
Position 1209: 0.0005500372215602314
Position 1761: 0.0004470329577269221
Position 234: 0.00029729756132881093
Position 3755: 0.00022525513151876351
Position 4112: 0.00013181255906768598
Position 3833: 2.9402974113468386e-05
Position 2613: 1.542282029381262e-05
Position 2616: 1.4951776581341577e-05
