Gene = Chfr
index = 263
Annotated 5SS: [   75   335  4594  7801  8791  9128 10775 15827 16631 17421 19123 23059
 24382 26922 28234 32372 33355]
Annotated 3SS: [  190  4493  7690  8730  8911 10609 15666 16475 17257 18976 22941 24297
 26850 28145 32263 33281 35001]
SMsplice 5SS: [   75   335  2733  4330  4594  7801 15827 19123 23059 24382 26922 28234
 32372 33355]
SMsplice 3SS: [  190  2614  4256  4493  7690 15666 18976 22968 24297 26850 28145 32263
 33281 35001]
top_k =  100
Partition function (log Z): 9.700661938299977

Sorted 5' Splice Sites (High to Low Probability):
Position 15827: 1.0
Position 19123: 1.0
Position 32372: 0.9976790712414347
Position 28234: 0.9870910515600675
Position 23059: 0.9741224933218162
Position 335: 0.9608953094505233
Position 4594: 0.9083175952813507
Position 75: 0.8854500773790706
Position 26922: 0.8743846194561163
Position 7801: 0.8380967153184522
Position 4330: 0.7573285100708674
Position 33355: 0.7196584236675311
Position 2733: 0.6370753078873501
Position 24382: 0.6351235266340167
Position 28868: 0.36853830893125317
Position 10775: 0.2679006965691097
Position 24242: 0.2449658706253841
Position 793: 0.18637146728495965
Position 4348: 0.17426948530942543
Position 28500: 0.1619820301461187
Position 8791: 0.16107137659668613
Position 28080: 0.13114122006318255
Position 32689: 0.10180761060588864
Position 4622: 0.09153355607453523
Position 26026: 0.08742363684351658
Position 24298: 0.08366343807282406
Position 28539: 0.07317919960765161
Position 27765: 0.06735200986319052
Position 25491: 0.05811782143428297
Position 32827: 0.0486460621638395
Position 27938: 0.046980350774992415
Position 3770: 0.04564542772999541
Position 24691: 0.045401475874241946
Position 33335: 0.04452812139208983
Position 5612: 0.029470933996119258
Position 40: 0.01924967048089889
Position 91: 0.01696563908600399
Position 33359: 0.008809427641684048
Position 2575: 0.00861886143137789
Position 23063: 0.007160403735673514
Position 34062: 0.005501545610024909
Position 2777: 0.004588227091985413
Position 35361: 0.004170244510910562
Position 4339: 0.0030907106810250207
Position 33587: 0.0029472968038304257
Position 34071: 0.0021445796598044973
Position 354: 0.0017583816539629327
Position 27166: 0.0014459095307899398
Position 193: 0.0006923022794090727
Position 381: 0.00043362827928425406
Position 96: 0.0003158551800432271
Position 49: 0.0002936476899234102
Position 138: 0.00025146497082808493
Position 3: 0.00017741589551577945
Position 70: 6.756359650726549e-05
Position 28: 4.2950983864004604e-05
Position 156: 1.872569401303606e-05
Position 14: 8.496056911059429e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 18976: 1.0
Position 15666: 0.9999999999999992
Position 32263: 0.9976790712414336
Position 35001: 0.9738991649475145
Position 4256: 0.9348666472697066
Position 28145: 0.9061797390808106
Position 7690: 0.8380967153184521
Position 26850: 0.7949480052255145
Position 33281: 0.7767859985818261
Position 22968: 0.679807599808504
Position 24297: 0.572055137378884
Position 190: 0.5674239868217632
Position 4515: 0.5011097664921926
Position 4493: 0.49582270875895934
Position 2614: 0.4934693486511078
Position 28786: 0.33855334583472874
Position 22938: 0.301475297248985
Position 240: 0.2891175099669627
Position 10609: 0.2679006965691099
Position 27868: 0.2537489881311363
Position 28361: 0.23516122975377038
Position 24167: 0.19514310484373015
Position 24135: 0.1922323874415449
Position 8730: 0.16107137659668608
Position 32577: 0.12839028544962067
Position 684: 0.11990145053510018
Position 25875: 0.08203141700887112
Position 27698: 0.06735200986319052
Position 622: 0.05756452967332149
Position 2599: 0.05070841382656679
Position 25378: 0.04886150782807233
Position 24529: 0.04515330446083678
Position 2436: 0.04284564654775693
Position 26701: 0.03631859698862942
Position 2578: 0.03600959609618407
Position 26825: 0.03458994143385244
Position 3533: 0.02935755794855942
Position 2635: 0.023304412752559216
Position 268: 0.022519474131087
Position 28767: 0.01959942285847703
Position 32753: 0.018751838398578413
Position 3707: 0.016287869781435982
Position 33954: 0.012701403412797392
Position 5318: 0.011699915412266471
Position 5469: 0.011410358221462493
Position 28580: 0.010385540238047523
Position 25343: 0.00925631360621069
Position 655: 0.008829763429345536
Position 26598: 0.008528075808120008
Position 35996: 0.007418550608324188
Position 5548: 0.006360660362390299
Position 33041: 0.00562733567114468
Position 26000: 0.00539221983464541
Position 32734: 0.004973159808814652
Position 274: 0.004956261080151639
Position 33470: 0.004851679255153915
Position 24241: 0.004570377081471692
Position 2510: 0.003944978536538393
Position 27937: 0.0028276138214378354
Position 4423: 0.0025691600511969026
Position 33892: 0.0025652488830338123
Position 27895: 0.00245628136485742
Position 35918: 0.002224599479413815
Position 159: 0.0012554583767467413
Position 225: 0.0007730247169275261
Position 26996: 0.0007541341134172343
Position 27098: 0.0006917754173727055
Position 291: 0.000415761053968331
Position 4378: 0.000171574845147659
Position 761: 7.572364719244149e-05
Position 156: 4.8121239434728075e-05
Position 197: 4.392478122352314e-05
Position 279: 2.4762439466148572e-05
Position 32506: 1.8284212027372886e-05
Position 276: 1.5338080813647933e-05
Position 220: 1.305316536045389e-05
Position 222: 8.311392021136463e-06
Position 254: 6.141430830945661e-06
Position 33334: 5.763347353581379e-06
