Gene = Sumo1
index = 1042
Annotated 5SS: [  155 15377 26318 28417]
Annotated 3SS: [15301 26239 28344 30565]
SMsplice 5SS: [  155 15377 18063 22466 26318 28417]
SMsplice 3SS: [15301 17965 22371 26239 28344 30565]
top_k =  100
Partition function (log Z): -20.39288206636456

Sorted 5' Splice Sites (High to Low Probability):
Position 155: 0.9979101946184235
Position 4579: 0.12859532598368986
Position 1140: 0.025241379766512514
Position 4583: 0.00445236444599709
Position 3644: 0.004066783660635913
Position 645: 0.0022270186154299118
Position 127: 0.0012941158195331837
Position 111: 3.7779186465718014e-05
Position 81: 3.681171140716652e-05
Position 695: 2.5228701968966315e-05
Position 409: 1.958692254096837e-05
Position 86: 1.3718617809472983e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 4378: 0.18299989609195955
Position 12828: 0.13867799142143794
Position 8820: 0.13009960604105258
Position 1004: 0.1300624650748045
Position 5040: 0.05503826121823201
Position 4615: 0.04631421064719687
Position 3263: 0.039512675913473995
Position 7116: 0.03943041938383085
Position 10419: 0.0356075542523754
Position 8069: 0.033993617661147404
Position 5506: 0.03305703817949891
Position 3794: 0.03209287518938582
Position 7261: 0.026953440763594086
Position 8954: 0.022174171585573287
Position 3570: 0.02060612950747169
Position 6421: 0.020374698415258206
Position 5976: 0.020287738014875305
Position 3358: 0.01920344029896426
Position 4513: 0.01572488230990683
Position 961: 0.011741059864454416
Position 7746: 0.009942446551905121
Position 1267: 0.00898196342670279
Position 6756: 0.008957018718152947
Position 427: 0.007878030121728571
Position 1069: 0.0073713786254106855
Position 816: 0.00727677438998563
Position 408: 0.005743698566325008
Position 1007: 0.00440312251650373
Position 2660: 0.004210635960805073
Position 5366: 0.003399713856369029
Position 2960: 0.0024245282306837273
Position 2593: 0.0024112007070545075
Position 3838: 0.002399084643960733
Position 2397: 0.002370659016866282
Position 3307: 0.0023406864897245454
Position 4303: 0.0022604187446669316
Position 4250: 0.0020787260738481667
Position 974: 0.0019724734479255454
Position 2405: 0.001951862810288151
Position 3145: 0.0017943232672145578
Position 1418: 0.001756121655611008
Position 1659: 0.0016988977498840598
Position 1283: 0.001650114505228643
Position 3086: 0.0013889959087338853
Position 1432: 0.001358217741149565
Position 3278: 0.0013188257179823578
Position 1328: 0.0013002887284863985
Position 1200: 0.0012537970059323942
Position 719: 0.0011893328842410358
Position 457: 0.0011246045786975703
Position 2631: 0.0010774776023932918
Position 358: 0.0010667503112037667
Position 2187: 0.0009173836016693974
Position 1627: 0.0007480299125677938
Position 935: 0.000672377865869142
Position 1129: 0.0005798007144792401
Position 1157: 0.0005254368129987626
Position 564: 5.850266351771724e-05
Position 436: 4.5495269265876425e-05
Position 459: 2.1245353419066386e-05
Position 463: 2.1133826010530292e-05
Position 506: 1.5280979769268913e-05
Position 615: 6.178635338402587e-06
Position 1028: 5.100025351959658e-06
