Gene = Diablo
index = 334
Annotated 5SS: [ 106  922 4136 6222 6440]
Annotated 3SS: [  794  4003  6110  6342 11468]
SMsplice 5SS: [ 106  922 4136 6222]
SMsplice 3SS: [ 794 4003 6110 6342]
top_k =  100
Partition function (log Z): -2.9769657666979072

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.9444830508687391
Position 922: 0.9410645334383594
Position 4136: 0.8530926282264504
Position 6222: 0.7740573611495203
Position 6440: 0.7166204620609222
Position 11612: 0.4502783705865095
Position 6198: 0.2139571665357271
Position 4761: 0.09436356062052842
Position 470: 0.04874513627416042
Position 3195: 0.04523748039845944
Position 6884: 0.04425246160101698
Position 6048: 0.015002285448490704
Position 169: 0.014111185903563458
Position 218: 0.009098426971257373
Position 6397: 0.004314488358655852
Position 29: 0.002765091992178281
Position 44: 0.002365649747731873
Position 77: 0.002312268998479228
Position 6234: 0.002146848344384282
Position 6189: 0.001958251015616295
Position 117: 0.0009444122717667439
Position 276: 0.0006966564932864796
Position 3061: 0.00026810008175898376
Position 6443: 0.00020959333996987744
Position 2727: 0.0002069891234564427
Position 6502: 0.00013876587538000492
Position 3328: 0.00013411694749381321
Position 2770: 0.00013190945390892278
Position 3022: 0.00012817777844373934
Position 4061: 0.00012171251542499797
Position 200: 1.3249655254659193e-05
Position 190: 1.251700557752214e-05
Position 248: 8.043729819907618e-06
Position 241: 3.058206500580907e-06
Position 795: 8.331071326971213e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6110: 0.9699798786181433
Position 6342: 0.9400697939645165
Position 794: 0.8978056942616757
Position 4003: 0.7817669675165286
Position 11468: 0.5248524252050362
Position 12164: 0.16521544868904112
Position 6634: 0.16172292204850072
Position 12318: 0.14899491422853775
Position 11900: 0.12416169522095986
Position 4690: 0.09530698517032964
Position 12042: 0.05213498563711929
Position 2951: 0.043944203072599185
Position 3984: 0.041172107032578106
Position 847: 0.031815991183946866
Position 4067: 0.02678566982319192
Position 5958: 0.02369046613285031
Position 6525: 0.022843225135474186
Position 12111: 0.018629808485553807
Position 11208: 0.017807912863181622
Position 324: 0.014186594900891483
Position 6738: 0.012411249655805177
Position 5811: 0.010843290638948044
Position 7723: 0.007394605475212607
Position 364: 0.005183025578139176
Position 7464: 0.004625507935950326
Position 735: 0.00396168976890924
Position 3888: 0.0033378593546986896
Position 6667: 0.003260157420164219
Position 6829: 0.0030354423443274053
Position 5991: 0.0026082771037979034
Position 6975: 0.002477182917973835
Position 676: 0.0021765212866179666
Position 415: 0.0019266854171801646
Position 831: 0.0018848687593064984
Position 800: 0.001801747747279115
Position 259: 0.0017195509469638743
Position 2960: 0.0016895551860629967
Position 8000: 0.001585286624257624
Position 754: 0.0014790515678259702
Position 6788: 0.0012589128321858706
Position 7302: 0.0010741266548181254
Position 6570: 0.0008904851675374116
Position 375: 0.0008562725776868262
Position 218: 0.0008167993250510552
Position 381: 0.000476352289458093
Position 2626: 0.00033888002971991447
Position 6360: 0.00015781575597440933
Position 340: 0.00015386055671812003
Position 6323: 0.0001535800546163308
Position 3835: 0.000151737014877862
Position 3194: 0.00013411694749381321
Position 6357: 0.00011323295590843702
Position 222: 8.663998730049762e-05
Position 377: 6.673501889947385e-05
Position 334: 6.320575501105437e-05
Position 612: 4.396446580281184e-05
Position 679: 4.248063401682758e-05
Position 702: 3.370273885021151e-05
Position 441: 2.1965447459535906e-05
Position 224: 1.988142499492207e-05
Position 2344: 1.8547645450859138e-08
