Gene = Ambn
index = 113
Annotated 5SS: [  96  943 3414 4740 5733 7456 8499 9180 9324 9740]
Annotated 3SS: [  873  3347  4691  5621  7260  8459  9119  9278  9694 11440]
SMsplice 5SS: [  96  943 7032 7456 9180]
SMsplice 3SS: [  873  6809  7260  9119 11440]
top_k =  100
Partition function (log Z): -1.002700370565738

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9788972609175162
Position 7456: 0.967444648459652
Position 7032: 0.9644264427568745
Position 9180: 0.9359804956041887
Position 943: 0.8908810493934216
Position 4029: 0.5361812003517363
Position 9324: 0.30810248784734523
Position 4740: 0.26517709369399073
Position 8499: 0.23130003778481048
Position 9740: 0.1485843192632127
Position 846: 0.1295869282681202
Position 1054: 0.09502674112151646
Position 3414: 0.022327719417376546
Position 7870: 0.012186542637600412
Position 9230: 0.004957902922798229
Position 103: 0.0035724169850639927
Position 8520: 0.0032342003788038746
Position 619: 0.0028260141373731653
Position 77: 0.0023750406902160494
Position 561: 0.0019349857193499062
Position 83: 0.0016722439949114164
Position 276: 0.0014843851095405443
Position 512: 0.0011790551304635944
Position 663: 0.00026983058274345374
Position 332: 5.296450375707788e-05
Position 148: 3.811105397172068e-05
Position 122: 2.3525654432268223e-05
Position 44: 1.6698678608173304e-07
Position 8: 1.1824609897155865e-07
Position 300: 2.4935587151558417e-08
Position 124: 3.024769615132963e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9119: 0.9734177177036509
Position 6809: 0.9644264427568745
Position 7260: 0.5653028868684267
Position 11440: 0.5439541632055629
Position 3920: 0.5222959438722781
Position 743: 0.44364603172298506
Position 873: 0.3414381698022128
Position 10412: 0.31976420678704265
Position 9278: 0.31885562262764
Position 919: 0.24780120236002215
Position 8459: 0.23453423816361438
Position 4691: 0.20903079187699916
Position 7305: 0.13247570545504414
Position 9694: 0.1255857880542329
Position 7215: 0.10963753291436876
Position 7272: 0.09769369366549019
Position 4575: 0.05614630181699161
Position 9651: 0.04542924362432099
Position 787: 0.036684745997500635
Position 894: 0.0320481347268556
Position 7329: 0.023966310662593453
Position 7389: 0.02335135011648644
Position 10432: 0.021184533815588845
Position 3347: 0.01630047509294727
Position 7125: 0.015009510787137212
Position 9128: 0.013426991137668917
Position 3899: 0.011781109777315737
Position 10859: 0.010852274712150063
Position 9598: 0.010404591918996236
Position 7800: 0.006648875981770327
Position 7651: 0.00553766665583009
Position 11891: 0.00429150618536309
Position 1024: 0.0040764853210291056
Position 3216: 0.0033006566314038935
Position 11255: 0.0027464603238487578
Position 3104: 0.0027265876930253805
Position 9288: 0.0024898620714406553
Position 11011: 0.002123497984213174
Position 3796: 0.0021041467021426803
Position 12467: 0.00197597375275232
Position 792: 0.0015058281902356886
Position 9909: 0.000986274665369689
Position 648: 0.0009502655462230017
Position 419: 0.0007843069132249268
Position 707: 0.0002585767322121259
Position 361: 0.00022122663820671657
Position 761: 0.00015933142228436543
Position 8842: 0.0001364970677042766
Position 310: 9.08790146889546e-05
Position 845: 6.0271189474747354e-05
Position 511: 4.500193033812046e-05
Position 155: 2.3697984649750577e-05
Position 195: 1.1588614250837682e-05
Position 173: 1.0512098419412748e-05
Position 7106: 7.65799010511399e-06
Position 806: 4.140108563614121e-06
Position 570: 2.4413426175264034e-07
Position 929: 2.2328570710538763e-07
