Gene = Rpsa
index = 935
Annotated 5SS: [ 142  934 1588 2675 3208 3477]
Annotated 3SS: [ 767 1468 2428 3078 3310 3710]
SMsplice 5SS: [ 142  934 1588 3208 3477]
SMsplice 3SS: [ 767 1468 3078 3310 3710]
top_k =  100
Partition function (log Z): 0.1464413705673273

Sorted 5' Splice Sites (High to Low Probability):
Position 3208: 0.9857700666062609
Position 1588: 0.9845582623788357
Position 142: 0.8676560752859431
Position 934: 0.8665549185481102
Position 3477: 0.5080705082510871
Position 2675: 0.40324632004332456
Position 3818: 0.21364391643499314
Position 3416: 0.12445864026801677
Position 2840: 0.0791507215006761
Position 3435: 0.05344659865471904
Position 4256: 0.04701334626757797
Position 719: 0.03301482372362081
Position 297: 0.0322784770175979
Position 475: 0.027052489487513768
Position 995: 0.024907234040685313
Position 3645: 0.016697429182202062
Position 3443: 0.016691966516004377
Position 4223: 0.01633983503072138
Position 2546: 0.013502963129904844
Position 2784: 0.01085621520714377
Position 983: 0.00915389469926607
Position 2788: 0.008894716455186568
Position 1006: 0.008391393657336465
Position 499: 0.007871763113290155
Position 513: 0.004753393543349543
Position 381: 0.003953523883002395
Position 954: 0.0038085269739595628
Position 2268: 0.0037597462852129154
Position 330: 0.0036500612285601222
Position 215: 0.003517538403268277
Position 3427: 0.002962353004096843
Position 167: 0.0026659116549207656
Position 3140: 0.0023583324905702913
Position 877: 0.002163121632143247
Position 1619: 0.002084470339012637
Position 3369: 0.0017721716218333347
Position 1247: 0.0015479902819249798
Position 62: 0.0013960270485900046
Position 1226: 0.001335459302071559
Position 3152: 0.0013174857447474527
Position 3481: 0.001142453705810633
Position 3574: 0.001121114158898641
Position 3612: 0.000994146505399945
Position 2250: 0.0008312539807390147
Position 2205: 0.0006062481835234867
Position 3169: 0.0005320549085584812
Position 292: 0.0005151271303376914
Position 1555: 0.00032311487413484485
Position 2022: 0.00012904356168974676
Position 121: 3.3059304959284686e-06
Position 517: 1.3269375980885246e-06
Position 146: 9.085318289312024e-07
Position 153: 6.928541368459092e-07
Position 928: 6.209450891670184e-07
Position 66: 2.059436144911512e-07
Position 132: 1.7624119998943534e-07
Position 21: 4.739501827162479e-09
Position 79: 4.403110896858425e-09
Position 135: 1.7745443613492432e-09
Position 96: 1.6171894311609166e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3078: 0.9746789135496712
Position 1468: 0.9444959900468813
Position 3310: 0.9324596411397242
Position 3710: 0.611286817139192
Position 767: 0.41629572058151526
Position 827: 0.4145002418763809
Position 2428: 0.15262331568057522
Position 4113: 0.140225953541073
Position 2459: 0.13088329233544005
Position 4087: 0.12892015537016024
Position 4675: 0.09879382744975718
Position 2627: 0.0842317377164542
Position 2355: 0.07849179729368086
Position 2690: 0.05323193291761347
Position 787: 0.03438817185685544
Position 1366: 0.028318439361063305
Position 4129: 0.028082825952500313
Position 3676: 0.027248281555306102
Position 899: 0.020743278400653462
Position 3713: 0.01888741436842054
Position 3890: 0.01678051196858539
Position 2967: 0.012015698168915089
Position 2509: 0.009084398710066771
Position 876: 0.00509705622459804
Position 2115: 0.005095300837569524
Position 1519: 0.004563516503550736
Position 592: 0.004381858996170623
Position 1267: 0.0040396855064738476
Position 2392: 0.0038551814046991996
Position 599: 0.0036680704500507175
Position 1446: 0.003565733543186527
Position 3194: 0.0032833280315506105
Position 2462: 0.0032492802777060923
Position 1107: 0.0024955040610116523
Position 292: 0.0018532077930591042
Position 1491: 0.0016996866611776848
Position 3367: 0.0013851194325997967
Position 833: 0.0008770341424069092
Position 1179: 0.0004105308952824028
Position 651: 0.00035209126842448914
Position 551: 0.0003241041890291926
Position 3463: 0.0002839316840407274
Position 1373: 0.00025927944230467857
Position 347: 0.00025444036752787286
Position 579: 0.0001828243080190854
Position 296: 0.00015325415188174407
Position 395: 0.00011396132412798207
Position 2049: 0.00010194761190589244
Position 1708: 8.704564203207882e-05
Position 362: 8.153142260287205e-05
Position 272: 3.389948085325037e-05
Position 1817: 3.22470846530675e-05
Position 418: 1.0804155647838648e-05
Position 1747: 9.750835004600276e-06
Position 1574: 9.311550474025761e-07
