Gene = Ro60
index = 912
Annotated 5SS: [  148  6643 10479 11295 11636 15799 16716 17126]
Annotated 3SS: [ 6041 10257 11147 11497 15681 16601 16978 19173]
SMsplice 5SS: [  148 11295 11636 15799 16716 17126]
SMsplice 3SS: [11147 11497 15681 16601 16978 19173]
top_k =  100
Partition function (log Z): -4.601917593440646

Sorted 5' Splice Sites (High to Low Probability):
Position 11636: 0.9937579941820934
Position 11295: 0.924251086545554
Position 16716: 0.9202886530433649
Position 148: 0.7468566005147247
Position 17126: 0.7201600479389919
Position 15799: 0.6997837634694738
Position 6643: 0.34164163916619283
Position 154: 0.25304500710608363
Position 11805: 0.1810230804486898
Position 19294: 0.1530014281351137
Position 13645: 0.11234682711207626
Position 17090: 0.07983130035777294
Position 16840: 0.03349043393589766
Position 11316: 0.026939273194919667
Position 21787: 0.0193179445556247
Position 16695: 0.017526860288701807
Position 15755: 0.01750418929789141
Position 17282: 0.014466938668754281
Position 13555: 0.009622111681608859
Position 17723: 0.007369480470325884
Position 400: 0.006576711790885086
Position 14671: 0.004168808898426096
Position 18344: 0.0007245993130665693
Position 18067: 0.0006258373009424436
Position 16845: 0.00014854079732632767
Position 96: 9.009295766630063e-05
Position 114: 3.858890945826792e-06
Position 127: 3.7836150689500386e-06
Position 158: 6.395350309855365e-07
Position 63: 1.738048082796651e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 11497: 0.972095650305911
Position 16601: 0.9719426589233622
Position 11147: 0.9511903597404738
Position 16978: 0.7788175649164716
Position 15681: 0.7180327055144536
Position 19173: 0.6723752231011625
Position 6452: 0.34164163916619295
Position 19237: 0.1825763115489741
Position 22795: 0.14362477806946566
Position 11738: 0.1422645668213214
Position 13457: 0.10316565123538096
Position 21655: 0.06243463198598951
Position 16974: 0.04817987110302003
Position 17204: 0.02883300475832285
Position 11704: 0.022742873495558973
Position 11534: 0.022417011926161867
Position 17913: 0.021406864541397244
Position 19404: 0.018643589533449363
Position 17501: 0.017050620767133054
Position 13496: 0.01622066577726978
Position 18282: 0.007958662218594922
Position 253: 0.0064195388026865195
Position 20035: 0.006283894809831506
Position 11749: 0.005598822907376443
Position 11420: 0.005487337767927442
Position 11784: 0.004174811406526509
Position 14456: 0.004168808898426096
Position 17026: 0.003907815578416284
Position 13365: 0.002582621781034402
Position 16809: 0.0011866608172365835
Position 16668: 0.0009205247177601104
Position 264: 0.0001571729881985675
Position 17084: 3.31502733906414e-05
Position 17089: 3.1484394816530644e-05
