Gene = Tada1
index = 1054
Annotated 5SS: [  380  3122  3366  7667  9675 10891 12889]
Annotated 3SS: [ 3029  3299  7568  9464 10738 12725 13470]
SMsplice 5SS: [  380  3214  3366  7667  9675 10891 11611 11972 12889]
SMsplice 3SS: [ 3029  3299  7568  9464 10738 11535 11720 12725 13470]
top_k =  100
Partition function (log Z): 3.521657870074264

Sorted 5' Splice Sites (High to Low Probability):
Position 3366: 0.9973681930144483
Position 380: 0.9269192797114719
Position 12889: 0.9107961801393706
Position 10891: 0.7957253523335719
Position 9675: 0.7253794868158403
Position 7667: 0.6379257833433044
Position 3214: 0.6077761521220263
Position 11611: 0.5832416112756061
Position 1618: 0.5476589017998762
Position 11972: 0.505125537352536
Position 1777: 0.4849869593551628
Position 3122: 0.2660974809331043
Position 11806: 0.2526397299267661
Position 10895: 0.19773313700405723
Position 3803: 0.19710835840524657
Position 6923: 0.19432417115773165
Position 566: 0.12354472219787944
Position 12251: 0.07161957092381457
Position 2303: 0.05509404495650964
Position 11793: 0.045901643270636054
Position 615: 0.04575388662291145
Position 3180: 0.04560887081343989
Position 4640: 0.028991912199349486
Position 12864: 0.027213148124350817
Position 3230: 0.026376649422757505
Position 3137: 0.014617659832013805
Position 752: 0.012128308108434134
Position 1836: 0.007271627099024929
Position 10793: 0.006541510662371937
Position 415: 0.006063914001205221
Position 11354: 0.005929287942115089
Position 1976: 0.005702206454484525
Position 198: 0.0055097993300002234
Position 1369: 0.005278285174152833
Position 193: 0.004117167403758562
Position 212: 0.0035757072911932206
Position 2090: 0.0028472961394517505
Position 1642: 0.0023444182183519073
Position 281: 0.0012213735475100896
Position 318: 0.0011435828274455138
Position 411: 0.0010214190383936183
Position 372: 0.000556900063009483
Position 237: 0.00023346210538840163
Position 1165: 0.00020711465677158153
Position 12305: 0.00014887836279424397
Position 249: 0.00010719536414899405
Position 256: 4.251600446871646e-05
Position 262: 3.09153470282517e-05
Position 274: 3.071015691517259e-05
Position 183: 1.6054534357614454e-05
Position 36: 7.743100155481463e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 10738: 1.0000000000000004
Position 3029: 0.989807467516854
Position 3299: 0.9668772911882301
Position 12725: 0.9187729408137261
Position 9464: 0.7253794868158403
Position 13470: 0.6987546799790519
Position 11720: 0.6606208030071092
Position 7568: 0.607416668841845
Position 11535: 0.5322125125865426
Position 1684: 0.4875485887273465
Position 1521: 0.4183714068803261
Position 13523: 0.16405059159927493
Position 11740: 0.14527992397613218
Position 6841: 0.11574816927852109
Position 3584: 0.11515718597099622
Position 480: 0.09953611203524222
Position 6787: 0.07857600187921056
Position 3606: 0.07824718804657078
Position 12689: 0.0770412689808641
Position 12131: 0.057734199744693286
Position 11471: 0.051029098689063454
Position 1547: 0.04546366786507411
Position 473: 0.0448172685361691
Position 1283: 0.03538900398915508
Position 7489: 0.030509114501459163
Position 1893: 0.02941711042747921
Position 1447: 0.02553782182521022
Position 13830: 0.025156133185425394
Position 2222: 0.01989118260714597
Position 13558: 0.017890378782815602
Position 4429: 0.01518250535799377
Position 1996: 0.014335254515820729
Position 12184: 0.014034249541915511
Position 4306: 0.013809406841355735
Position 1484: 0.01177360363976321
Position 14315: 0.011511005569590066
Position 1382: 0.008763229964012647
Position 11253: 0.005929287942115089
Position 14018: 0.0056738107887816585
Position 14219: 0.005313576091822496
Position 13161: 0.003998780793419628
Position 13419: 0.0038642452032187522
Position 13031: 0.0037481000424280826
Position 3564: 0.0034527063436980733
Position 446: 0.0014534039671686618
Position 2896: 0.0011602474327050446
Position 1318: 0.0006372280402468663
Position 3437: 0.0002126793292704248
Position 675: 0.00018207980208109176
Position 964: 0.00015935655368033054
Position 1692: 5.5012150877588365e-05
Position 1014: 4.7758103091250915e-05
Position 3749: 3.8598714711086414e-05
Position 1704: 2.9246010359568347e-05
Position 690: 7.174969211734482e-06
