Gene = Rita1
index = 903
Annotated 5SS: [ 316  610 1212]
Annotated 3SS: [ 514  859 2626]
SMsplice 5SS: [ 316 1212]
SMsplice 3SS: [ 859 2445]
top_k =  100
Partition function (log Z): -5.176277659567626

Sorted 5' Splice Sites (High to Low Probability):
Position 1212: 0.7399360141445795
Position 316: 0.645961363115353
Position 201: 0.32275163792813555
Position 610: 0.15435515797911226
Position 1148: 0.10804593265951203
Position 643: 0.08017604258853585
Position 3237: 0.05308245052291426
Position 189: 0.026991384092504806
Position 2524: 0.018100030006050857
Position 1467: 0.013942720551590059
Position 1217: 0.007048086037603741
Position 2520: 0.00394391447669592
Position 47: 0.0022819066473872694
Position 715: 0.002244589361642484
Position 382: 0.00024188926031037627
Position 1369: 5.5957171690624106e-05
Position 102: 5.069441125013907e-05
Position 10: 4.216110770482186e-05
Position 293: 1.2760251528929942e-05
Position 17: 9.028129175776955e-06
Position 57: 8.9987535781884e-06
Position 83: 6.363715222392895e-06
Position 26: 3.6740205300052847e-06
Position 55: 1.0056883530574432e-06
Position 63: 3.1640487752814264e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 859: 0.5976059090469262
Position 2445: 0.537252413628656
Position 1083: 0.23323367422421384
Position 2626: 0.1872858317563347
Position 3333: 0.10885591876494498
Position 514: 0.09061482299869436
Position 2935: 0.06924366973024408
Position 549: 0.062391675235380244
Position 530: 0.0536715481156573
Position 1060: 0.03698205996980791
Position 3038: 0.02645527966834372
Position 1031: 0.01892792597013134
Position 1293: 0.016882365029901845
Position 963: 0.01621031108104477
Position 518: 0.014130426025753614
Position 1568: 0.012864472274346091
Position 3344: 0.012037652861541986
Position 1779: 0.011277892676331322
Position 1456: 0.010877180588774531
Position 1166: 0.009626535512992898
Position 1413: 0.006380657692309153
Position 410: 0.005445890973764997
Position 2745: 0.00527068959052199
Position 1803: 0.00525712714003707
Position 2755: 0.005245875396996818
Position 2779: 0.004504402465072216
Position 767: 0.003950334512816842
Position 556: 0.003761693179571851
Position 3406: 0.003537401263037759
Position 1699: 0.0033949305255511573
Position 441: 0.0017013410869238183
Position 184: 0.0013103947111246482
Position 938: 0.0009309218722510838
Position 302: 0.000613465416014696
Position 568: 0.0005112879778508016
Position 263: 0.0003332352872616332
Position 137: 0.00026215914819366766
Position 114: 0.00018659675113077853
Position 373: 0.00010690204874494896
Position 130: 9.70040560500866e-05
Position 808: 5.254121454252346e-05
Position 1036: 1.1131112963078576e-05
Position 429: 2.1720225845539614e-07
