Gene = 1700066M21Rik
index = 19
Annotated 5SS: [327]
Annotated 3SS: [5122]
SMsplice 5SS: [169 327]
SMsplice 3SS: [ 236 5122]
top_k =  100
Partition function (log Z): -6.70449462836304

Sorted 5' Splice Sites (High to Low Probability):
Position 327: 0.9563795152426008
Position 169: 0.7293355947730613
Position 2609: 0.2337713739949583
Position 2193: 0.0758424400298687
Position 2153: 0.044397031510934284
Position 2494: 0.03301838540781348
Position 2181: 0.031093742634670372
Position 25: 0.02925981333887279
Position 909: 0.025120136985551034
Position 826: 0.017569901364160978
Position 1445: 0.012199779727855967
Position 5234: 0.011725621280040894
Position 4619: 0.011463935041315156
Position 472: 0.006239228543044278
Position 131: 0.0003060558649748466
Position 87: 0.00017228388887176703
Position 74: 8.021600786489568e-05
Position 997: 7.603656050972158e-05
Position 59: 4.939462796996222e-05
Position 548: 1.3810928866637306e-05
Position 67: 2.8956632291619717e-06
Position 300: 1.2836032846091951e-06
Position 321: 8.026839381130449e-07
Position 216: 3.5320213682105596e-07
Position 199: 2.348709966374184e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 5122: 0.7876759862734423
Position 236: 0.6788171852238591
Position 2369: 0.19464826908238445
Position 2086: 0.11962323244212546
Position 2421: 0.09238372548931716
Position 741: 0.05174748220013185
Position 4363: 0.04479579923057176
Position 4443: 0.04155596118825763
Position 2035: 0.03154250828775898
Position 1213: 0.030497065294739605
Position 2829: 0.02312804033387186
Position 143: 0.015239043643095473
Position 2721: 0.013860724565948461
Position 241: 0.01367820362072444
Position 1918: 0.013484185197193747
Position 409: 0.01295279979528538
Position 6000: 0.011725621280040894
Position 1277: 0.010892505347141344
Position 879: 0.006846991234894811
Position 273: 0.0066171821723193
Position 1741: 0.006103916178958944
Position 3023: 0.003127695250679172
Position 2262: 0.0015695662893456816
Position 1422: 0.0012600427944109997
Position 1568: 0.0011517002374339133
Position 206: 0.0009690568457889915
Position 1125: 0.0009172246328334532
Position 2000: 0.0008099444736903416
Position 276: 0.00018448674823278214
Position 766: 8.569529216753487e-05
Position 290: 6.161632529066702e-05
Position 809: 5.143191894920117e-05
Position 193: 4.793960586691735e-05
Position 747: 3.5382407128779204e-05
Position 123: 9.276341186345165e-06
Position 411: 7.751033864304026e-06
Position 173: 7.167264109659811e-06
Position 326: 4.1695598149435125e-06
Position 188: 2.6373082045446175e-06
Position 150: 3.900952432727443e-07
Position 287: 3.0400325147519326e-08
