Gene = Nkpd1
index = 752
Annotated 5SS: [ 129  984 2414 4228]
Annotated 3SS: [ 864 1963 4095 5132]
SMsplice 5SS: [ 129  984 4228]
SMsplice 3SS: [ 864 4095 5132]
top_k =  100
Partition function (log Z): 1.3201073116217932

Sorted 5' Splice Sites (High to Low Probability):
Position 984: 0.999982711718162
Position 129: 0.959186223469715
Position 4228: 0.6445629474768745
Position 4170: 0.19728667494470878
Position 4477: 0.07317849937418433
Position 133: 0.03925949721016746
Position 4419: 0.03343189164165121
Position 4232: 0.033049417566742983
Position 6180: 0.027072050193606815
Position 6101: 0.02209814944932979
Position 2414: 0.016341705748776015
Position 5326: 0.014786477053432551
Position 1213: 0.013592297229494205
Position 2776: 0.013558463719564078
Position 5291: 0.009800556982168565
Position 2785: 0.008753269276542377
Position 2798: 0.008511719442999995
Position 1306: 0.007184756055071507
Position 1508: 0.006776167294097067
Position 2183: 0.0065789540046268784
Position 3950: 0.005417964095349174
Position 4251: 0.004961558563952677
Position 5204: 0.004799428038449499
Position 795: 0.004533441612800003
Position 4255: 0.0028264867775621527
Position 402: 0.0020829287993598383
Position 418: 0.0012656706470695832
Position 215: 0.0006682202666272879
Position 279: 0.0005854766641267628
Position 465: 0.00033870839441306304
Position 165: 0.00019151313485013814
Position 670: 0.0001600219969846752
Position 455: 0.00012438476711051214
Position 319: 0.00010098311053782646
Position 422: 7.24267163240242e-05
Position 426: 5.8421143921658576e-05
Position 349: 5.454824839734941e-05
Position 370: 2.6519497056767807e-05
Position 1029: 9.351946335389521e-06
Position 1006: 7.936335506735648e-06
Position 203: 3.6015742667968103e-09
Position 264: 4.99611231008524e-10
Position 208: 1.6270516996741445e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 864: 0.9632388806474474
Position 4095: 0.8914218248961846
Position 5132: 0.66317991096907
Position 4301: 0.14941383419567367
Position 6388: 0.09691908875617938
Position 5022: 0.05289975054322031
Position 6035: 0.047804120999588626
Position 2670: 0.04424493705644654
Position 898: 0.032354862993368406
Position 5045: 0.030827738736048212
Position 5254: 0.02077436214157453
Position 5916: 0.0171927536515355
Position 5316: 0.01651843385947272
Position 5412: 0.01299129981485973
Position 1963: 0.012377416912104812
Position 2323: 0.011928042502342006
Position 1062: 0.010424236877273143
Position 2097: 0.009969333848894386
Position 4126: 0.007498984614891269
Position 3810: 0.006986952239898395
Position 2112: 0.006846778096363376
Position 1403: 0.005615034552499826
Position 5639: 0.0050263061971913365
Position 1139: 0.0043103820506270535
Position 2281: 0.004010578293881227
Position 4349: 0.0035067300026755802
Position 4385: 0.003326466135804331
Position 4602: 0.0029975810402899537
Position 901: 0.002909576896734237
Position 254: 0.0028765107372964484
Position 1333: 0.0025302279007252695
Position 4579: 0.002098002535653124
Position 1080: 0.0020768982997987425
Position 2034: 0.001717970067806812
Position 3415: 0.001575604348142825
Position 296: 0.0014419571045771124
Position 794: 0.0013927593004254596
Position 604: 0.0013514294401309843
Position 1236: 0.0013157433259173498
Position 662: 0.0009830650917377257
Position 1281: 0.000982551464655636
Position 3640: 0.0009817484324183634
Position 739: 0.0009692263177693369
Position 1067: 0.000868126116426254
Position 1257: 0.0007991151498675334
Position 2162: 0.0006105683031826279
Position 563: 0.000371061469920906
Position 670: 0.0003554686530016327
Position 629: 0.0001858487408727654
Position 339: 0.00012554696812261797
Position 680: 7.809510351568631e-05
Position 275: 3.145101971341092e-05
Position 214: 2.341350654827571e-05
Position 925: 7.1808288080549185e-06
Position 840: 6.646185123001826e-06
Position 813: 5.849192615677987e-06
Position 526: 3.919913622233382e-08
Position 577: 3.8207381637030714e-08
Position 609: 2.349588895245702e-08
Position 488: 1.9477427550416508e-08
Position 540: 1.862124949970779e-08
Position 407: 7.422577877611349e-09
Position 584: 7.254520323087428e-09
Position 360: 6.067441496403218e-09
