Gene = Ecrg4
index = 356
Annotated 5SS: [ 362 6646 8116]
Annotated 3SS: [ 6597  7957 11642]
SMsplice 5SS: [ 362 6665 8116]
SMsplice 3SS: [ 6597  7957 11642]
top_k =  100
Partition function (log Z): -6.307822971846294

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.9544995023379074
Position 6665: 0.8555953152672892
Position 8116: 0.3645225386991592
Position 1062: 0.3161531525442982
Position 8068: 0.25099986042571437
Position 8981: 0.24271799579017977
Position 10426: 0.10814418992028613
Position 6646: 0.09747498049811891
Position 2950: 0.04858623860861079
Position 508: 0.04479755591620891
Position 8631: 0.03998132581534036
Position 4342: 0.0374717036003893
Position 2004: 0.034320973313105754
Position 10304: 0.028750756377245924
Position 6683: 0.016163527644675674
Position 8627: 0.012295546470750752
Position 9644: 0.011976263079914147
Position 6807: 0.004840395382098265
Position 6783: 0.004331262192235575
Position 2784: 0.0009985641766588494
Position 179: 0.0002810384575202899
Position 599: 0.00028001732652715777
Position 1935: 0.00015661251005617033
Position 1705: 1.4415128418546366e-05
Position 1055: 1.116160581096198e-05
Position 659: 5.5676295454649e-06
Position 167: 1.6696821154457177e-06
Position 122: 1.0059762204106108e-06
Position 112: 1.005650484620678e-06
Position 183: 9.588267339726775e-07
Position 27: 7.905747934188619e-07
Position 17: 1.8083290389743708e-07
Position 114: 1.3407536936598462e-07
Position 48: 4.013676084454632e-08
Position 235: 9.57579828574021e-09
Position 247: 1.889413332998353e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6597: 0.9808485348245161
Position 11642: 0.9671687044147887
Position 7957: 0.6161748546717312
Position 942: 0.2647180070524786
Position 8883: 0.24271799579017972
Position 10233: 0.1567409747528709
Position 8458: 0.05324398382016944
Position 2851: 0.048951316164214984
Position 4197: 0.03747170360038931
Position 1934: 0.03092519513687278
Position 748: 0.020809803862223083
Position 960: 0.01942034042354945
Position 9607: 0.017156952192323223
Position 919: 0.006882364450276739
Position 1878: 0.004117431392798371
Position 895: 0.0021477179688539467
Position 994: 0.0021468084764306103
Position 7337: 0.0018824880961505223
Position 2604: 0.0006258341286715058
Position 2648: 0.00031128000422639006
Position 5636: 0.0003017215243692578
Position 2274: 0.0002818220236054833
Position 2460: 6.145004376095358e-05
Position 1975: 4.8915949763418664e-05
Position 1760: 4.331609069211986e-05
Position 971: 4.2812254267056746e-05
Position 752: 3.428166090063292e-05
Position 968: 2.036544966236571e-05
Position 858: 1.8991372551139147e-05
Position 270: 1.5109396312839399e-05
Position 259: 1.1681800791092527e-05
Position 1650: 1.0691095513285145e-05
Position 247: 6.467589641156129e-06
Position 1052: 3.914018983894447e-06
Position 1659: 3.7240329052612094e-06
Position 1004: 3.3643543055817766e-06
Position 310: 2.7491403112197346e-06
Position 828: 2.5889166128736162e-06
