Gene = Spesp1
index = 1012
Annotated 5SS: [207]
Annotated 3SS: [8644]
SMsplice 5SS: [207]
SMsplice 3SS: [9262]
top_k =  100
Partition function (log Z): -9.974035099491502

Sorted 5' Splice Sites (High to Low Probability):
Position 207: 0.970649413171724
Position 2808: 0.17280221789244649
Position 4723: 0.12122439023879551
Position 2366: 0.03374008221053772
Position 199: 0.025790589148003387
Position 2336: 0.01498643812848786
Position 776: 0.014270017567173974
Position 48: 0.006703910211515298
Position 3699: 0.006372175678973157
Position 634: 0.004458427575904882
Position 849: 0.0009088045874062031
Position 83: 0.0008881478555636855
Position 226: 2.7900123219289547e-06
Position 40: 2.52222851780592e-06
Position 164: 2.1223362904859794e-06
Position 16: 1.3027951346034635e-06
Position 211: 3.3482362386387407e-07
Position 235: 2.2395226137464636e-07
Position 223: 1.904227384491723e-07
Position 216: 7.847700389956509e-08
Position 96: 4.0728000631812555e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4485: 0.34503977443901923
Position 9262: 0.3257552099486385
Position 2657: 0.19349265828601636
Position 319: 0.10253913631987338
Position 1165: 0.06495111895516359
Position 510: 0.03684008127307456
Position 2133: 0.030207915419228997
Position 4791: 0.028988975051910983
Position 2194: 0.02561149023136031
Position 1133: 0.02524962921410523
Position 8703: 0.022792688975547388
Position 4594: 0.021102220217920954
Position 3932: 0.019029526941705326
Position 652: 0.01798994661853062
Position 3525: 0.01786240028871209
Position 7831: 0.015818930056206392
Position 6928: 0.014480101312448316
Position 2742: 0.010251360558725844
Position 364: 0.0054250955030432976
Position 4437: 0.005048077630832778
Position 1039: 0.003717147917490061
Position 4490: 0.0035496594688410803
Position 3234: 0.0032322040706458314
Position 1551: 0.003190350274902418
Position 151: 0.0031614702185013112
Position 2444: 0.0031146140934848027
Position 2400: 0.002393985393386885
Position 406: 0.0022476727162253083
Position 1265: 0.002046777826806992
Position 289: 0.0019061292872329658
Position 515: 0.001872583395206191
Position 1194: 0.0017948782185817158
Position 1953: 0.0017222116317748642
Position 380: 0.0016069539457550463
Position 1232: 0.001524288141486361
Position 1210: 0.0013423629349512923
Position 1690: 0.0013143320957638247
Position 1607: 0.0013136555503325239
Position 1745: 0.0012442022085215958
Position 468: 0.0008473765617621652
Position 128: 0.000667858791987364
Position 663: 0.0002240659209513265
Position 164: 0.00020932759069190016
Position 583: 3.3203338618996735e-05
Position 2600: 3.132461651404974e-05
Position 619: 8.23005746917031e-06
Position 607: 8.00697095615081e-06
Position 105: 2.2847277311562283e-06
Position 82: 6.671501501722535e-07
Position 90: 5.768363975600919e-08
