Gene = Kmt5a
index = 607
Annotated 5SS: [   86  6155  7441 10951 11444 17189 20036]
Annotated 3SS: [ 6038  7283 10730 11355 17128 19844 20557]
SMsplice 5SS: [   86  7441 10403 10951 11444 14397 17189 20036]
SMsplice 3SS: [ 7283 10308 10730 11355 14267 17128 19844 21084]
top_k =  100
Partition function (log Z): 1.1639560012572097

Sorted 5' Splice Sites (High to Low Probability):
Position 11444: 1.0000000000000009
Position 7441: 0.9960791761948598
Position 20036: 0.834167054704736
Position 10951: 0.8276728980666408
Position 17189: 0.765197131416964
Position 14397: 0.7484276489705524
Position 10403: 0.703522460879412
Position 86: 0.5119023666085271
Position 15477: 0.29868759939204126
Position 152: 0.2439580443300806
Position 641: 0.22511005372539478
Position 17246: 0.1937425449056439
Position 10583: 0.1643709266170029
Position 321: 0.13903043787999625
Position 3562: 0.09055078487294442
Position 20608: 0.07346462477261946
Position 11011: 0.07060079706404988
Position 7577: 0.06736084200575962
Position 21198: 0.037850926231017684
Position 6659: 0.036475233800652214
Position 17320: 0.032352620424426964
Position 7749: 0.032027389597808
Position 4468: 0.023983797438516145
Position 19262: 0.02258951336273688
Position 20708: 0.021397461139236365
Position 10806: 0.02076518242648063
Position 11223: 0.01397233690639079
Position 15481: 0.013905412760949143
Position 10309: 0.013153991406337634
Position 10875: 0.0060268926528712664
Position 13009: 0.005929641555607523
Position 15260: 0.00554401497032188
Position 10418: 0.0042561232344400625
Position 7602: 0.0038186053156788495
Position 8835: 0.0029521545490211595
Position 15086: 0.002817383826583415
Position 8895: 0.0028004139631353565
Position 452: 0.0019942968439166497
Position 370: 0.0013293656341233473
Position 407: 0.0010499069697002524
Position 60: 0.0004302994110184528
Position 485: 0.0002460512508694235
Position 187: 2.6724947732584645e-05
Position 98: 9.952964866971367e-07
Position 38: 6.157418204408994e-07
Position 11: 4.939069727670989e-07
Position 92: 4.2647583269794817e-07
Position 14: 7.025181846674591e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 17128: 1.0
Position 7283: 0.9741994565502726
Position 11355: 0.9536171274360494
Position 10730: 0.9248817083654872
Position 19844: 0.867770957150128
Position 21084: 0.46758273621127916
Position 10308: 0.46338376535106357
Position 14267: 0.37718767467003717
Position 14225: 0.3712399743005153
Position 15374: 0.31259301215299046
Position 21353: 0.2735755823146459
Position 20975: 0.13026648420736697
Position 10218: 0.11893100026634779
Position 10288: 0.10984509613406711
Position 10499: 0.10927918121775826
Position 20557: 0.08758917601613102
Position 3364: 0.08151932937512965
Position 7518: 0.07381597330257486
Position 533: 0.0668956555079712
Position 11193: 0.06035520947034229
Position 10258: 0.05055423804789094
Position 21032: 0.03956163789512036
Position 6634: 0.036475233800652214
Position 564: 0.03624485525811555
Position 10476: 0.03331022112006496
Position 22129: 0.028210301778872442
Position 4326: 0.02398379743851616
Position 20428: 0.023475816279412087
Position 19192: 0.02258951336273688
Position 7624: 0.02159118191323348
Position 20141: 0.018549751848377545
Position 7364: 0.017419864221238087
Position 256: 0.015280393558141212
Position 20257: 0.014355667228452775
Position 3191: 0.00903145549781477
Position 7224: 0.008380679228490428
Position 15010: 0.008361398796905298
Position 17603: 0.006219431155365394
Position 12915: 0.005929641555607523
Position 8737: 0.005752568512156515
Position 452: 0.004901444761082663
Position 7644: 0.0038788578982967025
Position 489: 0.001705752913519785
Position 17669: 0.0010148215094926006
Position 10651: 9.228617725319785e-05
Position 10667: 9.177566730278845e-05
Position 294: 5.204727545895723e-05
