Gene = Prc1
index = 849
Annotated 5SS: [  142  5984  6710 10145 10402 11618 12073 13246 15039 16438 16731 17878
 18759]
Annotated 3SS: [ 5850  6586  9910 10230 11467 11924 13108 14942 16290 16619 17766 18581
 20663]
SMsplice 5SS: [  142  5984 10402 11618 12073 13246 15039 16438 16731 17878 18682]
SMsplice 3SS: [ 5850 10230 11467 11924 13108 14942 16290 16619 17766 18581 20663]
top_k =  100
Partition function (log Z): 4.864041518732626

Sorted 5' Splice Sites (High to Low Probability):
Position 10402: 0.9990511556578026
Position 142: 0.9944945943634342
Position 16438: 0.991776889149568
Position 11618: 0.8921031476980397
Position 5984: 0.8856267593811077
Position 12073: 0.8836914923909872
Position 13246: 0.8825062963333354
Position 16731: 0.8439507361471889
Position 17878: 0.7853201056918936
Position 15039: 0.6703617623073864
Position 18682: 0.6511653265964813
Position 6710: 0.4481537832656427
Position 7025: 0.3364709594773896
Position 18759: 0.19711426854823497
Position 8043: 0.18195916607419074
Position 6684: 0.13761302627422187
Position 12165: 0.08911527614740691
Position 18999: 0.05954642079595593
Position 8070: 0.05258306212295779
Position 19944: 0.035710408164091746
Position 11641: 0.027242155258937452
Position 1647: 0.020393213151389755
Position 6959: 0.019092958254548747
Position 16722: 0.01892425209391807
Position 768: 0.018462485699419027
Position 18435: 0.015500684136144185
Position 2880: 0.014228148568574307
Position 5773: 0.009060776051823354
Position 14437: 0.007954485825750219
Position 5391: 0.005367319161277667
Position 1684: 0.004301738626558428
Position 177: 0.003215743490513008
Position 195: 0.0007550904311924778
Position 387: 0.0006218992488720064
Position 44: 0.00039061073559217295
Position 10330: 0.0001444547941412055
Position 441: 9.573401163493499e-05
Position 447: 7.52290537682392e-05
Position 344: 6.019274687350697e-05
Position 92: 4.562858293529564e-05
Position 188: 4.401857835091026e-05
Position 76: 3.053066503546105e-05
Position 99: 2.8942728647272766e-05
Position 148: 2.5913852202901062e-05
Position 563: 2.472927073798113e-05
Position 426: 1.591461705119893e-05
Position 348: 1.4446135496882672e-05
Position 209: 1.3365805828720153e-05
Position 183: 1.089552908146389e-05
Position 399: 1.0642851810191609e-05
Position 469: 7.65820282764127e-06
Position 478: 4.623657409282607e-06
Position 69: 4.5407307127995695e-06
Position 124: 3.5562914099571297e-06
Position 85: 2.9657133204843642e-06
Position 63: 2.5327052613639784e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 10230: 0.9991956104519438
Position 16290: 0.9886289890111328
Position 11924: 0.9728067685383935
Position 18581: 0.9081552596194157
Position 11467: 0.878215499625922
Position 5850: 0.86552854554183
Position 13108: 0.8651145498815619
Position 16619: 0.7217500085741808
Position 14942: 0.6648984359319952
Position 20663: 0.6321118366629139
Position 6586: 0.6270788631451925
Position 17766: 0.5205151613992929
Position 6859: 0.3142518641266108
Position 7880: 0.23454222819714854
Position 19821: 0.159116545916953
Position 17711: 0.1457708965635293
Position 19099: 0.13546096604670974
Position 16559: 0.09017727297099323
Position 17789: 0.07285820145906653
Position 11399: 0.035346688833999385
Position 16684: 0.03289819557897442
Position 18786: 0.0318900712873193
Position 5617: 0.029158989891101033
Position 21529: 0.025227706290173457
Position 18995: 0.025099082104996104
Position 19076: 0.02391928237428639
Position 1563: 0.02302288457845222
Position 17833: 0.019568399129455072
Position 17628: 0.018977055667923654
Position 640: 0.018462485699419023
Position 16537: 0.018049511116958416
Position 13004: 0.01739174645177399
Position 18334: 0.015500684136144187
Position 2773: 0.014228148568574307
Position 17659: 0.007630391472626014
Position 14314: 0.006809105419001601
Position 14800: 0.005463326375391213
Position 5288: 0.005367319161277667
Position 11246: 0.005293198853494914
Position 16261: 0.0029390556966184516
Position 1327: 0.0016720671994959575
Position 18585: 0.0014113109929532164
Position 14349: 0.0011453804067486193
Position 18611: 0.0011443628090435903
Position 11178: 0.0004899156435608907
Position 16109: 0.00020884444181623032
