Gene = Prcc
index = 850
Annotated 5SS: [  734 13399 16026 18294 23478 25463]
Annotated 3SS: [13350 15458 18197 23333 25396 26261]
SMsplice 5SS: [  734 13399 18294 23478 25463]
SMsplice 3SS: [13350 18197 23333 25396 26261]
top_k =  100
Partition function (log Z): -20.556416182608437

Sorted 5' Splice Sites (High to Low Probability):
Position 734: 0.7679514734741374
Position 1173: 0.600836105758318
Position 181: 0.1375926320563313
Position 220: 0.09641224342284961
Position 36: 0.047072072165851145
Position 2971: 0.03627583669279541
Position 557: 0.025617110255681492
Position 698: 0.008782199385139262
Position 905: 0.006527435235875489
Position 2291: 0.004048061703438665
Position 2511: 0.0036344426696150005
Position 738: 0.002175683997942076
Position 786: 0.0021232791592587976
Position 347: 0.001330251200669688
Position 300: 0.001113630029790433
Position 385: 0.0002934348782692855
Position 213: 0.00011369960568902744
Position 8: 5.8101007780012296e-05
Position 38: 5.110741384790927e-05
Position 45: 3.742934746466329e-05
Position 5: 5.712456787019424e-06
Position 161: 5.349391438497822e-06
Position 17: 2.981665318566048e-06
Position 245: 2.6536144358035105e-06
Position 70: 2.332532205797017e-06
Position 53: 2.208533050029975e-06
Position 90: 1.705830314895706e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1019: 0.4652069532755979
Position 4665: 0.3422151222458659
Position 2875: 0.1761547558624631
Position 2107: 0.15417647505989268
Position 5801: 0.09413742596807445
Position 1061: 0.07275863031100151
Position 2290: 0.05714030933405476
Position 554: 0.055001152260048584
Position 439: 0.04947892104427707
Position 8946: 0.045203807713466077
Position 1056: 0.04040913578344568
Position 2426: 0.03398649688220413
Position 4090: 0.031189486378093788
Position 947: 0.022373274855143017
Position 1309: 0.02015955660830049
Position 1122: 0.012520105698373477
Position 638: 0.010968260329225335
Position 1795: 0.010131082895682618
Position 1033: 0.009372224354482057
Position 4039: 0.008210130068232303
Position 1271: 0.0047271801910710575
Position 2550: 0.0033488652044336106
Position 676: 0.003011204613583696
Position 2199: 0.0029057072789805496
Position 288: 0.002854244330065233
Position 979: 0.0024693213573808623
Position 2015: 0.0022715358194670982
Position 1640: 0.001959921677182497
Position 410: 0.0019118865706409544
Position 1530: 0.0018036185124069072
Position 291: 0.0017384322554980993
Position 614: 0.0010312386542986468
Position 491: 0.0004970782830516911
Position 498: 0.00048173523680212983
Position 452: 0.00026389657150823024
