Gene = Cpr64Ad
index = 1097
Annotated 5SS: [86]
Annotated 3SS: [160]
SMsplice 5SS: [86]
SMsplice 3SS: [160]
top_k =  500
Partition function (log Z): -3.5784541163233703

Sorted 5' Splice Sites (High to Low Probability):
Position 86: 0.9666465386742558
Position 6: 0.06925429554415843
Position 92: 0.001826255471238664
Position 108: 0.0013404471444550725
Position 96: 0.0008175182461437586
Position 651: 0.0005820082993309103
Position 659: 0.00016258687239757412
Position 35: 0.00015385298171799165
Position 10: 0.00013894385632707927
Position 618: 9.168309526908694e-05
Position 905: 6.926265952847005e-05
Position 957: 5.451244492829939e-05
Position 90: 3.785742835690227e-05
Position 645: 3.648330289635589e-05
Position 121: 3.1247304674004275e-05
Position 350: 1.9217074558987757e-05
Position 693: 1.2866739131482493e-05
Position 580: 1.2129446076821687e-05
Position 512: 1.1588195469585867e-05
Position 923: 8.660830292384127e-06
Position 116: 7.062400953509915e-06
Position 914: 6.0735327590446584e-06
Position 240: 5.695896099183793e-06
Position 209: 4.973517675341331e-06
Position 586: 4.8861572613740106e-06
Position 204: 4.092251030897597e-06
Position 298: 3.6815790795858707e-06
Position 663: 3.380911850583247e-06
Position 699: 2.5071613005359314e-06
Position 536: 2.487886656665937e-06
Position 431: 2.487192248127072e-06
Position 373: 2.3563349293448218e-06
Position 563: 2.008308458890772e-06
Position 479: 1.8923155279380085e-06
Position 890: 1.742570554557549e-06
Position 14: 1.2099080356162252e-06
Position 735: 8.92209161851818e-07
Position 371: 8.678756709330994e-07
Position 488: 5.933673067628367e-07
Position 702: 5.222881380354521e-07
Position 161: 4.831662824609126e-07
Position 911: 4.2472699555777837e-07
Position 749: 3.104574856592228e-07
Position 656: 2.7893524615211896e-07
Position 707: 2.106518836941864e-07
Position 978: 3.918028636469534e-08
Position 422: 3.740965695303492e-10
Position 455: 3.881721149081137e-11
Position 170: 3.970359876327094e-15
Position 164: 5.483221086236095e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 160: 0.9982125411667518
Position 63: 0.04102797022768578
Position 711: 0.0007118758870313771
Position 170: 0.0004931490415167777
Position 746: 0.00024825353872493764
Position 580: 0.00016337070380229008
Position 1022: 0.00014730690367398963
Position 120: 0.00011385523989567877
Position 199: 8.309243332545101e-05
Position 90: 6.81793929078413e-05
Position 422: 3.904958767281415e-05
Position 479: 1.8975321976332064e-05
Position 604: 1.1173084553707932e-05
Position 754: 4.5197677868529505e-06
Position 512: 3.363065153265423e-06
Position 536: 3.1937891160122868e-06
Position 782: 3.1860612207215203e-06
Position 791: 2.7368661308981753e-06
Position 628: 2.163013920020166e-06
Position 818: 1.7525733102490968e-06
Position 851: 1.7493474205134803e-06
Position 491: 1.5461282365643821e-06
Position 586: 1.32243225414429e-06
Position 431: 1.0681697616046603e-06
Position 945: 1.0114727721671148e-06
Position 379: 7.192047871135544e-07
Position 757: 5.475912761556925e-07
Position 125: 3.560093818610058e-07
Position 455: 3.4760806336674233e-07
Position 634: 3.287471278596053e-07
Position 685: 2.8120342144206626e-07
Position 488: 1.312259292064898e-07
Position 128: 4.1597094831751104e-13
