Gene = Srpk79D
index = 1523
Annotated 5SS: [4747 5060 5575 5952 6333 7799 8848]
Annotated 3SS: [4837 5122 5628 6173 7246 8576 8918]
SMsplice 5SS: [1454 5060 5575 5952 7799 8848 9165]
SMsplice 3SS: [4837 5122 5628 7693 8576 8918 9217]
top_k =  500
Partition function (log Z): 10.957728501511676

Sorted 5' Splice Sites (High to Low Probability):
Position 5575: 0.9807353643380482
Position 5952: 0.9768030604130316
Position 7799: 0.9701437499604089
Position 8848: 0.9415534996332553
Position 5060: 0.9315263943001957
Position 1454: 0.9310245066670559
Position 9165: 0.6750271831427062
Position 6333: 0.30155895090393675
Position 6338: 0.20609566202593294
Position 8506: 0.19258526813474952
Position 5385: 0.1834706965210031
Position 4747: 0.12379964431279702
Position 9634: 0.07167588055250211
Position 9734: 0.06865206306672986
Position 2863: 0.04222729339404786
Position 274: 0.038803270868830814
Position 8183: 0.03747190279599035
Position 1488: 0.03705834540356197
Position 9648: 0.0365837059837712
Position 9669: 0.03642792158945581
Position 270: 0.036176959236557255
Position 8815: 0.035851026326196384
Position 7916: 0.034340145339262065
Position 2422: 0.0263335200209101
Position 8220: 0.021733582208869878
Position 9404: 0.019586463878638882
Position 8852: 0.017943387480926803
Position 9128: 0.01790110463169539
Position 9106: 0.017593684960249493
Position 6360: 0.017168435737219327
Position 8540: 0.015132632654188934
Position 7213: 0.010590367960641606
Position 9793: 0.009115889501096666
Position 6313: 0.006985734205634036
Position 3227: 0.006951318436223794
Position 266: 0.006344920234609295
Position 7763: 0.00587830600255834
Position 9839: 0.005793000629088506
Position 278: 0.005689344230119627
Position 6058: 0.0056698986257638995
Position 8388: 0.005622489402259363
Position 5336: 0.005398925062740427
Position 9091: 0.005228619866651591
Position 5284: 0.0047355783976261254
Position 6342: 0.004716098755968546
Position 99: 0.004623205470793789
Position 90: 0.004188016914332916
Position 2456: 0.004098933613234315
Position 9502: 0.004036629561267915
Position 1915: 0.0037014985348729247
Position 7123: 0.0036722054005736034
Position 39: 0.003636286962267311
Position 9980: 0.0033940287266137057
Position 8980: 0.003368630001507607
Position 1039: 0.0030117194104585156
Position 9341: 0.002975798922331953
Position 1875: 0.0029016172422980553
Position 7112: 0.002871846689607387
