Gene = NimC2
index = 1322
Annotated 5SS: [ 149  315  432 1409]
Annotated 3SS: [ 211  375  489 1551]
SMsplice 5SS: [ 315  432 1409]
SMsplice 3SS: [ 375  489 1551]
top_k =  500
Partition function (log Z): -1.9757972060987732

Sorted 5' Splice Sites (High to Low Probability):
Position 315: 0.9884653913674295
Position 1409: 0.8966152060045502
Position 432: 0.6459822508968739
Position 1486: 0.21517136153371003
Position 149: 0.05493901728775849
Position 1923: 0.01856268541527818
Position 1179: 0.018243507382529767
Position 612: 0.013402840559283924
Position 1413: 0.012155436979591438
Position 572: 0.010006326491379452
Position 962: 0.004495004908710575
Position 1803: 0.004322542579306881
Position 702: 0.003935302913346813
Position 1401: 0.0035935487997342938
Position 1017: 0.002876014756788589
Position 2727: 0.00274156996560358
Position 2133: 0.0025347139151709404
Position 2490: 0.002022421716662397
Position 1531: 0.0019769141407655366
Position 1380: 0.0019275588419470251
Position 353: 0.0017397919274338282
Position 2815: 0.0016649779517920883
Position 3006: 0.001360484590901048
Position 294: 0.0012564412468762793
Position 1781: 0.0011526826390291262
Position 2045: 0.0010322449544010535
Position 2359: 0.0008542501140597761
Position 1975: 0.0007799681314831417
Position 1371: 0.0007021109450334704
Position 548: 0.0006433559908795998
Position 597: 0.0005528340607300929
Position 1742: 0.0005394060901729332
Position 579: 0.0005022769061310937
Position 1120: 0.0003770832975982937
Position 1089: 0.0002994924072530125
Position 3042: 0.00023375591580662296
Position 123: 0.0002264912243709063
Position 16: 0.0002067740908859293
Position 2455: 0.0001769962690596969
Position 1980: 0.00017274260588226773
Position 1986: 0.00016790500676103746
Position 153: 0.00014687397517009997
Position 1094: 0.00010656961446160734
Position 161: 9.212798375717535e-05
Position 1161: 8.205689764631684e-05
Position 954: 7.472699293495049e-05
Position 2946: 5.272988686882651e-05
Position 1834: 4.841509746007048e-05
Position 654: 4.7527741078356546e-05
Position 247: 3.922903276943887e-05
Position 404: 3.629898370252377e-05
Position 1382: 3.62723981177284e-05
Position 2613: 3.4211101638348015e-05
Position 397: 2.508541676956481e-05
Position 33: 1.7099155863643732e-05
Position 350: 1.709182208884691e-05
Position 237: 1.5099425315143658e-05
Position 680: 1.105302093402803e-05
Position 636: 7.958145538577443e-06
Position 1374: 6.826062566287391e-06
Position 46: 4.243781332533001e-06
Position 135: 3.3589997572744237e-06
Position 213: 3.2200589166170304e-06
Position 197: 2.709033179636021e-06
Position 102: 2.4886587878968365e-06
Position 229: 1.9733269624702032e-06
Position 177: 1.857820595904885e-06
Position 1535: 8.900802014021448e-07
Position 964: 2.5083355234483886e-07
Position 493: 2.0922325395432416e-07
Position 283: 2.0643667496621503e-07
Position 216: 2.0576719915511955e-07
Position 804: 1.5805256627257105e-07
Position 735: 1.442983207152444e-07
Position 1675: 1.4045180426175454e-07
Position 652: 1.234636744650756e-07
Position 552: 1.0516380880617676e-07
Position 133: 4.971967688335315e-08
Position 1143: 3.770310734307502e-08
Position 9: 3.13441000942068e-08
Position 567: 2.127824104251488e-08
Position 763: 5.086446275852797e-09
Position 495: 1.21235326345166e-09
Position 556: 2.6202026996353535e-10
Position 516: 2.4958872899707845e-10
Position 497: 3.9643643234599926e-11
Position 465: 2.1408312469073273e-11
Position 505: 1.546497062714897e-11
Position 550: 7.445073250119458e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 375: 0.9703588894772294
Position 1551: 0.8328955707585335
Position 489: 0.6627962744478949
Position 1457: 0.21791229620124897
Position 211: 0.05137668147310229
Position 1607: 0.03753332923924213
Position 1274: 0.023695491472455164
Position 3137: 0.0233542587930418
Position 1579: 0.022509623571967206
Position 2574: 0.019283189422588727
Position 820: 0.006688959180816182
Position 2529: 0.005752380603303472
Position 2106: 0.00373828896010815
Position 1433: 0.0030813389936106463
Position 2189: 0.003079920953621048
Position 2871: 0.003062907024653664
Position 1088: 0.002953313485216599
Position 257: 0.0028798793315494733
Position 1131: 0.0026652098013361354
Position 2784: 0.0023147197394011677
Position 1317: 0.00228447950005635
Position 1013: 0.002213171337819737
Position 2814: 0.002009484078743618
Position 1164: 0.0017142771049227313
Position 1472: 0.001543193652483386
Position 2844: 0.0013572514750367093
Position 1531: 0.0013385526530804088
Position 2081: 0.0011982761586646776
Position 1834: 0.0011438196276910247
Position 886: 0.0011311600669092596
Position 493: 0.0008999958661660889
Position 1800: 0.0008637526434769403
Position 1729: 0.0007269062296933537
Position 2192: 0.0007170423723638642
Position 251: 0.0003173175803239329
Position 347: 0.000271290512729677
Position 1475: 0.00026788424588225436
Position 1661: 0.00021123249231246797
Position 781: 0.0001934512083373496
Position 952: 0.00019001478387254664
Position 1252: 0.00018701328233152638
Position 452: 0.00016128514435538024
Position 1694: 0.00014713662449355742
Position 122: 0.0001218070366014617
Position 465: 0.00011601600460288651
Position 607: 6.196581063082118e-05
Position 1626: 4.680410977098955e-05
Position 859: 3.8035701265309925e-05
Position 612: 3.502408515574624e-05
Position 927: 2.8095143817694405e-05
Position 565: 2.769490905279467e-05
Position 67: 1.3276123860188922e-05
Position 307: 9.288643754355429e-06
Position 748: 7.4200960196085605e-06
Position 128: 2.2761069599166244e-06
Position 264: 1.9538797581641276e-06
Position 301: 8.362614107200823e-07
Position 149: 2.6266865875258047e-07
Position 144: 6.608627278382949e-08
Position 432: 1.611295005601257e-08
Position 436: 1.526645910924276e-08
Position 319: 1.5993292955584182e-09
Position 314: 3.9711225388285634e-10
Position 112: 3.253566549380465e-10
Position 153: 1.9437625851400495e-11
Position 56: 6.823632526997248e-12
