Gene = nbs
index = 1814
Annotated 5SS: [  90  977 2569]
Annotated 3SS: [ 154 1033 2628]
SMsplice 5SS: [ 977 2569]
SMsplice 3SS: [1033 2628]
top_k =  500
Partition function (log Z): -5.377866543646063

Sorted 5' Splice Sites (High to Low Probability):
Position 2569: 0.990454679972819
Position 2321: 0.5683036513431635
Position 977: 0.36225743966977225
Position 1583: 0.35915869512231313
Position 94: 0.21889211869462585
Position 918: 0.15151471785711315
Position 975: 0.11738817225078987
Position 962: 0.11306283556836533
Position 373: 0.06784553682383529
Position 1337: 0.049381827839997734
Position 1612: 0.026728937512942422
Position 448: 0.025471417913741454
Position 103: 0.019476680521955184
Position 2271: 0.01635453489086342
Position 819: 0.01258450654357962
Position 73: 0.008122368711303167
Position 2288: 0.0073701434094961635
Position 872: 0.006420057827696286
Position 2045: 0.0056852081037789635
Position 1264: 0.0056395193160293485
Position 1283: 0.004877732649426492
Position 1874: 0.004247282802822486
Position 1168: 0.0037734008777515135
Position 1261: 0.003734597515789895
Position 904: 0.003354726914439734
Position 26: 0.003068781352512955
Position 1954: 0.002940577522896808
Position 2318: 0.0026596612659329664
Position 462: 0.002533890053597716
Position 761: 0.002112683110183738
Position 1134: 0.001874962606948832
Position 1164: 0.0013985809077012132
Position 54: 0.0013394857911082972
Position 1071: 0.0013190839336512453
Position 165: 0.0012433657345785225
Position 899: 0.001233139469146406
Position 1558: 0.0012132912828214035
Position 595: 0.0010491899861654063
Position 1008: 0.0008600204575800633
Position 1058: 0.0007973386768211905
Position 1903: 0.0007740785340344783
Position 1395: 0.0007281732746633608
Position 1519: 0.0007220931062582394
Position 2559: 0.0006157139064483026
Position 60: 0.000582420184353656
Position 2690: 0.0005264623971367069
Position 2563: 0.00036527876934930304
Position 2695: 0.00030223362553699157
Position 874: 0.00020478880070978872
Position 589: 0.00019673838795402517
Position 466: 0.0001937213436996698
Position 541: 0.00017630009493092895
Position 190: 0.0001598283707389609
Position 403: 0.00011031300722593231
Position 910: 0.0001014122065466485
Position 1052: 9.06524675685669e-05
Position 829: 8.51413173533923e-05
Position 77: 7.836452780275241e-05
Position 242: 7.640664224015289e-05
Position 564: 6.405539716272141e-05
Position 45: 6.188993925212144e-05
Position 125: 5.1375710458672736e-05
Position 1018: 5.03225115726104e-05
Position 601: 3.652034311380309e-05
Position 852: 3.072335595630413e-05
Position 248: 2.6458438792456983e-05
Position 499: 2.463858722688803e-05
Position 640: 2.3701050740088105e-05
Position 1002: 1.5864174998575885e-05
Position 226: 1.5485506545650445e-05
Position 922: 1.0312967499224459e-05
Position 832: 6.257574928320415e-06
Position 752: 5.203361966225408e-06
Position 171: 4.053599380972289e-06
Position 2573: 3.3785828620444917e-06
Position 2455: 3.3137722964703818e-06
Position 169: 2.622801012403826e-06
Position 192: 1.1441764741891607e-06
Position 936: 6.456865014258977e-07
Position 790: 5.903983248533901e-07
Position 691: 1.074273597899336e-07
Position 767: 1.6687736851064542e-08
Position 174: 1.4602170173461467e-08
Position 203: 4.848082161493151e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2628: 0.9605120821794729
Position 1033: 0.6858350989299956
Position 2368: 0.5811696716480874
Position 2110: 0.5269421885817821
Position 154: 0.23211690644959854
Position 2374: 0.04666419493553427
Position 1047: 0.03396916505834779
Position 2652: 0.030594035951789524
Position 1111: 0.02241112110269808
Position 1887: 0.02035589619907333
Position 2403: 0.013446052663499203
Position 447: 0.003729721892705083
Position 2380: 0.0035684527627302867
Position 189: 0.0035190127867936833
Position 2192: 0.0025467606127731524
Position 234: 0.0024991665585211297
Position 1666: 0.002442294621306362
Position 1068: 0.002301241702435346
Position 2493: 0.0021211497446959457
Position 1000: 0.0011675461418004403
Position 1675: 0.0010338239505061323
Position 504: 0.0010040596708067603
Position 2746: 0.0008677738967955101
Position 2114: 0.0006108679749358192
Position 2336: 0.0005591402269502562
Position 1320: 0.0005024673800462027
Position 1801: 0.0003703444399270295
Position 2670: 0.0003534769168147972
Position 351: 0.00019387793923387732
Position 829: 0.00014440636614758935
Position 739: 0.00013942216772126062
Position 165: 0.00011245023660142027
Position 1446: 0.00011122806713291298
Position 1341: 9.713693349378549e-05
Position 1641: 7.733537310859368e-05
Position 1401: 3.901417180392994e-05
Position 672: 3.553995696238348e-05
Position 89: 3.244237402155279e-05
Position 783: 3.2322682234221766e-05
Position 699: 1.076319827034117e-05
Position 663: 1.0066364013358459e-05
Position 264: 8.644416388939405e-06
Position 696: 4.659441418734396e-06
Position 363: 4.246144430298455e-06
Position 589: 2.575776233743144e-06
Position 115: 2.3098733725451035e-06
Position 633: 1.4621983217711954e-06
Position 125: 1.527590974488448e-08
Position 242: 1.3310005908282574e-08
Position 507: 9.168912962625308e-09
Position 283: 4.391629413775267e-09
Position 326: 2.436662402168555e-09
Position 312: 1.1345591516398293e-09
Position 372: 4.5052681514790524e-10
Position 248: 3.4366298406431603e-10
Position 117: 9.982097150493851e-11
