Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  500
Partition function (log Z): -27.10269956174845

Sorted 5' Splice Sites (High to Low Probability):
Position 11681: 0.9822831132236305
Position 12102: 0.8295464424689206
Position 1212: 0.5527838157261651
Position 529: 0.2014056449107666
Position 2129: 0.1996698018466413
Position 2133: 0.11526975420501703
Position 1429: 0.11396742144097223
Position 2324: 0.08257188805879839
Position 235: 0.043270494705046764
Position 883: 0.03971020201701078
Position 3975: 0.03706802824605003
Position 520: 0.035491846132912556
Position 2107: 0.03373483412120225
Position 2902: 0.019606574343311464
Position 11685: 0.011737570425502695
Position 11689: 0.005427394989781468
Position 823: 0.004451962018488795
Position 132: 0.0034930541091190695
Position 1484: 0.002537606523367584
Position 1372: 0.001906522992424878
Position 27388: 0.001369289898239423
Position 1304: 0.0011636274994943389
Position 903: 0.0006408660743823704
Position 775: 0.0006303454607860533
Position 4: 0.0005867350207591157
Position 592: 0.0005707541281100776
Position 11952: 0.0005443162577304373
Position 1783: 0.0005291969913834533
Position 694: 0.0005206107569810155
Position 99: 0.0004806201991395934
Position 1002: 0.0004687558858750723
Position 1344: 0.00044285866893277443
Position 1380: 0.0003887177954955192
Position 141: 0.0003621423349661213
Position 14: 0.000338594985579743
Position 2224: 0.00031147104396573623
Position 689: 0.00030200382464178207
Position 218: 0.0003006847346474733
Position 376: 0.0002870288722676637
Position 267: 0.0002684454328469498
Position 11736: 0.00020182720757684898
Position 393: 0.00018300275525099681
Position 437: 0.00016756682071822633
Position 816: 0.00016456882110595368
Position 11841: 0.00013714675316407198
Position 1119: 0.00013125107594612914
Position 909: 0.00011586688867265821
Position 608: 8.37817749109508e-05
Position 604: 7.755616435728286e-05
Position 673: 7.273446443252046e-05
Position 994: 7.031678184741105e-05
Position 23: 6.865937994213741e-05
Position 1980: 6.339331771763337e-05
Position 85: 5.829699260912643e-05
Position 1230: 5.4871277264818943e-05
Position 1383: 5.413781035230252e-05
Position 87: 4.753946268384327e-05
Position 657: 4.354062588521277e-05
Position 17: 4.1878681503313426e-05
Position 2311: 4.059184161481729e-05
Position 1792: 4.008352400957491e-05
Position 10: 3.921189348738277e-05
Position 2111: 3.4230386121902886e-05
Position 501: 3.38303335279192e-05
Position 225: 2.302896172429763e-05
Position 149: 2.2269780342285567e-05
Position 1045: 2.1659121454687166e-05
Position 943: 1.5678207244244557e-05
Position 2356: 1.2776741971392535e-05
Position 153: 1.120743246784432e-05
Position 359: 8.66110326876907e-06
Position 1249: 4.050945777710087e-06
Position 601: 3.4376952746928816e-06
Position 320: 3.1581140533561625e-06
Position 364: 2.783486924134945e-06
Position 255: 2.1948871108570288e-06
Position 1420: 4.4465912865021486e-08
Position 29: 4.1060973769937505e-08
Position 336: 1.2970604865581776e-08
Position 323: 1.0947695220277428e-08
Position 700: 9.451758391218824e-09
Position 651: 4.846110127776907e-09
Position 618: 4.623682580587229e-09
Position 632: 3.360720660158145e-09
Position 595: 2.7466402370821975e-09
Position 472: 1.2744718920710855e-09
Position 8: 1.2441134642708153e-09
Position 485: 5.95719978058376e-10
Position 291: 2.7737117931928467e-10
Position 3302: 1.5742013240166852e-10
Position 293: 1.0009483547725542e-10
Position 12500: 3.7385320192284963e-11
