Gene = Mpp6
index = 1285
Annotated 5SS: [41]
Annotated 3SS: [103]
SMsplice 5SS: [41]
SMsplice 3SS: [103]
top_k =  500
Partition function (log Z): -5.694877012068678

Sorted 5' Splice Sites (High to Low Probability):
Position 41: 0.9909786432366249
Position 410: 0.23523789714528295
Position 221: 0.08100540081748404
Position 405: 0.05245772123939745
Position 401: 0.006525445341781373
Position 1007: 0.003233945388737617
Position 277: 0.002640669369770834
Position 388: 0.0019859868626201037
Position 397: 0.0015666670338764874
Position 580: 0.0010778110459420545
Position 989: 0.001000309791758068
Position 160: 0.0009517361975111321
Position 608: 0.0009260266791349741
Position 266: 0.0008084861485947879
Position 1161: 0.0002445040084500377
Position 470: 0.00023132992286040925
Position 191: 0.00022370951660367208
Position 570: 0.0001607451728485487
Position 618: 0.00013932724911023154
Position 215: 9.723998074636175e-05
Position 228: 7.665991133555108e-05
Position 629: 4.690414266806273e-05
Position 150: 4.0890619551839475e-05
Position 1171: 3.615899542272376e-05
Position 1322: 3.2850557437660585e-05
Position 342: 2.5799568967800505e-05
Position 1305: 1.0868840708962194e-05
Position 138: 2.2933454530966115e-06
Position 96: 2.3092627113827465e-07
Position 103: 1.1498405318262413e-07
Position 573: 1.0374356304335511e-07
Position 108: 6.145394307102949e-08
Position 371: 4.7826689468528584e-08
Position 359: 3.377941105325395e-08
Position 115: 1.5026889690318836e-08
Position 320: 5.0838329695444555e-09
Position 314: 2.6896187833214577e-09
Position 454: 2.406255717800136e-09
Position 329: 1.4424274789843453e-09
Position 1110: 7.419606936290911e-10
Position 1063: 7.416721272596611e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 103: 0.9200503478110696
Position 470: 0.2786235648996286
Position 276: 0.09386684906248843
Position 108: 0.037331837085564305
Position 336: 0.010366441476037285
Position 661: 0.008869085767828437
Position 700: 0.007734244292236144
Position 307: 0.006800344604349838
Position 1304: 0.003653346373463942
Position 629: 0.001967567595841016
Position 528: 0.0019212279608403948
Position 191: 0.001816058610244369
Position 551: 0.001160332736625657
Position 1078: 0.0010128072696905372
Position 115: 0.0008773502384913712
Position 644: 0.0008688106164527773
Position 127: 0.0008051385338743414
Position 678: 0.0007525403933559025
Position 742: 0.0007449408775996
Position 1050: 0.0004588585334612997
Position 291: 0.00040619568131875547
Position 1089: 0.00028866336499063557
Position 220: 0.000288468308511497
Position 208: 0.000242443870837447
Position 1203: 0.00020969913929198895
Position 532: 0.00010928736042345779
Position 1365: 0.00010788308466829493
Position 1355: 9.900830352024522e-05
Position 1268: 7.434646332179937e-05
Position 1093: 4.7553516126845334e-05
Position 940: 4.1277164571091094e-05
Position 320: 3.532631510044233e-05
Position 1210: 3.275418450733941e-05
Position 884: 2.7943349662362287e-05
Position 733: 2.3267918577760523e-05
Position 431: 1.910713679298423e-05
Position 509: 1.765527919480706e-05
Position 1388: 1.2632855645580319e-05
Position 347: 6.3569694182999e-07
Position 352: 4.508981885412761e-07
Position 382: 1.4055463377276449e-07
Position 408: 1.350989027367341e-07
Position 369: 7.869239639923492e-08
