Gene = Iyd
index = 1238
Annotated 5SS: [ 507 1698 2051]
Annotated 3SS: [ 602 1889 2105]
SMsplice 5SS: [2051]
SMsplice 3SS: [2105]
top_k =  500
Partition function (log Z): -6.839985222105561

Sorted 5' Splice Sites (High to Low Probability):
Position 2051: 0.9842675075854466
Position 1622: 0.1403199637563585
Position 40: 0.0818366277694529
Position 1136: 0.03751359939615944
Position 437: 0.032510660456454336
Position 296: 0.0304539590566793
Position 1820: 0.018617042988633904
Position 69: 0.01621699682918956
Position 2443: 0.01529549104710596
Position 54: 0.007148075991411922
Position 1287: 0.005053115565583471
Position 218: 0.004948477641868079
Position 545: 0.004700913246280311
Position 1978: 0.003098506865495588
Position 88: 0.002508162376224319
Position 300: 0.0014097853996944162
Position 1946: 0.0013666489004560392
Position 13: 0.0012415363468394477
Position 1054: 0.0011184060864587535
Position 153: 0.0008575077944162689
Position 1438: 0.0006727868196906276
Position 1537: 0.00019151848827152313
Position 1289: 0.00017429829119509265
Position 2038: 0.000136909424155549
Position 690: 0.00011029750709002399
Position 583: 9.677161224762669e-05
Position 1412: 7.267199137722105e-05
Position 2447: 6.016834038405427e-05
Position 2735: 5.452723963484536e-05
Position 478: 5.2938215352416394e-05
Position 250: 3.558688579762484e-05
Position 677: 3.220015110045486e-05
Position 2414: 2.8032117704551918e-05
Position 2739: 2.3383373626558304e-05
Position 1698: 2.2344432649745167e-05
Position 2347: 2.09478390438135e-05
Position 165: 2.0765200544958998e-05
Position 1074: 2.0583291782410963e-05
Position 2480: 1.96931951612831e-05
Position 1754: 1.5182675978351585e-05
Position 2762: 1.195984286161757e-05
Position 849: 9.934788155439874e-06
Position 2607: 9.181527703244424e-06
Position 230: 6.164198917437496e-06
Position 2506: 5.686962104266768e-06
Position 1336: 4.76613897123644e-06
Position 1198: 4.578795562793919e-06
Position 692: 4.424987905702822e-06
Position 2354: 4.274400046147784e-06
Position 2282: 4.0937898586191454e-06
Position 1463: 3.883171367891802e-06
Position 861: 3.741022284778142e-06
Position 2801: 3.7144333852595214e-06
Position 1555: 3.714385741444842e-06
Position 1803: 3.172819390729906e-06
Position 607: 2.7268068246054118e-06
Position 494: 1.1470263854028647e-07
Position 2174: 9.202828523408662e-08
Position 2238: 8.043204670720658e-08
Position 284: 3.795313116574145e-08
Position 141: 3.431962545372985e-08
Position 1234: 2.32623218022041e-08
Position 1048: 2.0496297848637892e-08
Position 626: 1.816116443393963e-08
Position 1343: 1.788439782708743e-08
Position 745: 1.7865292543944143e-08
Position 2357: 1.9210542279957647e-09
Position 242: 1.6691889305866968e-09
Position 402: 6.702687595376853e-10
Position 2488: 1.881800109157408e-11
Position 116: 1.2693582968639432e-12
Position 1033: 2.276050543711444e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2105: 0.9981601200916252
Position 128: 0.08567369833909208
Position 1683: 0.05061982686820538
Position 1873: 0.048550335502822256
Position 1667: 0.03920334609187401
Position 1692: 0.02848450183134772
Position 503: 0.019266631098900505
Position 1778: 0.01856339956816571
Position 2029: 0.015288733981412254
Position 1876: 0.013672922959058559
Position 1343: 0.010503181463922883
Position 2530: 0.009751197909352345
Position 278: 0.006785403522058866
Position 359: 0.005772533475175243
Position 1373: 0.004561665012909733
Position 1509: 0.0027860043274704695
Position 1999: 0.0027599968557916535
Position 1357: 0.0023973606295026517
Position 605: 0.002393836345381664
Position 137: 0.00228615581223997
Position 1227: 0.002217109463856096
Position 2630: 0.0021885826581366894
Position 2527: 0.0020802586459993913
Position 507: 0.0018419830806014918
Position 1889: 0.0017005913204751495
Position 578: 0.0016142934407901194
Position 1820: 0.0013579608088677012
Position 1670: 0.001172002815773542
Position 1378: 0.0009092074255213026
Position 1273: 0.0008507576310706684
Position 979: 0.0007274932359176402
Position 81: 0.0007082884638870433
Position 148: 0.0006847774922407108
Position 835: 0.0006328410180323368
Position 1173: 0.0005486303324557166
Position 2813: 0.0005177053029493442
Position 1250: 0.0004906561023357296
Position 1181: 0.000471008058243456
Position 2833: 0.00040900089164113584
Position 1566: 0.00038802330754394385
Position 2485: 0.00037481488261893346
Position 1255: 0.00032184783119256307
Position 1006: 0.0003083931870096156
Position 774: 0.00029478390561119786
Position 1119: 0.00028268846580564434
Position 553: 0.0002807110448797416
Position 602: 0.00026609883910697145
Position 2259: 0.00022375463444537243
Position 1057: 0.0002228882491343796
Position 212: 0.00019718984582563402
