Gene = ScpX
index = 1477
Annotated 5SS: [ 158  818 1068 2016]
Annotated 3SS: [ 493  876 1131 2075]
SMsplice 5SS: [ 158  818 1068 2016]
SMsplice 3SS: [ 493  876 1131 2075]
top_k =  500
Partition function (log Z): 3.045645373865316

Sorted 5' Splice Sites (High to Low Probability):
Position 818: 0.9970818275921005
Position 1068: 0.9878549438490096
Position 2016: 0.9221465585235219
Position 158: 0.5256767776350976
Position 2321: 0.06756993816416652
Position 2297: 0.03462355041190187
Position 130: 0.020727544767037354
Position 236: 0.02040127549188424
Position 1967: 0.014346230151227822
Position 2311: 0.013861141142704939
Position 1422: 0.01050835839489279
Position 306: 0.010145996717214795
Position 1310: 0.005186072496158644
Position 1907: 0.0049369180957736245
Position 659: 0.003423764057163782
Position 999: 0.003359911018814534
Position 1271: 0.003125243542925618
Position 1074: 0.0023445441345458892
Position 1570: 0.002003116264156892
Position 1688: 0.0018887966699262003
Position 160: 0.0018166297946776064
Position 1841: 0.0010081454470445587
Position 141: 0.0006373545799046863
Position 76: 0.0006177941574137017
Position 1426: 0.0006148630251148658
Position 49: 0.0006060838984247452
Position 1448: 0.00047128149653248444
Position 440: 0.0004120715605354253
Position 459: 0.00039029667444480626
Position 1931: 0.00034847166870227296
Position 2279: 0.0003304932145220237
Position 126: 0.0003264662615933068
Position 1492: 0.0002499853759490601
Position 583: 0.00014670857039398075
Position 137: 0.00014442353331221535
Position 1959: 0.00014266720738518305
Position 1187: 0.00011940658096558356
Position 1824: 0.00011451290676373345
Position 923: 8.089478439078594e-05
Position 134: 6.877689019100211e-05
Position 1593: 6.665314528188886e-05
Position 70: 6.200994863596326e-05
Position 1057: 6.0454014586833715e-05
Position 798: 5.498601405156403e-05
Position 2082: 5.214622567186539e-05
Position 1702: 4.748760200292178e-05
Position 143: 4.4350428235568975e-05
Position 1563: 2.0815695345598134e-05
Position 680: 1.837890555762401e-05
Position 1407: 1.6087576443432647e-05
Position 1787: 1.5204829550535794e-05
Position 1784: 1.3968546798065237e-05
Position 164: 1.375550312595715e-05
Position 1629: 1.32042970690096e-05
Position 724: 1.1083500170738228e-05
Position 1731: 1.0953985162092661e-05
Position 1734: 1.0545114162973171e-05
Position 689: 1.0528260571533299e-05
Position 102: 8.316477649159899e-06
Position 1339: 8.210184894650393e-06
Position 73: 7.1949182953181866e-06
Position 162: 6.239256810640871e-06
Position 808: 4.553258212701919e-06
Position 1577: 3.909588285233758e-06
Position 115: 3.233644791993622e-06
Position 402: 2.777640960746759e-06
Position 521: 2.707914955012311e-06
Position 593: 2.0832201968374282e-06
Position 743: 1.24469879389209e-06
Position 493: 8.524508341163326e-07
Position 617: 7.347251192902782e-07
Position 385: 6.697390985607769e-07
Position 2057: 6.370870892843394e-07
Position 2062: 5.430790546395061e-07
Position 605: 4.828723938176138e-07
Position 1275: 4.7240640390779894e-07
Position 85: 3.555567769740234e-07
Position 717: 3.4996649770741894e-07
Position 1753: 3.1220849491534224e-07
Position 128: 2.7347133123352554e-07
Position 767: 1.4690560773885433e-07
Position 1742: 7.572740120427678e-08
Position 523: 2.040453124190655e-08
Position 1329: 8.315863794859684e-09
Position 334: 1.013386326644177e-09
Position 1301: 9.469085710241884e-10
Position 479: 7.509616889710791e-10
Position 507: 7.439926842823497e-10
Position 1641: 1.6288851135230128e-10
Position 1590: 1.5195401825185652e-10
Position 1411: 1.4039595729790774e-10
Position 1218: 1.2865593770473472e-10
