Gene = shd
index = 1871
Annotated 5SS: [ 473 5270 6055 6298 6595 6939]
Annotated 3SS: [4974 5459 6119 6354 6722 7014]
SMsplice 5SS: [ 473 4333 5270 6055 6298 6595 6939]
SMsplice 3SS: [4124 4388 5459 6119 6354 6722 7014]
top_k =  500
Partition function (log Z): 19.635767264602162

Sorted 5' Splice Sites (High to Low Probability):
Position 6595: 0.9995975948590948
Position 6939: 0.9992867511037246
Position 6298: 0.9905985670236082
Position 473: 0.9831980235515281
Position 4333: 0.9369442222359934
Position 5270: 0.8928677114422502
Position 6055: 0.5666609411844385
Position 6059: 0.3197727233384235
Position 2549: 0.11387968346505034
Position 5260: 0.09350048080204344
Position 7181: 0.07034117615054185
Position 6070: 0.06248624646902603
Position 108: 0.0391400004677499
Position 4055: 0.026861349939412964
Position 7386: 0.022935214900679752
Position 3672: 0.01664975255132224
Position 7391: 0.015288304644069902
Position 1186: 0.009720028099970664
Position 5988: 0.008575253541272528
Position 3441: 0.008296057114252018
Position 4337: 0.008268402327648222
Position 4080: 0.00698241501886814
Position 3676: 0.006752654307925257
Position 105: 0.006232784117749709
Position 5403: 0.0058295167008014905
Position 5235: 0.0058010799653431975
Position 7132: 0.005189748859963647
Position 3434: 0.005159517711888588
Position 5753: 0.004856567140299896
Position 125: 0.003793132502028426
Position 2749: 0.0035491606744009006
Position 6309: 0.0030928462518404706
Position 5552: 0.0025858326981474875
Position 3683: 0.002361839396941155
Position 5560: 0.0023460386583761864
Position 5393: 0.0017664641881147932
Position 3051: 0.0017643413875580917
Position 2312: 0.001636254655908319
Position 3474: 0.001554374415882182
Position 150: 0.0014926676847425858
Position 7222: 0.0013773590967968328
Position 312: 0.0011720527290212494
Position 4649: 0.0011298072706927066
Position 2248: 0.0011273122846081674
Position 5651: 0.0010627277510853895
Position 4599: 0.0009956398336842132
Position 7403: 0.0009198053669520665
Position 2719: 0.0009136681639313031
Position 7160: 0.0008297266217698281
Position 816: 0.0008093468479139472
Position 2815: 0.0007326311756215379
Position 4950: 0.0007214020862340364
Position 6016: 0.0005904504847782843
Position 7233: 0.0005636981925663335
Position 1211: 0.0005467571146625152
Position 2681: 0.00046737683424319404
Position 6258: 0.00045476740545485493
Position 7117: 0.0004499511280990972
Position 5642: 0.0004172234153883017
Position 82: 0.0004110655609776491
Position 1230: 0.0003892558575489445
Position 2329: 0.00038228625259564993
Position 5640: 0.0003296128324908722
Position 7033: 0.0003164007281681743
Position 1825: 0.00031157815790139364
Position 94: 0.00028308877969021693
Position 4984: 0.0002827918738850098
Position 477: 0.000238212030504985
Position 205: 0.0002268291855098962
Position 4503: 0.00022508186933049073
Position 6302: 0.00021125675834464887
Position 5294: 0.00019693122734738255
Position 2802: 0.0001935710053803804
Position 5285: 0.00017555274208391747
Position 7097: 0.00017017451495374123
Position 6943: 0.0001417553146165061
Position 324: 0.00011165356451484791
Position 5608: 0.00010412910146796334
Position 2733: 0.00010384338491389064
Position 5807: 0.00010284384292738214
Position 2848: 8.628253376367138e-05
Position 5603: 8.282280576919883e-05
Position 2703: 7.871503615915193e-05
Position 2928: 7.860935617925195e-05
Position 470: 6.752891350759858e-05
Position 141: 6.629291075723411e-05
Position 5982: 5.983374664352638e-05
Position 224: 5.8738143228597066e-05
Position 5869: 5.568152704270914e-05
Position 6918: 4.932982081762745e-05
Position 6425: 4.5389210616598965e-05
Position 7665: 4.380156043985099e-05
Position 6304: 3.856008431215779e-05
Position 7176: 3.513704839670301e-05
Position 808: 3.389939193072193e-05
Position 937: 3.385209310607938e-05
Position 6599: 3.210574033046458e-05
Position 112: 3.18885331378699e-05
Position 1807: 3.123423750130683e-05
Position 670: 2.7775059594145598e-05
