Gene = Bacc
index = 45
Annotated 5SS: [ 396 1216 3726]
Annotated 3SS: [ 926 3562 3799]
SMsplice 5SS: [1216 3726]
SMsplice 3SS: [3562 3799]
top_k =  500
Partition function (log Z): -1.693742747321858

Sorted 5' Splice Sites (High to Low Probability):
Position 3726: 0.9878690937408926
Position 1216: 0.8812795525675278
Position 2927: 0.22183736439723625
Position 4030: 0.19017443233062897
Position 3375: 0.13108470382558052
Position 1795: 0.11149684357600641
Position 447: 0.0763019280572931
Position 2600: 0.07559945237926118
Position 1127: 0.07263913070610555
Position 3393: 0.05477045641846405
Position 3356: 0.0474557293407492
Position 2891: 0.04312566355316124
Position 2127: 0.02986662793556421
Position 267: 0.02380663920008949
Position 1833: 0.017412295037734043
Position 4187: 0.01657128862419452
Position 3846: 0.014935695208061171
Position 2321: 0.01489135469571017
Position 396: 0.010508183198774956
Position 3360: 0.010228726501340605
Position 1240: 0.008293599320040462
Position 3699: 0.008215017486211236
Position 2699: 0.007938612417907755
Position 865: 0.006891939049665943
Position 3857: 0.006344508677547812
Position 5208: 0.006015618946950007
Position 1943: 0.005905614962647896
Position 3122: 0.005047370628271967
Position 127: 0.004776454757228685
Position 393: 0.004607204870433708
Position 1575: 0.004589166986309308
Position 364: 0.004546456329411083
Position 2226: 0.004105053158311148
Position 2336: 0.003859490159708279
Position 3416: 0.003832826313845189
Position 1548: 0.003682721774192548
Position 3087: 0.0034056726372804925
Position 2326: 0.003162972988057846
Position 794: 0.003131121808207514
Position 1543: 0.002757830693335653
Position 674: 0.0024313917162726586
Position 852: 0.0022887827513895388
Position 1255: 0.0020355867693364043
Position 816: 0.0018776412267226766
Position 1509: 0.001515998332693308
Position 1579: 0.0012268566995775848
Position 3366: 0.001164310545647293
Position 2094: 0.0011320896863340807
Position 1856: 0.0010376871580538873
Position 3327: 0.0009639990761840752
Position 434: 0.000700369151254966
Position 101: 0.0006536187194774094
Position 2798: 0.0006524207408653973
Position 2426: 0.0006005575182133566
Position 2370: 0.0005928144255757987
Position 275: 0.0004643846492410187
Position 3084: 0.00043546271329387943
Position 798: 0.00036027866088056155
Position 735: 0.0003537860675482247
Position 4896: 0.00033894040046914323
Position 466: 0.00032826754473992573
Position 3679: 0.0002823078074159845
Position 4085: 0.00027053101153271826
Position 3720: 0.00023081663387592105
Position 1428: 0.00017749855998450866
Position 2895: 0.0001690103804937329
Position 4313: 0.00016059165194238348
Position 1220: 0.00015891812200599594
Position 641: 0.00012538247142602514
Position 4675: 0.00011688458059569813
Position 2117: 0.00010529886395039717
Position 636: 8.891822370641905e-05
Position 821: 7.856375062296721e-05
Position 683: 7.643582876394103e-05
Position 1232: 7.572039435156011e-05
Position 1021: 6.436770746529487e-05
Position 680: 5.720647270970038e-05
Position 359: 4.265019310536951e-05
Position 937: 3.859567367141803e-05
Position 724: 3.592228934024e-05
Position 802: 3.3124187215329804e-05
Position 872: 2.866823256575334e-05
Position 1432: 1.6754254950753566e-05
Position 796: 1.5960390684516032e-05
Position 804: 1.3534558893428538e-05
Position 656: 1.2956168558527832e-05
Position 830: 1.1612159677653852e-05
Position 373: 1.086594208527304e-05
Position 1497: 1.006338238504737e-05
Position 608: 9.587973216242563e-06
Position 3824: 8.342393596331899e-06
Position 4889: 6.74607777558963e-06
Position 3912: 5.7483968641989565e-06
Position 1570: 5.715485606111261e-06
Position 3730: 5.514183991099132e-06
Position 175: 4.915304415239383e-06
Position 243: 4.769748805523636e-06
Position 909: 4.531891918928065e-06
Position 634: 3.4561229244376674e-06
Position 2101: 3.3971933607207085e-06
Position 584: 3.1228821244950473e-06
Position 290: 2.9227852804720825e-06
Position 757: 2.9112575990833925e-06
