Gene = Skadu
index = 1503
Annotated 5SS: [94]
Annotated 3SS: [148]
SMsplice 5SS: [94]
SMsplice 3SS: [148]
top_k =  500
Partition function (log Z): -6.802531002943124

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9903566390857763
Position 484: 0.03128930230223244
Position 323: 0.024470563197959965
Position 532: 0.02058281534462781
Position 361: 0.006878399619352711
Position 385: 0.0035867641948994296
Position 302: 0.0006384169136610846
Position 215: 0.0004556663120192028
Position 98: 0.0004120262024339101
Position 541: 0.0002660426776208971
Position 389: 0.00024973177711910057
Position 58: 0.00023356543513005236
Position 206: 1.5994398938071146e-05
Position 235: 6.041763318885407e-06
Position 73: 3.532594829121862e-06
Position 589: 3.0206843069304104e-06
Position 452: 1.8530487028879262e-06
Position 266: 1.6915915099954916e-06
Position 661: 1.5228627036194678e-06
Position 416: 6.588772931054362e-07
Position 594: 6.384690498191668e-07
Position 582: 4.6952526635606393e-07
Position 624: 7.118409873149067e-08
Position 178: 5.4518722294201294e-08
Position 227: 1.8616486421996095e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 148: 0.9145280351040121
Position 198: 0.04589240893545211
Position 582: 0.04276378394528571
Position 412: 0.03451393024585307
Position 629: 0.018224517692387858
Position 445: 0.011124224512910284
Position 251: 0.0070152021096480605
Position 150: 0.0012678768108120944
Position 651: 0.0009299820807619588
Position 594: 0.0006072036738429875
Position 541: 0.0004848080130114622
Position 361: 0.00034107072784126275
Position 232: 0.00020372275579262067
Position 510: 0.00019862449819552905
Position 235: 0.00018808677432536784
Position 466: 0.0001568377898737656
Position 215: 0.00015169767001710198
Position 206: 0.00014195712709657142
Position 457: 0.00014025979232900246
Position 708: 0.00011882224852149784
Position 385: 0.00010080853433338047
Position 110: 9.653132214015253e-05
Position 220: 7.365485636595751e-05
Position 532: 6.751567934683999e-05
Position 340: 5.858046410124404e-05
Position 343: 4.222738424686072e-05
Position 484: 5.925065964215433e-06
Position 538: 5.389959722817802e-06
Position 661: 5.364298460598427e-06
Position 481: 4.285260298966035e-06
Position 302: 1.2432505574243016e-06
Position 686: 6.093720680271245e-07
Position 715: 2.0942689736157243e-07
Position 683: 1.0073302739012091e-07
Position 293: 1.609299607923715e-09
Position 289: 1.473257511830004e-09
