Gene = Mrtf
index = 1286
Annotated 5SS: [ 4914 37892 38117 41860]
Annotated 3SS: [37066 37975 41793 42477]
SMsplice 5SS: [  279 37892 38117 41860]
SMsplice 3SS: [37066 37975 41793 48699]
top_k =  500
Partition function (log Z): -52.31472617036361

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.7988639573483944
Position 911: 0.3957371718517144
Position 14532: 0.2408088835377077
Position 402: 0.19422206540419046
Position 14842: 0.014616957451387804
Position 356: 0.00422777913766281
Position 345: 0.0009198950182073039
Position 360: 0.0006469695119240991
Position 330: 0.0004520598246707677
Position 269: 0.00031083667522765373
Position 340: 8.685895285894199e-05
Position 334: 5.4493910504936585e-05
Position 110: 3.2291531509526204e-05
Position 27: 3.00719767609402e-05
Position 32: 2.2020425592368973e-05
Position 699: 1.9698921245375565e-05
Position 10: 1.8875911843840958e-05
Position 351: 1.321883896714322e-05
Position 38: 1.300784628074379e-05
Position 134: 1.2436864120201334e-05
Position 694: 1.1758525321812156e-05
Position 646: 9.088265507963588e-06
Position 332: 7.376183817915692e-06
Position 50: 6.594517560311816e-06
Position 349: 4.906857951277444e-06
Position 689: 2.6902377491906524e-06
Position 79: 2.130633302932438e-06
Position 141: 2.045182678866349e-06
Position 310: 1.754643405011017e-06
Position 7245: 1.4162358538074103e-06
Position 119: 1.3006274350078158e-06
Position 147: 1.1806469660854797e-06
Position 2048: 1.005802664022317e-06
Position 8072: 9.495919226568165e-07
Position 954: 8.875057110662805e-07
Position 4914: 8.635703747842356e-07
Position 772: 7.128934364286252e-07
Position 431: 7.093748815297342e-07
Position 2938: 4.0012090857284486e-07
Position 149: 3.4983233876183256e-07
Position 371: 2.0697808911042027e-07
Position 444: 2.0286883316354959e-07
Position 578: 1.8935964245369686e-07
Position 508: 9.499142079590831e-08
Position 1698: 7.802783901450222e-08
Position 1136: 5.580570708226828e-08
Position 3151: 3.110719876040235e-08
Position 2493: 1.7917937300296382e-08
Position 1531: 1.6406659306409288e-08
Position 3739: 1.503807288584139e-08
Position 1086: 1.2988191921824997e-08
Position 958: 1.0949513539481897e-08
Position 932: 1.0687880795220614e-08
Position 3207: 9.561601386095518e-09
Position 1680: 7.832400820805726e-09
Position 1012: 5.36150360695877e-09
Position 2156: 4.372349278511582e-09
Position 904: 2.0758675545380008e-09
Position 868: 1.5941248827577777e-09
Position 906: 1.294695997814754e-09
Position 876: 1.111438975184061e-09
Position 783: 9.540889529595913e-10
Position 759: 7.239996002196379e-10
Position 1345: 6.709350106344777e-10
Position 1210: 4.76108201581621e-10
Position 1395: 3.2620988546393796e-10
Position 1472: 2.3904502230843606e-10
Position 1606: 1.1957339952837843e-10
Position 836: 7.419740010048218e-11
Position 1943: 5.965970507897615e-11
Position 1430: 4.698468400327144e-11
Position 1249: 3.778414485532279e-11
Position 1219: 2.826930686026703e-11
