Gene = aos
index = 1610
Annotated 5SS: [  970 11830 12071]
Annotated 3SS: [11275 11898 12138]
SMsplice 5SS: [  970 11830 12071]
SMsplice 3SS: [11275 11898 12138]
top_k =  500
Partition function (log Z): 6.105921737429825

Sorted 5' Splice Sites (High to Low Probability):
Position 12071: 0.9991428856513361
Position 11830: 0.9989902217840487
Position 970: 0.9897977791847544
Position 11449: 0.17270851086214473
Position 12783: 0.15734028490037483
Position 5512: 0.07063161721788955
Position 12935: 0.05473172377939503
Position 12329: 0.04878876666694897
Position 14: 0.04615568641890825
Position 12759: 0.040579328977004454
Position 2985: 0.032454535558668646
Position 8170: 0.00954268679858046
Position 335: 0.009154784349164601
Position 12634: 0.008438712678290461
Position 10129: 0.007669130833684807
Position 1794: 0.0067341050801602645
Position 2122: 0.006527689145490814
Position 10215: 0.005909122631763376
Position 785: 0.004017698268142534
Position 228: 0.0039623997456425895
Position 964: 0.003196400689075854
Position 13055: 0.0021890956400289394
Position 12280: 0.001972574264259511
Position 178: 0.0017014986471652232
Position 361: 0.0015656412037712757
Position 12418: 0.0013480146170227253
Position 53: 0.000908061784821944
Position 12352: 0.0008891543423211674
Position 169: 0.0008438076103975848
Position 2259: 0.0007641379042869044
Position 183: 0.0007517949956378862
Position 101: 0.0007193047643460095
Position 820: 0.0006641213091268942
Position 790: 0.0006117013861096517
Position 176: 0.0005574579723989699
Position 12181: 0.0004179417901545977
Position 12403: 0.00037276545462020406
Position 12909: 0.0003297263205117103
Position 558: 0.000324786500763474
Position 2162: 0.0003223378401505733
Position 720: 0.0003101692790364617
Position 12479: 0.0002636246929611558
Position 12075: 0.0002581313978275361
Position 667: 0.00023996433714530745
Position 323: 0.0002095848918414574
Position 12211: 0.00020834306299444722
Position 13103: 0.00018551451559320896
Position 2233: 0.000182623392486921
Position 307: 0.00016207731603370184
Position 91: 0.0001582012159976766
Position 325: 0.00015401791739866837
Position 321: 0.00013573860598482067
Position 4227: 0.00012157036471071992
Position 13108: 0.00011650377916036273
Position 12700: 0.00011431991013472636
Position 12469: 0.00010987026445450512
Position 4263: 0.00010727158469532361
Position 713: 9.131357496750438e-05
Position 775: 8.525642722494132e-05
Position 18: 8.434392757516281e-05
Position 12624: 6.68010559764583e-05
Position 254: 6.34303466823008e-05
Position 12567: 6.038411020402228e-05
Position 12296: 4.657445894961687e-05
Position 12680: 4.312762550074748e-05
Position 12673: 4.236647734565511e-05
Position 11505: 4.1797534665899e-05
Position 11639: 4.168131692084809e-05
Position 12920: 4.096609904120403e-05
Position 1464: 4.019202534170707e-05
Position 669: 3.1519958435779005e-05
Position 448: 3.0267240240225445e-05
Position 11807: 2.997679910656025e-05
Position 12900: 2.964684358225537e-05
Position 12804: 2.916034490833158e-05
Position 12049: 2.424949482386505e-05
Position 730: 2.1886439385152452e-05
Position 564: 1.6845841166997248e-05
Position 2166: 1.3341678745746795e-05
Position 281: 1.2936517711223715e-05
Position 985: 1.2700106865949445e-05
Position 1452: 1.1836593858116375e-05
Position 727: 1.1792014814649942e-05
Position 817: 1.1698692324783425e-05
Position 11990: 1.028562796047642e-05
Position 946: 1.0017209353257263e-05
Position 1424: 9.683182184656914e-06
Position 11435: 5.316382504545426e-06
Position 302: 5.090182069077103e-06
Position 12599: 4.543093461513803e-06
Position 1270: 3.4592919815289463e-06
Position 12601: 3.0460168944653716e-06
Position 12260: 1.99123411473415e-06
Position 7641: 1.8751017109781396e-06
