Gene = sNPF
index = 1862
Annotated 5SS: [  415 26307 26822 27195]
Annotated 3SS: [26161 26363 26963 27260]
SMsplice 5SS: [  415 26307 26822 27195]
SMsplice 3SS: [26161 26440 26963 27260]
top_k =  500
Partition function (log Z): -9.313917182625916

Sorted 5' Splice Sites (High to Low Probability):
Position 415: 0.9999999999975578
Position 26307: 0.9996608408711398
Position 27195: 0.8605715605704314
Position 26822: 0.8380557317858411
Position 27616: 0.0988539177372165
Position 27606: 0.05523665049909531
Position 27555: 0.0014550565148365834
Position 11997: 1.584157945881885e-11
Position 2826: 4.742860918725972e-12
Position 2272: 3.656467992503341e-12
Position 1234: 2.755381425520945e-12
Position 1018: 2.6733270932653473e-12
Position 1261: 1.5754992696439957e-12
Position 1843: 3.0720180494993014e-13
Position 2430: 2.35243725644305e-13
Position 874: 1.8227147410615848e-13
Position 1941: 1.1663435384846264e-13
Position 1848: 9.12255091238267e-14
Position 2097: 8.822329360671419e-14
Position 868: 5.5548324621138095e-14
Position 613: 4.099389546399806e-14
Position 2101: 3.9660338356133036e-14
Position 1574: 3.771436785507502e-14
Position 272: 2.323410544425133e-14
Position 345: 1.7666202641317443e-14
Position 1351: 1.1844191293165249e-14
Position 1470: 9.006087190950519e-15
Position 669: 6.321860584141388e-15
Position 435: 5.1160829763297185e-15
Position 748: 3.646357128781524e-15
Position 713: 3.426999120058944e-15
Position 574: 3.3826275828042664e-15
Position 1230: 3.0323000305532995e-15
Position 464: 2.4224246273767937e-15
Position 949: 1.0428062482917154e-15
Position 804: 8.38448962908665e-16
Position 773: 6.751489989598761e-16
Position 265: 5.858531794113325e-16
Position 617: 4.747009945311315e-16
Position 153: 4.2179488813541287e-16
Position 79: 2.2451829042813593e-16
Position 409: 1.9771147266113477e-16
Position 335: 1.6666984407660324e-16
Position 758: 8.973542985070395e-17
Position 282: 6.961379590049184e-17
Position 836: 5.757247251793531e-17
Position 113: 5.4046340156963676e-17
Position 354: 4.7111327881282666e-17
Position 1216: 2.565864078782942e-17
Position 176: 2.523745134466417e-17
Position 610: 2.1761805457954238e-17
Position 419: 1.9642907384253605e-17
Position 1109: 1.4461902752268964e-17
Position 673: 1.0460298099347513e-17
Position 494: 6.899442665687259e-18
Position 191: 5.631293499213709e-18
Position 164: 3.736364318077331e-18
Position 398: 3.4685220993031243e-18
Position 385: 3.3786889291060334e-18
Position 94: 2.9370133853690027e-18
Position 702: 2.0071526634775213e-18
Position 1409: 1.4970355845064254e-18
Position 724: 1.3492863053209444e-18
Position 1113: 1.2397504881823982e-18
Position 1244: 6.658946633932061e-19
Position 571: 4.459239114544643e-19
Position 291: 3.5548592065021175e-19
Position 138: 1.1402830319988816e-19
Position 7: 6.232159822426568e-20
Position 129: 4.6114016982581484e-20
Position 825: 6.900542563451838e-21
Position 601: 5.819886439709709e-22
Position 691: 2.1410624333751357e-23

Sorted 3' Splice Sites (High to Low Probability):
Position 26161: 0.9999999921498546
Position 27260: 0.7798674720151368
Position 26963: 0.6651230979270317
Position 26440: 0.6596397993972689
Position 26363: 0.2888628944873877
Position 27807: 0.13898697699748125
Position 26877: 0.0875966782595308
Position 26401: 0.03767657888715187
Position 27296: 0.033669901632371144
Position 27739: 0.03103202052938981
Position 26900: 0.028891261198154966
Position 26914: 0.02261751380725459
Position 27605: 0.015541982514680162
Position 27008: 0.01158935683896506
Position 27548: 0.01059265347806693
Position 26882: 0.010075445423621937
Position 27302: 0.008672919239080177
Position 26933: 0.00695564450818338
Position 27768: 0.005071437982975243
Position 27929: 0.004067359020790054
