Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  500
Partition function (log Z): 16.36927561087976

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.9989367213178255
Position 2355: 0.9988910679206002
Position 1865: 0.9949203123671311
Position 2565: 0.9946305861145475
Position 179: 0.9861001271101381
Position 3018: 0.3279893775114376
Position 3474: 0.0917015876654073
Position 2160: 0.046377131267013046
Position 2868: 0.0234595451186975
Position 3528: 0.022286138713063706
Position 2117: 0.0200603690078285
Position 1100: 0.010817274658429783
Position 2883: 0.007390715523705136
Position 3573: 0.006895057430644658
Position 3167: 0.006880660934512958
Position 3471: 0.005077029607313268
Position 2660: 0.0020507576432547154
Position 3394: 0.00204954311628812
Position 806: 0.001932344920637525
Position 2872: 0.0015953348845490676
Position 3678: 0.0012702294045540481
Position 3478: 0.0011799648688796645
Position 1050: 0.0010880104495858156
Position 1103: 0.0010810052388122383
Position 1114: 0.0009133725384913581
Position 42: 0.0008470565061928129
Position 3608: 0.0008457841324007849
Position 2705: 0.0007603760489954159
Position 3569: 0.0006959263126891942
Position 198: 0.0006105654758740042
Position 1082: 0.0005729329184648806
Position 2544: 0.0005103630660519574
Position 423: 0.00048614227419564656
Position 3311: 0.00048342959365204
Position 315: 0.0004654208808486828
Position 2060: 0.0004264590205906004
Position 1417: 0.00042206976251791357
Position 812: 0.0002850776379215929
Position 2334: 0.0002804841901787176
Position 2719: 0.00027555474053129797
Position 2722: 0.00026804409236328157
Position 2328: 0.0002506767349915428
Position 2507: 0.00024497033338226625
Position 2198: 0.00024392834204656235
Position 2981: 0.0002405575053135508
Position 2100: 0.0001856010929912004
Position 2257: 0.0001832174437348949
Position 3562: 0.00017831825629872712
Position 3542: 0.0001767801293751385
Position 2946: 0.00015133150942931112
Position 3282: 0.00014847138504628452
Position 1836: 0.00013143037101503915
Position 661: 0.00012113544377566118
Position 1470: 0.00012034900261481285
Position 2485: 0.00011825886149693265
Position 1085: 0.00011681434555444435
