Gene = ste14
index = 1896
Annotated 5SS: [355 794]
Annotated 3SS: [421 921]
SMsplice 5SS: [355 794]
SMsplice 3SS: [421 921]
top_k =  500
Partition function (log Z): 3.707394916377422

Sorted 5' Splice Sites (High to Low Probability):
Position 355: 0.9978133735562984
Position 794: 0.9955877863005413
Position 1289: 0.02980998798055657
Position 1072: 0.013535523766069885
Position 1280: 0.0035741262306538653
Position 461: 0.0022417952723350273
Position 811: 0.0011733852169031002
Position 8: 0.0008716207141247707
Position 327: 0.0007690007994053657
Position 1274: 0.0005713720802182281
Position 801: 0.0005030043625199472
Position 152: 0.00039673167260908447
Position 746: 0.0003249066997822284
Position 1011: 0.00032396948960341154
Position 1309: 0.00029012346316924004
Position 798: 0.00019018949397403624
Position 1225: 0.00016816925128472382
Position 1005: 0.00014563604008694091
Position 44: 0.00014214296524658486
Position 1147: 0.00012942437729419635
Position 1201: 0.00010224361574603687
Position 1014: 9.005173020387279e-05
Position 185: 7.473196864587728e-05
Position 668: 5.318450179607179e-05
Position 167: 4.1005115843449225e-05
Position 265: 3.5694639262693345e-05
Position 588: 2.9877030289710253e-05
Position 1033: 2.6140262173485775e-05
Position 1239: 2.5839712858167682e-05
Position 1209: 2.3855418306916728e-05
Position 1165: 2.0665552149119574e-05
Position 670: 1.924985361392301e-05
Position 117: 1.3426234694194114e-05
Position 133: 1.1172256447590754e-05
Position 1105: 1.1138267447083967e-05
Position 1113: 1.0902346782509265e-05
Position 1342: 1.0901474608859339e-05
Position 1083: 8.952146263330998e-06
Position 997: 8.453785031588335e-06
Position 990: 8.44686188477301e-06
Position 359: 8.115481638897328e-06
Position 66: 8.010917559192256e-06
Position 550: 7.579107341624748e-06
Position 165: 5.876407038048195e-06
Position 465: 4.845144331662194e-06
Position 1137: 4.82627243394253e-06
Position 297: 4.8122603188354e-06
Position 529: 4.54253637543811e-06
Position 710: 4.137974604975012e-06
Position 467: 1.5447254158879277e-06
Position 112: 1.349360117950051e-06
Position 473: 1.225681789067229e-06
Position 557: 1.1552154267277256e-06
Position 645: 1.153417874252245e-06
Position 1299: 1.0194462343210398e-06
Position 617: 8.510297348704485e-07
Position 685: 6.452742506197659e-07
Position 719: 5.559041050264963e-07
Position 256: 4.950556977842357e-07
Position 119: 4.7048431899468403e-07
Position 232: 3.4047467749019533e-07
Position 267: 3.373712195253296e-07
Position 253: 3.1725037530326437e-07
Position 727: 2.9231247458326284e-07
Position 1232: 2.798165087633625e-07
Position 287: 2.5737118489810717e-07
Position 496: 2.452481878608176e-07
Position 68: 1.5653924660635244e-07
Position 217: 1.3176980458221543e-07
Position 331: 1.2150747715173638e-07
Position 277: 6.898632402060335e-08
Position 422: 1.9286624327541157e-08
Position 722: 8.377300503043506e-09
Position 655: 2.977561993235104e-09
Position 890: 1.655529396776431e-09
Position 390: 5.723805312522101e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 421: 0.9975075690705913
Position 921: 0.9856134634514294
Position 1398: 0.01459605870774967
Position 1137: 0.014386225774376121
Position 1357: 0.011141369397836897
Position 1372: 0.008924216536223467
Position 886: 0.006261970990223965
Position 927: 0.005418308387259777
Position 685: 0.0010754918603988338
Position 588: 0.0006419129923825864
Position 81: 0.0006215800566248956
Position 847: 0.000592351418134794
Position 211: 0.00045060462684388627
Position 1273: 0.0003110062210306651
Position 1076: 0.00030032062757266904
Position 112: 0.00026303376271694996
Position 665: 0.00023036713737126637
Position 951: 0.00016297222489416741
Position 1404: 0.00012148858301675961
Position 962: 0.00011302532043894592
Position 84: 0.0001111043482482407
Position 1161: 0.00011050658615226627
Position 240: 0.00010877699412464625
Position 641: 4.65187450012329e-05
Position 432: 2.245473036665785e-05
Position 550: 2.1626982187475715e-05
Position 390: 1.94611823025365e-05
Position 1279: 1.6732530761421574e-05
Position 691: 1.5883059795237934e-05
Position 502: 8.980340138691944e-06
Position 1113: 5.7294945927799494e-06
Position 264: 5.291139548804871e-06
Position 1326: 4.495767174922798e-06
Position 667: 3.586244084543243e-06
Position 87: 3.442556091722381e-06
Position 1029: 2.7322424435055522e-06
Position 1314: 2.510277221814421e-06
Position 1335: 2.4715991736683925e-06
Position 1209: 1.9252972020751816e-06
Position 217: 1.700546912611662e-06
Position 645: 1.351957745671363e-06
Position 465: 1.024959260212963e-06
Position 770: 4.7665369155093063e-07
Position 933: 4.149412146266957e-07
Position 175: 3.751896467860189e-07
Position 1288: 2.4191582521655645e-07
Position 496: 1.968223334334882e-07
Position 758: 1.8408335407973056e-07
Position 354: 1.618892982298703e-07
Position 754: 9.675169387279342e-08
Position 126: 7.248828213498585e-08
Position 185: 5.452544114478719e-08
Position 693: 4.039644624135042e-08
Position 133: 1.8075637826217645e-08
Position 96: 4.347200764608722e-09
Position 1110: 3.995931655014483e-09
Position 128: 3.725724306334443e-09
Position 161: 3.486569736312666e-09
Position 371: 8.016360289288643e-10
Position 253: 3.2990686726672365e-10
Position 798: 4.065547040184952e-13
