Gene = Fbw5
index = 1163
Annotated 5SS: [ 650 2128]
Annotated 3SS: [ 702 2181]
SMsplice 5SS: [ 650  910 2128]
SMsplice 3SS: [ 702  967 2181]
top_k =  500
Partition function (log Z): -1.7804876380215637

Sorted 5' Splice Sites (High to Low Probability):
Position 650: 0.8892091587283875
Position 2128: 0.8026658098291143
Position 910: 0.5590035528802236
Position 1319: 0.12904696919737804
Position 590: 0.10625782919673919
Position 1711: 0.04585363038920501
Position 2135: 0.030594650087216464
Position 994: 0.02107538098873022
Position 1475: 0.006633340625041709
Position 735: 0.005446761442238344
Position 833: 0.00461392554444923
Position 907: 0.0037777421725880404
Position 472: 0.0033349146671285733
Position 921: 0.003286388682879702
Position 1428: 0.002609805184207941
Position 644: 0.002477580896822146
Position 1858: 0.0016141192002327607
Position 1965: 0.0016091113402606654
Position 1770: 0.0014802900168351203
Position 616: 0.0009362870199651242
Position 145: 0.0008071224182770165
Position 295: 0.000765108806842712
Position 917: 0.0006973835750522464
Position 1665: 0.0006145106375738086
Position 1444: 0.0005189926942185243
Position 2013: 0.00044780417582595844
Position 768: 0.00039341422364365007
Position 1102: 0.00039233759578443164
Position 1702: 0.0001403087073123609
Position 821: 0.00013930524586406389
Position 1677: 9.157532719370082e-05
Position 1145: 8.739352763340845e-05
Position 865: 6.532493269387938e-05
Position 581: 6.365706617494262e-05
Position 377: 5.8981603136728424e-05
Position 424: 5.7299303922105224e-05
Position 292: 5.463633842858337e-05
Position 56: 4.32619221821359e-05
Position 137: 3.4043082025710665e-05
Position 493: 3.37756411592187e-05
Position 101: 3.0919660733035694e-05
Position 2293: 2.5498101145816304e-05
Position 725: 2.5110081206775088e-05
Position 786: 2.110881958709437e-05
Position 756: 2.101457208504857e-05
Position 375: 1.9768920881007948e-05
Position 1051: 1.7789578653555955e-05
Position 654: 1.6550487264684946e-05
Position 382: 1.5585270041786073e-05
Position 823: 1.3881339081211107e-05
Position 342: 1.3469170583861602e-05
Position 2230: 1.0362188042161554e-05
Position 286: 9.22770775251987e-06
Position 194: 8.901272008815938e-06
Position 814: 8.88891085149495e-06
Position 412: 8.68880215557912e-06
Position 1077: 7.530602294914245e-06
Position 233: 5.07892578556088e-06
Position 1117: 3.995239214785302e-06
Position 551: 3.961223057852097e-06
Position 1125: 2.860882068182085e-06
Position 21: 2.464791555492051e-06
Position 723: 2.4409481292329275e-06
Position 1006: 2.3282652124603665e-06
Position 1181: 1.7425477642375172e-06
Position 1097: 1.2731599066651794e-06
Position 366: 7.901029823037161e-07
Position 942: 6.184327623409231e-07
Position 888: 5.742603597204906e-07
Position 344: 4.336075187019586e-07
Position 1328: 3.7827596945705327e-07
Position 947: 3.571006695274719e-07
Position 1011: 3.1747689843961707e-07
Position 16: 7.990093668829672e-08
Position 664: 1.0676011937296568e-08
Position 505: 1.052467171555206e-08
Position 524: 7.152397726126654e-09
Position 1251: 3.102625460140192e-09
Position 1885: 1.5156475722079562e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 702: 0.9994536958071242
Position 2181: 0.8391148509217152
Position 967: 0.5483860500999554
Position 1369: 0.0879150268976465
Position 1379: 0.044033254680619124
Position 1572: 0.030776605153237678
Position 2012: 0.01628163742244501
Position 2157: 0.012370877469225999
Position 1881: 0.009099827275271484
Position 1965: 0.00463749672570927
Position 886: 0.004122964480390955
Position 529: 0.0037818526543518765
Position 1233: 0.0031471649823099504
Position 786: 0.0031117414723103856
Position 1097: 0.0029147849812030478
Position 1911: 0.0028501285922011184
Position 1962: 0.0025623865816006963
Position 1124: 0.002037524958208206
Position 1925: 0.0015782589220133187
Position 1542: 0.001434763058806689
Position 1797: 0.0013039967962681866
Position 1384: 0.0009419536649302822
Position 2327: 0.0008104424387387732
Position 2063: 0.0007996988452573341
Position 1629: 0.0007385023416897592
Position 1824: 0.0005997593428524774
Position 2234: 0.0002911796822987338
Position 535: 0.0002375209217886254
Position 2091: 0.00021905361830206849
Position 2202: 0.0002155517048415963
Position 194: 0.00021070804118319134
Position 634: 0.000193314730324605
Position 1334: 0.00018107713749150053
Position 2293: 0.00015747414491000736
Position 1589: 0.0001259570715454007
Position 1387: 9.18603176140317e-05
Position 208: 6.466505396373549e-05
Position 205: 5.62700957846612e-05
Position 1177: 5.258670441461104e-05
Position 1265: 4.887504153093911e-05
Position 1213: 4.39130379121789e-05
Position 947: 4.168454983338855e-05
Position 1606: 4.14098475944279e-05
Position 2344: 4.120114779549729e-05
Position 466: 3.978369729520742e-05
Position 1319: 3.938846716493846e-05
Position 424: 3.296623156139491e-05
Position 162: 2.6113284342810987e-05
Position 390: 1.3770865917653865e-05
Position 113: 1.215598228596264e-05
Position 1108: 8.22023579761396e-06
Position 1023: 5.084350846528571e-06
Position 717: 4.824717483150292e-06
Position 360: 4.569038944228715e-06
Position 797: 4.540144382362637e-06
Position 1181: 3.5796948923178414e-06
Position 1187: 3.1265312154184613e-06
Position 480: 2.825178363212164e-06
Position 1068: 2.2866474485460313e-06
Position 650: 1.8562222474261315e-06
Position 1297: 1.3554357130185723e-06
Position 1192: 1.330602951304931e-06
Position 430: 1.31902761514484e-06
Position 1218: 1.083711601709053e-06
Position 1238: 9.384462627114946e-07
Position 223: 9.362983688603482e-07
Position 366: 8.115725425436049e-07
Position 168: 7.610926178611242e-07
Position 1283: 7.54108649774003e-07
Position 735: 7.489703965176093e-07
Position 281: 6.077874275126121e-07
Position 137: 4.3778628562009347e-07
Position 174: 3.38557106366041e-07
Position 756: 3.351726992469024e-07
Position 443: 3.0809223591081845e-07
Position 247: 1.1061924456037661e-07
Position 74: 1.0191166460300115e-07
Position 594: 8.396953469652539e-08
Position 499: 8.35963834010251e-08
Position 753: 8.3169929033005e-08
Position 101: 6.80878631021073e-08
Position 732: 6.778149966967278e-08
Position 334: 4.4076697106664766e-08
Position 858: 3.179725755807296e-08
Position 581: 2.995628674911459e-08
Position 556: 2.3799364613786018e-08
