Gene = Ge-1
index = 1185
Annotated 5SS: [ 595  872 1535 1847 3481 3827 4124 4353 4936]
Annotated 3SS: [ 662 1133 1592 1903 3588 3882 4186 4412 5010]
SMsplice 5SS: [ 231  595  872 1535 1847 3481 3827 4124 4353 4936]
SMsplice 3SS: [ 313  662 1133 1592 1903 3588 3882 4186 4412 5010]
top_k =  500
Partition function (log Z): 31.452217478409736

Sorted 5' Splice Sites (High to Low Probability):
Position 1847: 0.9994407510319404
Position 872: 0.9942185161032473
Position 3481: 0.9936577109623506
Position 4124: 0.9888325714718609
Position 4353: 0.9869863186910512
Position 4936: 0.9827356434184644
Position 3827: 0.9815516078431876
Position 595: 0.9704293048083186
Position 231: 0.7087675785542401
Position 1535: 0.41225083332952206
Position 1508: 0.18063047323214707
Position 1257: 0.09027733528466066
Position 4616: 0.08777027034621308
Position 3923: 0.06237399476356778
Position 1283: 0.04691631586112997
Position 2877: 0.046080023272289446
Position 2663: 0.02375124171046904
Position 3934: 0.021537717117156824
Position 2703: 0.020063003953800517
Position 2517: 0.015090602864081176
Position 2099: 0.011503693841312612
Position 1226: 0.011417356486080941
Position 1263: 0.011006604068202027
Position 4958: 0.010223220084154378
Position 1539: 0.009397890972975208
Position 85: 0.009269728253903216
Position 3319: 0.0068035639605325045
Position 4109: 0.0064393209701854165
Position 4357: 0.0062549570541684816
Position 2913: 0.0059403933468941406
Position 599: 0.0038947911400061624
Position 4128: 0.003241400737593987
Position 2244: 0.0030352289453914622
Position 858: 0.002718370242174951
Position 372: 0.002651882371376734
Position 4871: 0.0025944838598256463
Position 1352: 0.0024113404823521193
Position 590: 0.0021520126065318027
Position 876: 0.002009711189152056
Position 235: 0.0019387199074339088
Position 430: 0.0018699851128725793
Position 1384: 0.0014775118151707266
Position 2008: 0.0014338894897666047
Position 1191: 0.0014062973725669705
Position 1038: 0.0012823886133326975
Position 4337: 0.0012604487875205355
Position 608: 0.0009383143962586123
Position 4517: 0.0009320609577446835
Position 1294: 0.0008452283824254288
Position 191: 0.0008052511986798284
Position 1477: 0.0007806223569964621
Position 2103: 0.0007555594802501356
Position 5331: 0.0007490851236062351
Position 1998: 0.0006487930342786232
Position 3866: 0.0006345712364412867
Position 1172: 0.0006085318298586783
Position 2254: 0.0005129550754909683
Position 5271: 0.00046276295609592815
Position 2357: 0.0004617874022587398
Position 2056: 0.00044186268269875685
Position 4583: 0.0004281699333210576
Position 5179: 0.0004019228667749445
Position 237: 0.0003888445841261126
Position 2690: 0.00030138112226510573
Position 331: 0.00029002399368897733
Position 2218: 0.00028723974635042553
