Gene = hale
index = 1722
Annotated 5SS: [314]
Annotated 3SS: [372]
SMsplice 5SS: [314]
SMsplice 3SS: [372]
top_k =  500
Partition function (log Z): -4.967160331593697

Sorted 5' Splice Sites (High to Low Probability):
Position 314: 0.9880462610774494
Position 489: 0.47585459379467443
Position 989: 0.01764254964546538
Position 307: 0.007965707547679272
Position 504: 0.0036850124437595748
Position 723: 0.0023315527723784253
Position 994: 0.001142925207963439
Position 877: 0.001030370125029351
Position 785: 0.0009951344177431393
Position 462: 0.000598065654328444
Position 976: 0.0005869598244547575
Position 510: 0.00037138697254935005
Position 58: 0.00022130656585535774
Position 258: 0.0001726952752141239
Position 498: 0.0001385277067076892
Position 516: 9.493196156779815e-05
Position 872: 8.89304342711255e-05
Position 112: 7.660296235911375e-05
Position 342: 5.652592534822589e-05
Position 775: 4.3391231265387224e-05
Position 251: 3.3161983983336295e-05
Position 585: 2.2968119413085886e-05
Position 1017: 2.214545023710269e-05
Position 764: 2.1263675880189292e-05
Position 936: 1.997604062362663e-05
Position 281: 1.0770309462095813e-05
Position 137: 9.980842952277617e-06
Position 748: 6.501979262717478e-06
Position 931: 6.1285421599597485e-06
Position 447: 5.853313143340794e-06
Position 37: 4.533717536324876e-06
Position 166: 3.5046824862870043e-06
Position 79: 2.5508028146006184e-06
Position 298: 1.8678431841515764e-06
Position 296: 1.4454926177256275e-06
Position 3: 1.2635078392597018e-06
Position 25: 1.184362869087986e-06
Position 1343: 1.0618869486094737e-06
Position 661: 7.088539303456216e-07
Position 288: 4.5671437448337195e-07
Position 76: 3.9529518365681507e-07
Position 86: 3.185154508323627e-07
Position 740: 3.1344010240565105e-07
Position 714: 2.6996703328905376e-07
Position 203: 2.642478991522968e-07
Position 386: 2.533553070062287e-07
Position 588: 2.443999295761742e-07
Position 597: 2.093847087609631e-07
Position 240: 8.076719352478957e-08
Position 454: 7.203936377406852e-08
Position 179: 3.839377356177749e-08
Position 95: 3.161015169100088e-08
Position 62: 2.4164826514626473e-08
Position 212: 1.2241695263356953e-08
Position 49: 7.398050244972868e-09
Position 227: 6.806731708284566e-09
Position 583: 1.102725491531827e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 372: 0.9721999681127729
Position 556: 0.25664100106502313
Position 570: 0.1841591741528516
Position 844: 0.030792411509973493
Position 1052: 0.02001008595284101
Position 1070: 0.008046640848077309
Position 753: 0.005489844214099005
Position 1112: 0.004120079944394517
Position 625: 0.003923322338225289
Position 593: 0.002345737793213154
Position 865: 0.002006180789846739
Position 583: 0.0019402720887425826
Position 444: 0.0012713961446634515
Position 973: 0.0012083148912811423
Position 474: 0.0011082183473694162
Position 823: 0.0007928644176343758
Position 764: 0.0007211442775946418
Position 805: 0.0007193993506450336
Position 454: 0.0006895841752951905
Position 652: 0.0006541120281913294
Position 736: 0.0005627632776038627
Position 714: 0.0005483819912172916
Position 949: 0.00036992662879927146
Position 639: 0.0002134760412119666
Position 993: 0.00018475111904737342
Position 853: 9.860416785168814e-05
Position 107: 8.483364957335259e-05
Position 1001: 7.388537490852991e-05
Position 179: 7.156992159142114e-05
Position 197: 4.596771767610248e-05
Position 691: 4.200643743061609e-05
Position 820: 3.059809086059722e-05
Position 185: 2.513484860904376e-05
Position 671: 2.3880156411610045e-05
Position 146: 2.274426619635791e-05
Position 877: 1.4671635526045425e-05
Position 484: 1.0827328732925168e-05
Position 1206: 9.226752341070117e-06
Position 1017: 8.629701593933417e-06
Position 1432: 8.152680763493987e-06
Position 958: 7.570890060820939e-06
Position 674: 5.400593321254137e-06
Position 203: 5.358534055887604e-06
Position 1279: 5.13651860635162e-06
Position 251: 3.3683519203608787e-06
Position 84: 3.1147918500361405e-06
Position 342: 1.1074205066103843e-06
Position 62: 1.0410474467690028e-06
Position 257: 7.732153686121501e-07
Position 86: 3.639873647501467e-07
Position 303: 1.3946721669665784e-07
Position 92: 1.3289300893088013e-07
Position 313: 8.851196205402703e-09
Position 494: 8.366891899453011e-10
Position 488: 7.295539185523731e-10
Position 109: 2.4130268969983086e-10
Position 305: 9.928317154148033e-11
Position 296: 5.882303550349911e-11
Position 116: 3.965335471454796e-11
