Gene = l(3)02640
index = 1752
Annotated 5SS: [ 400 1128 2652]
Annotated 3SS: [1054 2381 2713]
SMsplice 5SS: [ 400 1128 2652]
SMsplice 3SS: [1054 2381 2713]
top_k =  500
Partition function (log Z): 1.1299417804248941

Sorted 5' Splice Sites (High to Low Probability):
Position 2652: 0.9842217706047831
Position 400: 0.9390566556204555
Position 1128: 0.7054235106249676
Position 2246: 0.2800469533585391
Position 674: 0.24518988889121032
Position 138: 0.19428574418507444
Position 2327: 0.09905861992870986
Position 2274: 0.05095213684701273
Position 2264: 0.046357861610609924
Position 716: 0.01420937472084434
Position 2283: 0.013958064071019755
Position 2174: 0.013754077890785525
Position 1885: 0.008321476348908398
Position 2645: 0.007468681417901939
Position 2250: 0.006158228112945189
Position 2656: 0.006114759414200023
Position 2866: 0.005741037795581722
Position 1647: 0.003989866337281095
Position 1236: 0.003829467844467413
Position 1849: 0.003554072774481599
Position 2315: 0.0035268111744500962
Position 989: 0.0028471030050593125
Position 404: 0.0027005994080934615
Position 1853: 0.002350155839138746
Position 3133: 0.00229040456688248
Position 3514: 0.0019732344638426274
Position 1138: 0.001341714120209143
Position 1857: 0.0011161389377730682
Position 1144: 0.0010600158169830401
Position 807: 0.0009101064796074564
Position 740: 0.000824259980858172
Position 3583: 0.0007817643473834055
Position 965: 0.0007578560524513542
Position 94: 0.0006505884752685876
Position 901: 0.0005899768745007893
Position 1132: 0.0005764160373336805
Position 3777: 0.0005628923233816313
Position 370: 0.0005183879570795442
Position 107: 0.0003704412644254357
Position 627: 0.00035618189632017846
Position 795: 0.00035155571665760455
Position 3799: 0.00024643358485407717
Position 142: 0.00024085057205961363
Position 2899: 0.00022918550186813415
Position 2021: 0.00020044513638152773
Position 2677: 0.0001978670580982891
Position 1670: 0.00019620806350603768
Position 126: 0.00019217123219125644
Position 312: 0.00015099351779915027
Position 1706: 0.00013633390214809831
Position 434: 0.00010684057939861414
Position 1765: 9.482436074362106e-05
Position 3637: 8.601870795644751e-05
Position 1551: 8.543218859121994e-05
Position 701: 7.765551292197093e-05
Position 1902: 6.994123079646277e-05
Position 1468: 6.547474868259991e-05
Position 225: 6.11987008808879e-05
Position 152: 5.3923684345154545e-05
Position 3590: 4.8696578784271455e-05
Position 3563: 4.849301117022075e-05
Position 3598: 4.7923262266195464e-05
Position 578: 4.083037740402263e-05
Position 2977: 3.823141004726982e-05
Position 128: 3.775058372212086e-05
Position 1218: 3.6247956466159394e-05
Position 914: 3.404588666802171e-05
Position 1353: 3.3749807455650816e-05
Position 916: 3.3745520990570844e-05
Position 2162: 2.9002224563629266e-05
Position 31: 2.792328756308167e-05
Position 2658: 2.6642688431713762e-05
Position 1338: 2.3103908159448348e-05
Position 2770: 2.3094835414994543e-05
Position 3065: 2.2893405152931674e-05
Position 3499: 1.8633668817848105e-05
Position 469: 1.674666541853431e-05
Position 4451: 1.5766119990857478e-05
Position 597: 1.4914559471015194e-05
Position 187: 1.4482208646713892e-05
Position 408: 1.072105118496289e-05
Position 558: 9.850998665338318e-06
Position 561: 9.564901125853964e-06
Position 520: 8.806823610287411e-06
Position 28: 6.052567374617012e-06
Position 406: 5.091060077690597e-06
Position 172: 3.7934969976314827e-06
Position 771: 3.700745860650713e-06
Position 379: 3.0339702475271343e-06
Position 240: 2.0859951280736967e-06
Position 219: 2.0439099162734582e-06
Position 575: 1.9101469888556493e-06
Position 801: 1.8437917090427484e-06
Position 862: 1.6177244244587957e-06
Position 34: 1.5575336898907323e-06
Position 67: 1.444126490600029e-06
Position 563: 1.4026071293674753e-06
Position 572: 1.3709666069041902e-06
Position 499: 1.2535656276979044e-06
Position 603: 1.2146337540454116e-06
Position 354: 8.722312480288429e-07
Position 315: 7.11420901346916e-07
Position 773: 7.050229968486922e-07
Position 546: 5.876770231061764e-07
Position 1479: 1.8797469616757917e-07
Position 3401: 1.356820811657911e-07
Position 3173: 1.0630982868726741e-07
Position 1689: 1.0014107791127739e-07
Position 3485: 3.164696708607758e-08
Position 3547: 3.116420936256572e-08
Position 2484: 2.0131298972764217e-08
Position 2501: 1.3733738951563419e-08
Position 2888: 9.376891533537874e-09
Position 781: 5.178190781304343e-10
Position 2498: 4.686371796904919e-12
Position 1362: 7.587326801343714e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2713: 0.9800287984822099
Position 1054: 0.9660871290947689
Position 2381: 0.9486080252244977
Position 199: 0.18497412849924205
Position 572: 0.17759842327324865
Position 1776: 0.1371378941125693
Position 1243: 0.04197017586989099
Position 2431: 0.04109931589850143
Position 2173: 0.029386385719440928
Position 2138: 0.023104432717865366
Position 642: 0.01874197414223033
Position 2737: 0.01747878134137655
Position 1196: 0.015394261000863569
Position 621: 0.011885330588527948
Position 541: 0.010589186090594317
Position 2219: 0.007544784486901252
Position 1706: 0.00608933199010811
Position 1805: 0.005358474545734364
Position 3686: 0.0039718174586881
Position 2073: 0.003133141401746289
Position 1307: 0.002491117401555272
Position 3567: 0.002246474526994294
Position 1069: 0.0022421948203028884
Position 3741: 0.0019820087956987456
Position 1004: 0.0018945802452326533
Position 838: 0.0017590372548079067
Position 4038: 0.0017222275370736661
Position 278: 0.0016625152029323316
Position 330: 0.0016527818996159506
Position 341: 0.0015317854300096099
Position 1310: 0.0013596494254648236
Position 1516: 0.0011638438842874607
Position 3157: 0.0011152081910689147
Position 300: 0.0007865606766492095
Position 1468: 0.0007690709339789194
Position 1248: 0.0005477294672211458
Position 237: 0.0005378922475909738
Position 2515: 0.000535790090715967
Position 2443: 0.0005106496464826253
Position 627: 0.0004892944198830526
Position 2315: 0.0004828063785590099
Position 1952: 0.0004161956235938445
Position 4140: 0.0003580241410373788
Position 1014: 0.0002447102505813264
Position 1670: 0.00020554452635041673
Position 469: 0.00017589855386980114
Position 3658: 0.00017498638076910987
Position 3125: 0.0001699776124784828
Position 3034: 0.0001688895914882572
Position 363: 0.00016604078017810057
Position 2047: 0.00016195509653622853
Position 3102: 0.0001492593172706681
Position 2750: 0.00014711040689950242
Position 1286: 0.00013797660931869434
Position 2327: 0.0001337268873699524
Position 2938: 0.0001058675471674482
Position 2742: 8.93331999078686e-05
Position 3031: 8.29620770087301e-05
Position 369: 8.165545318021487e-05
Position 3847: 7.404104787556151e-05
Position 1096: 6.669597527039082e-05
Position 3945: 5.919833704197711e-05
Position 743: 5.4831996591535015e-05
Position 2528: 5.0315820929228806e-05
Position 3051: 4.655258986597856e-05
Position 2856: 4.507261024454892e-05
Position 3368: 3.243976782647382e-05
Position 3798: 2.3469745643814307e-05
Position 3181: 2.342214338262568e-05
Position 4519: 1.5766119990857488e-05
Position 138: 1.2222134454620907e-05
Position 2994: 8.732092624692156e-06
Position 901: 2.973712944611515e-06
Position 740: 2.156999088427009e-06
Position 906: 9.236654425884922e-07
