Gene = BORCS6
index = 44
Annotated 5SS: [  90  578 1109]
Annotated 3SS: [ 150  633 1165]
SMsplice 5SS: [  90  578 1109]
SMsplice 3SS: [ 150  633 1165]
top_k =  500
Partition function (log Z): -2.890524711762083

Sorted 5' Splice Sites (High to Low Probability):
Position 578: 0.8454170792773925
Position 1109: 0.7812326208095637
Position 90: 0.46689488115513134
Position 16: 0.3750408078922148
Position 100: 0.12004275249911883
Position 1113: 0.023025466142064736
Position 582: 0.004513143879262927
Position 21: 0.003807140859491912
Position 589: 0.0033726547920184197
Position 1099: 0.003057839913516596
Position 1208: 0.0017862563115789015
Position 349: 0.0006259990062992261
Position 72: 0.0004503208479580759
Position 536: 0.00030688872503834767
Position 336: 0.0002025421740142552
Position 361: 0.00011009041034733052
Position 233: 8.144062387801592e-05
Position 1117: 4.983034654718422e-05
Position 1031: 4.726128398590143e-05
Position 278: 4.707321662918001e-05
Position 1073: 3.0328683833406955e-05
Position 1231: 2.9649647466569173e-05
Position 805: 2.5944940311037358e-05
Position 1037: 1.194616699880657e-05
Position 821: 8.290789047603711e-06
Position 713: 7.787437012637939e-06
Position 324: 6.823001436187963e-06
Position 778: 6.713653297172167e-06
Position 978: 6.46257388841421e-06
Position 251: 5.18804506362218e-06
Position 972: 5.002876319737786e-06
Position 906: 4.091823308290592e-06
Position 993: 2.5502223594064154e-06
Position 111: 2.4472177182553954e-06
Position 117: 1.7612870921007355e-06
Position 1193: 1.5159441399526606e-06
Position 890: 1.3979195464273988e-06
Position 1143: 8.369342423362203e-07
Position 849: 4.41162035865384e-07
Position 161: 3.623542688986024e-07
Position 227: 2.565372393813521e-07
Position 861: 2.1942343677212658e-07
Position 1185: 1.7481170532633454e-07
Position 150: 1.1598901374276273e-07
Position 238: 5.6235746020742626e-08
Position 183: 2.457201576129852e-09
Position 726: 1.4348606370863485e-10
Position 603: 4.030102037323174e-13
Position 192: 1.0576304080140291e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 633: 0.8603959244640573
Position 150: 0.8536498414585587
Position 1165: 0.6242995378168682
Position 1168: 0.1828874386255225
Position 128: 0.07315505334392644
Position 161: 0.026126214049532175
Position 178: 0.0024130498897629842
Position 207: 0.0018214871383686211
Position 1265: 0.0016781604662824405
Position 69: 0.0013113864734299633
Position 183: 0.0006802877728710604
Position 1290: 0.0004454766352729018
Position 336: 0.000309963207329684
Position 180: 0.0002792976428202775
Position 100: 0.0001598598325065867
Position 385: 0.0001527559574284545
Position 413: 0.00013089763119190854
Position 603: 9.339306684400303e-05
Position 1172: 6.720576356396969e-05
Position 1089: 5.030008540584461e-05
Position 188: 4.847886741538503e-05
Position 705: 2.1350818252330893e-05
Position 271: 1.9282531255424434e-05
Position 1216: 1.687657960385011e-05
Position 849: 8.463808121758595e-06
Position 664: 7.970458273299325e-06
Position 859: 7.567352082873278e-06
Position 830: 6.838120373095274e-06
Position 890: 6.500414694630241e-06
Position 1248: 4.809287432272869e-06
Position 1201: 3.864473045372268e-06
Position 420: 3.1136998938328077e-06
Position 1031: 1.6859003999121784e-06
Position 1037: 1.1011628389215124e-06
Position 1094: 7.793959894964748e-07
Position 521: 7.550588058278163e-07
Position 1178: 6.688874855199995e-07
Position 531: 5.442357933170113e-07
Position 1131: 5.342974818946193e-07
Position 647: 4.496349179580347e-07
Position 884: 4.242714430011668e-07
Position 355: 4.162489557028568e-07
Position 616: 4.027813806376786e-07
Position 536: 3.826022087269539e-07
Position 1141: 3.7561865911401585e-07
Position 369: 3.114148287826457e-07
Position 1001: 2.8527644202549213e-07
Position 425: 1.776885912486053e-07
Position 501: 1.3412249114025952e-07
Position 481: 1.1904652071156951e-07
Position 560: 7.45539670125256e-08
Position 265: 7.351829179156418e-08
Position 275: 5.989087672108889e-08
Position 554: 5.509841414718748e-08
Position 246: 3.793469258038937e-12
Position 249: 9.834502172457886e-13
Position 278: 2.2826482613860713e-13
Position 251: 2.816686238237398e-17
