Gene = Shab
index = 1499
Annotated 5SS: [ 1771  2413 28907 30460 46608 52997 53876 57091 60830 61089 61420]
Annotated 3SS: [ 2226 28538 29057 45763 52784 53461 56976 59667 60894 61148 62313]
SMsplice 5SS: [   43 28907 30460 46608 52997 53876 57091 60830 61089 61420]
SMsplice 3SS: [28538 29057 45763 52859 53461 56976 59667 60894 61148 62313]
top_k =  500
Partition function (log Z): -81.68714420381534

Sorted 5' Splice Sites (High to Low Probability):
Position 43: 0.36374052167869525
Position 268: 0.3283189504531635
Position 154: 0.09903125867544482
Position 871: 0.08702038018567824
Position 3223: 0.08411659842371597
Position 1081: 0.0689310798164532
Position 2413: 0.044038398293595
Position 3286: 0.04363346955399904
Position 166: 0.02501241970461829
Position 270: 0.011898062137337195
Position 78: 0.00885209754367648
Position 272: 0.0021900137878548705
Position 3017: 0.002038918051098483
Position 623: 0.001709751864748247
Position 2294: 0.00061131747633619
Position 1970: 0.00045995921754258135
Position 1771: 0.00043508290660293286
Position 5260: 0.0003356119821124178
Position 146: 0.0002318878462745982
Position 3565: 0.00022656084539439002
Position 1827: 0.00019449718753199765
Position 81: 0.00019149545783655634
Position 1611: 0.00018077804728408974
Position 1112: 0.0001144030935636648
Position 1775: 0.00011330600192742793
Position 4672: 9.626098108001873e-05
Position 502: 7.960650978205681e-05
Position 2200: 5.4685948210460287e-05
Position 3313: 2.6022551395603224e-05
Position 3552: 1.8356507457421365e-05
Position 347: 1.6241784615519067e-05
Position 276: 1.2043849451364395e-05
Position 1573: 1.0070502024950128e-05
Position 711: 9.634110969776699e-06
Position 982: 4.714485997194846e-06
Position 794: 4.243134395559537e-06
Position 1413: 4.1904574720277495e-06
Position 287: 4.140105468013408e-06
Position 95: 3.6708770830754264e-06
Position 881: 2.0017152866316443e-06
Position 274: 1.7604847082269772e-06
Position 308: 1.176940740852129e-06
Position 47: 1.1462616286367592e-06
Position 444: 1.0550769145824834e-06
Position 3305: 5.203412769961083e-07
Position 748: 2.967447610176637e-07
Position 524: 2.529843967621596e-07
Position 170: 2.1237574597492682e-07
Position 722: 1.9021187675245585e-07
Position 2012: 1.719088691002057e-07
Position 349: 1.647835762690512e-07
Position 186: 1.479099348585581e-07
Position 757: 1.456663147136759e-07
Position 693: 1.4024801757564172e-07
Position 875: 1.2085231096931742e-07
Position 150: 1.04601149669017e-07
Position 429: 9.838427212443538e-08
Position 953: 9.220874735459273e-08
Position 123: 9.100861613700125e-08
Position 467: 8.919889388192078e-08
Position 1370: 8.822520126881944e-08
Position 1378: 8.371506515977298e-08
Position 38: 7.109667011902786e-08
Position 887: 5.973199486667204e-08
Position 899: 5.6567431120098685e-08
Position 404: 5.3402315599741766e-08
Position 40: 4.2852381365796655e-08
Position 290: 2.6661127901070814e-08
Position 994: 1.581547951324101e-08
Position 134: 2.881299386226557e-09
Position 132: 1.7274191290493719e-09
Position 158: 1.7087688279693273e-09
Position 58: 1.578091845695354e-09
Position 210: 1.3826613404239042e-09
Position 83: 1.3372301415203842e-09
Position 735: 8.017002126143289e-10
Position 766: 5.035418590506982e-10
Position 85: 1.6805345416747386e-11
Position 129: 8.412772747534859e-12
Position 436: 8.229994748846273e-12
Position 455: 5.4619557489986755e-12
Position 118: 3.2156750679970613e-13
Position 546: 2.873725400010401e-13
Position 72: 1.2899236119171444e-13
Position 617: 8.657986757034592e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 11397: 0.30330766460935943
Position 9621: 0.24186319072076484
Position 8985: 0.21032754911797188
Position 9552: 0.1789747697689911
Position 2891: 0.06046975402772833
Position 1139: 0.043461105513527415
Position 8599: 0.03803034551587861
Position 3095: 0.023414948697380516
Position 2226: 0.015180595398357562
Position 6791: 0.013205594448970927
