Gene = Cp18
index = 1089
Annotated 5SS: [59]
Annotated 3SS: [232]
SMsplice 5SS: [59]
SMsplice 3SS: [232]
top_k =  500
Partition function (log Z): -2.241033481730354

Sorted 5' Splice Sites (High to Low Probability):
Position 59: 0.9075940282484589
Position 109: 0.09191912594991176
Position 332: 0.0017603033072304808
Position 464: 0.0003813151088196069
Position 575: 0.00020741811719058605
Position 52: 0.00017879175436569505
Position 81: 0.00015464948644679515
Position 411: 0.00012074553033762106
Position 70: 0.00011983000356639948
Position 375: 0.00011955079317716733
Position 378: 0.00010581539703381436
Position 456: 6.996915746176235e-05
Position 311: 6.521068377319523e-05
Position 315: 5.0535826646692094e-05
Position 300: 3.61097328773828e-05
Position 425: 3.545164715734067e-05
Position 421: 3.2970203568736274e-05
Position 303: 2.8085119431895668e-05
Position 104: 2.6931606265536075e-05
Position 755: 2.2255572041353122e-05
Position 498: 1.1926373217547171e-05
Position 291: 7.523712677621542e-06
Position 659: 6.529535471410127e-06
Position 4: 4.609214932909106e-06
Position 350: 3.3101406052032423e-06
Position 747: 3.092609876153043e-06
Position 483: 2.5822448177042993e-06
Position 509: 2.2098062549161657e-06
Position 475: 1.2573952611604228e-06
Position 362: 9.33192837460295e-07
Position 288: 7.428835860826232e-07
Position 737: 6.379531863850068e-07
Position 439: 6.093524586398481e-07
Position 437: 2.938656798913659e-07
Position 282: 1.8018891539993297e-07
Position 640: 1.306332809554716e-07
Position 431: 6.974061845625878e-08
Position 629: 1.2880456527135225e-08
Position 260: 2.7448226942733207e-12
Position 191: 4.901844563401754e-13
Position 232: 2.2896723221918818e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 232: 0.9985301898084504
Position 624: 0.0014276328728448026
Position 453: 0.0013391869587811532
Position 191: 0.001189351562574677
Position 520: 0.0002016327482574008
Position 509: 9.194533198358793e-05
Position 331: 8.709326022597989e-05
Position 475: 5.934810791481714e-05
Position 818: 3.797786099360416e-05
Position 401: 2.6908103538790325e-05
Position 355: 2.4307102234925688e-05
Position 538: 2.2463096710224232e-05
Position 558: 1.6673508693303275e-05
Position 109: 5.955575237265828e-06
Position 311: 3.1279819232875708e-06
Position 782: 2.570219698344502e-06
Position 604: 2.558320428266363e-06
Position 337: 2.116720645301433e-06
Position 651: 1.3591185959577747e-06
Position 583: 1.3371197020695522e-06
Position 637: 6.15655699165386e-07
Position 805: 5.119980912820515e-07
Position 712: 2.0851518127146557e-07
Position 640: 1.9555761642797154e-07
Position 789: 1.9532587193525658e-07
Position 586: 8.178392001310917e-08
Position 709: 8.170669288262056e-08
Position 755: 5.249024811784096e-08
Position 690: 4.162288738982861e-08
Position 677: 2.493729625650553e-08
Position 63: 1.2721997249257777e-13
Position 70: 5.667706272065075e-14
Position 104: 3.0494227217323e-14
Position 52: 1.352690752488046e-15
Position 421: 1.5579099239576733e-17
