Gene = Kaz1-ORFB
index = 1242
Annotated 5SS: [818]
Annotated 3SS: [865]
SMsplice 5SS: [532]
SMsplice 3SS: [594]
top_k =  500
Partition function (log Z): -7.716215206153958

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.26067082221109905
Position 532: 0.2546513052658544
Position 536: 0.22925770144218185
Position 540: 0.1297834691444139
Position 818: 0.12002877038603771
Position 485: 0.1005510986119638
Position 205: 0.05212140851632485
Position 1151: 0.0369295723647928
Position 442: 0.022193537561864263
Position 498: 0.013855646913707366
Position 370: 0.006136066956250344
Position 760: 0.0033855743549913945
Position 82: 0.002970189730137967
Position 701: 0.0015032989042125162
Position 252: 0.0012726403018409975
Position 246: 0.000999836938159186
Position 1198: 0.0006453085703953534
Position 261: 0.00046923009710583054
Position 1301: 0.00038329579350443606
Position 194: 0.0002676672610010125
Position 824: 0.00022957451869996942
Position 516: 0.00020455022641118864
Position 326: 0.00017949114151975874
Position 1297: 0.00015733987463906407
Position 329: 0.00013090345696132702
Position 415: 0.00012702360610156952
Position 1241: 0.0001243174971164228
Position 400: 0.00011812586050703089
Position 544: 0.0001158232113206121
Position 489: 6.922050853333955e-05
Position 321: 6.700774119216837e-05
Position 753: 4.252738560205372e-05
Position 378: 2.9870196650122388e-05
Position 16: 2.977064332875914e-05
Position 30: 2.687818890079742e-05
Position 33: 1.283710348386418e-05
Position 177: 8.708040214000026e-06
Position 197: 7.6138407743131554e-06
Position 602: 4.207644743706002e-06
Position 86: 3.5894087381037544e-06
Position 284: 3.5518770554694216e-06
Position 345: 3.467392180185626e-06
Position 135: 1.5562740562031112e-06
Position 469: 1.4547290768905413e-06
Position 827: 1.379036934023706e-06
Position 300: 8.565724462836254e-07
Position 446: 5.986335072797656e-07
Position 187: 3.9644251127038533e-07
Position 673: 3.925595365507174e-07
Position 649: 3.051006444766115e-07
Position 564: 2.5464648732723353e-07
Position 692: 1.1909665118452257e-07
Position 1155: 5.6600994904026965e-08
Position 24: 4.195320844397194e-09
Position 587: 3.0604610888927256e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 594: 0.9126613388769977
Position 871: 0.13835703101016703
Position 442: 0.0755879397496532
Position 1229: 0.02160043127158086
Position 649: 0.02101988757544921
Position 704: 0.019301269243393242
Position 1399: 0.00865956246644054
Position 284: 0.00796634755133745
Position 1287: 0.0061585546516356076
Position 291: 0.0029948395810519895
Position 412: 0.0027427047057648323
Position 903: 0.00269923392047662
Position 135: 0.0021737946944727525
Position 915: 0.0019368455836490603
Position 723: 0.0016412026988470508
Position 865: 0.0016154253616412827
Position 497: 0.0014606678497987493
Position 420: 0.0012822152839538554
Position 1261: 0.001253831742512923
Position 527: 0.0009229324816576983
Position 1267: 0.00084026656411362
Position 1067: 0.0007477896507939822
Position 1305: 0.0007367275978203503
Position 750: 0.0006750409133847284
Position 821: 0.0005944338292604562
Position 446: 0.0005775526275087767
Position 140: 0.0005350035109617938
Position 858: 0.00036834197716422806
Position 1023: 0.00030525116862728665
Position 662: 0.0002591756912999582
Position 1179: 0.00025166189998136854
Position 1240: 0.00022635266832241198
Position 489: 0.00022210632731630128
Position 1091: 0.0002011023904751761
Position 989: 0.00016772804844927992
Position 257: 0.00016671728662363234
Position 763: 0.00015327760670531335
Position 424: 0.0001432331326707222
Position 1272: 0.00013731571721646032
Position 681: 0.00011315587220997777
Position 753: 9.342460018957163e-05
Position 1354: 6.663651079322621e-05
Position 378: 3.750784901748688e-05
Position 246: 2.4370366776772537e-05
Position 125: 1.93936437197277e-05
Position 261: 1.8433370445856707e-05
Position 86: 1.476695573898121e-05
Position 673: 1.1101550556189398e-05
Position 68: 9.889050786508889e-06
Position 102: 6.600924917461502e-06
Position 458: 6.222914807758222e-06
Position 370: 5.82187508070036e-06
Position 197: 5.583022391612994e-06
Position 923: 1.5110792697765358e-06
Position 1122: 3.2451076269959484e-07
Position 177: 3.1938646767863856e-07
Position 224: 1.6260745518059565e-08
Position 194: 2.308699164701976e-10
Position 209: 1.6398865126289286e-19
