Gene = Eip78C
index = 1152
Annotated 5SS: [ 1783  4504  4702 37028 37379]
Annotated 3SS: [ 4270  4559 36386 37102 37436]
SMsplice 5SS: [ 1783  4504  4702 37028 37379]
SMsplice 3SS: [ 4270  4559 36386 37102 37436]
top_k =  500
Partition function (log Z): -31.47095833817009

Sorted 5' Splice Sites (High to Low Probability):
Position 4702: 0.9982049213657672
Position 4504: 0.9980621199643671
Position 1783: 0.4445097673872683
Position 5003: 0.34766720079367325
Position 1119: 0.20287596828550253
Position 338: 0.1859316853845763
Position 198: 0.07350041891158832
Position 54: 0.0447506969997604
Position 361: 0.011772191031787886
Position 247: 0.009055935507978499
Position 455: 0.0070031543934129135
Position 439: 0.005069084874357304
Position 272: 0.004704920615290364
Position 1122: 0.0021806164357801544
Position 870: 0.0019396651413574554
Position 241: 0.0017247273447506403
Position 1510: 0.001560468873693189
Position 969: 0.001357583192266349
Position 49: 0.0007662817964068971
Position 2326: 0.0007658068034673929
Position 103: 0.000656169798880854
Position 295: 0.0006420546215476953
Position 685: 0.0005365289255048935
Position 3453: 0.0005084996941925242
Position 1692: 0.00048148088406795356
Position 1861: 0.0003465647740309864
Position 5444: 0.0003220169202893725
Position 15234: 0.00021623914227323916
Position 1504: 0.00021002954014099685
Position 1300: 0.0002092728551254903
Position 4785: 0.00020886343607039555
Position 4972: 0.00019029891974882676
Position 4706: 0.00017160627100262592
Position 3236: 0.00016296824754393502
Position 4508: 0.00013209628491593937
Position 4496: 0.00012927498587433854
Position 786: 0.00012727083611362253
Position 725: 0.00011747479048119205
Position 2277: 0.00011533541769553847
Position 4113: 0.00010941550272475651
Position 4478: 0.00010288464905762312
Position 4518: 8.779913089183551e-05
Position 4444: 7.311913646724963e-05
Position 4526: 5.1457789296260775e-05
Position 5232: 4.0592167570408545e-05
Position 5245: 1.2718564602486054e-05
Position 4480: 7.093050996971267e-06
Position 4965: 6.314899741960348e-06
Position 4983: 5.803415197505138e-06
Position 478: 5.364162857749974e-06
Position 11131: 5.173510753582553e-06
Position 5049: 3.5949804582610953e-06
Position 4655: 2.2221834622371997e-06
Position 569: 1.327396548957689e-06
Position 5043: 1.304420313352799e-06
Position 2215: 1.2933540970547382e-06
Position 10022: 9.805397190701542e-07
Position 537: 8.579692115087795e-07
Position 4969: 6.303983160815565e-07
Position 1985: 5.460687012537684e-07
Position 4895: 5.297520413580195e-07
Position 4993: 4.4073937486428846e-07
Position 510: 3.1844781694072375e-07
Position 521: 2.8589997821927916e-07
Position 4884: 2.2156702394674685e-07
Position 5111: 1.1605438725946307e-07
Position 105: 1.038173893581127e-07
Position 5249: 7.075285185895748e-08
Position 5021: 6.527429604444977e-08
Position 795: 4.332109964436337e-08
Position 5114: 4.3028735181856875e-08
Position 5057: 3.192681973016407e-08
Position 20: 2.2510080588686462e-08
Position 6067: 7.241367228350307e-09
Position 4925: 3.300709488462094e-09
Position 4817: 3.0199217520485572e-09
Position 6081: 1.6186818080071147e-09
Position 5123: 3.558486666115063e-10
Position 4806: 3.287532759153747e-11
Position 4899: 2.404858316124888e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4270: 0.9977843709291127
Position 22126: 0.947519640122553
Position 4559: 0.754350122483705
Position 4765: 0.3059484721438955
Position 4576: 0.24292679679313667
Position 20810: 0.046075038883705184
Position 4839: 0.034217479696984326
Position 4878: 0.004589140600953699
Position 17095: 0.003027124254354789
Position 15411: 0.0021732681642188077
