Gene = Tig
index = 1561
Annotated 5SS: [ 183 1051 4625 5653 7754]
Annotated 3SS: [ 789 1358 4692 5725 7811]
SMsplice 5SS: [ 183 1051 2198 4625 5653 7754]
SMsplice 3SS: [ 789 1358 4330 4692 5725 7811]
top_k =  500
Partition function (log Z): 10.919240261504244

Sorted 5' Splice Sites (High to Low Probability):
Position 5653: 0.9982246903693394
Position 1051: 0.9924692139777395
Position 4625: 0.9903369189834533
Position 7754: 0.8753639757356377
Position 183: 0.7668385438594629
Position 2198: 0.757444866650295
Position 1559: 0.1655266307798389
Position 65: 0.14093438190472576
Position 7914: 0.11809213207907596
Position 7932: 0.04478441646017419
Position 2391: 0.03692985110479287
Position 703: 0.031325934770244326
Position 1288: 0.01529160110982656
Position 4241: 0.011088590828567184
Position 1607: 0.011081096712596696
Position 6939: 0.009086670217386947
Position 6895: 0.008204563486151268
Position 231: 0.005721885175350804
Position 6648: 0.005388196184000463
Position 74: 0.004945791922203362
Position 518: 0.003613777867192829
Position 4902: 0.003207873941360702
Position 6194: 0.0031009126832466914
Position 83: 0.002725001228162604
Position 6605: 0.002685818976225229
Position 7877: 0.002608053982127652
Position 5791: 0.0025639840170772663
Position 7157: 0.0025073718194262534
Position 171: 0.0023888618424928814
Position 1136: 0.002201164810886865
Position 1188: 0.0020392570128762574
Position 1985: 0.0019868418564377047
Position 963: 0.001982010909039425
Position 1304: 0.001944056068611656
Position 4777: 0.0019266139941054809
Position 7911: 0.0018767336257717038
Position 6527: 0.001572931741957934
Position 5641: 0.0014829152487429813
Position 227: 0.0014716236920462873
Position 3311: 0.001431914864822775
Position 6522: 0.0013645128132231785
Position 7918: 0.0012385493611411624
Position 5243: 0.001217743717124382
Position 6315: 0.0011837996491721478
Position 1267: 0.0011771520848961581
Position 1634: 0.0011629379787891827
Position 630: 0.0011406930067020722
Position 511: 0.0010636087767757572
Position 6321: 0.0010576078914254657
Position 1238: 0.0010034278775645005
Position 5816: 0.0009964530710886226
Position 1814: 0.0009484363195543804
Position 2473: 0.0009217840915069734
Position 470: 0.0007449242178991032
Position 5344: 0.0007276328350425971
Position 1164: 0.0007139434723107449
Position 4629: 0.0007000160646033004
Position 148: 0.0006912752485649764
