Gene = NUCB1
index = 1307
Annotated 5SS: [388]
Annotated 3SS: [2726]
SMsplice 5SS: [388]
SMsplice 3SS: [2726]
top_k =  500
Partition function (log Z): -4.464142610065851

Sorted 5' Splice Sites (High to Low Probability):
Position 388: 0.9891078198941279
Position 2601: 0.22157457697805075
Position 1418: 0.024160520651841242
Position 350: 0.007949120991061584
Position 592: 0.007227258623837012
Position 2415: 0.0066800921610861205
Position 2001: 0.006582529761283799
Position 1585: 0.005096635702939886
Position 2646: 0.0046321533399131315
Position 1308: 0.004102483429386702
Position 1960: 0.003734936765196277
Position 613: 0.003519691168203969
Position 644: 0.003425426507763404
Position 1189: 0.0033764961403945303
Position 1883: 0.0029899128386056384
Position 392: 0.002752808447695474
Position 1855: 0.0027104145834956693
Position 2498: 0.002585873597638016
Position 2877: 0.0024362434903244337
Position 1332: 0.0022280029225750565
Position 11: 0.001999051656187527
Position 686: 0.0018871857111828145
Position 606: 0.0018596113590950225
Position 2511: 0.0016817571169078257
Position 2212: 0.0016434998736681152
Position 1255: 0.0013713198660377495
Position 756: 0.0011738325895086946
Position 1392: 0.001160601725461305
Position 3792: 0.001157178774951845
Position 641: 0.0011503039148133029
Position 2515: 0.0010781250734497598
Position 4253: 0.0009290084906370291
Position 650: 0.0007664772143393604
Position 36: 0.0006266428662883169
Position 3352: 0.0006242596401208369
Position 4337: 0.0006225677193881148
Position 2389: 0.0004722783487481093
Position 631: 0.00040838632975553305
Position 16: 0.0003778348597778703
Position 148: 0.0003767831118793047
Position 1515: 0.0003265564839793052
Position 4137: 0.00025621490723248905
Position 534: 0.0002367805658931735
Position 1880: 0.00023099236881552143
Position 1055: 0.00022205897154038947
Position 109: 0.000213942978602855
Position 3749: 0.00019279686879795287
Position 531: 0.00015177657320190893
Position 3423: 0.00014252199735298527
Position 1604: 0.0001408214515282284
Position 1663: 0.000129836454928429
Position 2085: 0.00012623754805780153
Position 1167: 0.00011124195891463567
Position 2015: 0.00010789503257429655
Position 316: 9.436027125532735e-05
Position 639: 9.118788982650085e-05
Position 1401: 6.491997845824694e-05
Position 1690: 6.425902077588089e-05
Position 6: 6.17250957145246e-05
Position 2017: 5.795809859953642e-05
Position 1113: 5.480456301145129e-05
Position 3002: 5.140200097179846e-05
Position 1790: 4.921076088186441e-05
Position 1888: 4.871325932011136e-05
Position 116: 4.4969710073099185e-05
Position 294: 4.44309475161087e-05
