Gene = Ggamma30A
index = 1187
Annotated 5SS: [  252   644 16045]
Annotated 3SS: [  329 15902 34492]
SMsplice 5SS: [  644 16045 35124]
SMsplice 3SS: [15902 34492 45680]
top_k =  500
Partition function (log Z): -47.868510075651606

Sorted 5' Splice Sites (High to Low Probability):
Position 644: 0.9998808378218511
Position 16045: 0.6516693830793902
Position 134: 5.987568795902272e-05
Position 560: 4.133143160961051e-05
Position 11483: 3.744002476888682e-05
Position 554: 3.2031819793960633e-05
Position 10199: 2.609774612891093e-05
Position 2170: 1.4961348509922133e-05
Position 89: 4.2592520425169005e-06
Position 252: 2.134868860624013e-06
Position 150: 2.1308132326315276e-06
Position 280: 1.505331477050367e-06
Position 969: 5.393403333917414e-07
Position 454: 4.2066703126484804e-07
Position 977: 2.657420840770843e-07
Position 410: 1.8013562809966782e-07
Position 1220: 1.3763526096289492e-07
Position 752: 1.3625768190798227e-07
Position 1225: 1.2678574666437208e-07
Position 274: 9.449457739117674e-08
Position 144: 8.957031203578343e-08
Position 954: 8.769997843717876e-08
Position 3023: 8.765224081568015e-08
Position 3268: 8.745686178537481e-08
Position 138: 8.135164040082412e-08
Position 2859: 6.954329355665825e-08
Position 756: 5.35189657644793e-08
Position 220: 4.645015161498952e-08
Position 735: 4.4366158092889014e-08
Position 2871: 3.2201200103147565e-08
Position 893: 2.792922327564103e-08
Position 851: 2.6515905298436978e-08
Position 3080: 2.5988216198804374e-08
Position 1420: 2.4136003794872287e-08
Position 1462: 2.33601511635519e-08
Position 3640: 1.7946722634231307e-08
Position 3237: 1.748544063026696e-08
Position 414: 1.6111552869285206e-08
Position 329: 1.3829209518545262e-08
Position 1468: 1.2689505172069774e-08
Position 503: 1.1727605121417374e-08
Position 766: 9.374953704017156e-09
Position 1587: 6.2291169464860465e-09
Position 809: 5.676579672206465e-09
Position 574: 5.297968416585567e-09
Position 12: 5.259764896095002e-09
Position 952: 4.87488872295629e-09
Position 228: 4.3160917879993215e-09
Position 4163: 4.245169980228452e-09
Position 1766: 4.177284605669732e-09
Position 1200: 4.052412783936946e-09
Position 3801: 3.37647379736758e-09
Position 3791: 3.2772018748286276e-09
Position 244: 2.949754831608606e-09
Position 205: 2.339820190068995e-09
Position 823: 2.2897095204985454e-09
Position 873: 2.084833039171339e-09
Position 256: 1.7930382349680218e-09
Position 578: 1.642446014112927e-09
Position 179: 1.619456376742183e-09
Position 3976: 1.1159055573998686e-09
Position 258: 1.059582000915871e-09
Position 2725: 1.038498822179882e-09
Position 3862: 8.293343473545523e-10
Position 1266: 3.978135096135696e-10
Position 1257: 3.731038569647053e-10
Position 5: 4.633426407015638e-11
Position 1578: 3.5592052945906736e-11
Position 22: 3.033809228038984e-11
Position 1400: 2.6046649934170005e-11
Position 1454: 1.3750947615263302e-11
Position 1122: 9.134387497160964e-12
Position 1115: 8.478248547671464e-12
Position 1708: 6.868811724478283e-12
Position 741: 2.877993690852596e-12
Position 758: 2.7104750653393923e-12
Position 888: 2.7047504166662874e-12
